Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,SMA20,SMA50,Atr_Pct,Chart_Source,Universal_Data_Complete,Directional_Data_Complete,Completeness_Score,Completeness_Reason,Crossover_Age_Bucket,IV_Coverage_Pct,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,thesis,EXECUTABLE,Validation_Status,Data_Completeness_Pct,Missing_Required_Data,Theory_Compliance_Score,Evaluation_Notes,Execution_State,Strategy_Family,Strategy_Family_Rank,Min_DTE,Max_DTE,Target_DTE,Timeframe_Label,DTE_Rationale,Expiration_Count_Target
MSFT,2026-01-07 12:16:20.029817,2026-01-07,,schwab,484.31,17259593.0,lastPrice,1767816814343,1767816813672,166.357,True,OPEN,OK,COMPUTED,,14.082134469512644,17.566741449541997,18.46099865061464,19.49719483650848,18.231785072489583,14.082134469512644,17.566741449541997,18.46099865061464,19.49719483650848,18.231785072489583,18.24934273226712,17.178096331980854,19.713240365507986,-4.3788641811019975,Normal_Compression,489.7,477.95,479.755,478.51,555.45,344.79,5.8,1.21209588,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,26.703,,,,,,,,,,,,,,,,,,,,,,,,,0,,26.703,,Unknown,Unknown,Falling,,False,Unknown,Neutral,0.27086182748602544,-1.8671292943328786,Stable,14.259998164592668,58.69349995091107,Weak,15.195596296775083,True,0.5690595175364223,,0.0,,,False,8.242001349385358,Bidirectional,Unknown,2.426132022877909,0.26018265031033927,54.127659574468204,NORMAL,NO_GAP,MID_RANGE,12.807633450355574,40.46521070796716,66.22994398556915,MID_RANGE,NEUTRAL,5.8,1.21209588,NORMAL,MODERATE,21.0,False,26.703,18.46099865061464,8.242001349385358,,,,,44.64547939886746,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=nan, gap_180d=nan)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=8.2, gap_60d=nan, gap_180d=nan, IV_Rank=nan",8000.0,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,"Expansion + Very Cheap IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,45,60,52,Medium,Volatility (Long Straddle) with neutral IV (nan): 45-60 DTE for volatility play,2
MSFT,2026-01-07 12:16:20.029817,2026-01-07,,schwab,484.31,17259593.0,lastPrice,1767816814343,1767816813672,166.357,True,OPEN,OK,COMPUTED,,14.082134469512644,17.566741449541997,18.46099865061464,19.49719483650848,18.231785072489583,14.082134469512644,17.566741449541997,18.46099865061464,19.49719483650848,18.231785072489583,18.24934273226712,17.178096331980854,19.713240365507986,-4.3788641811019975,Normal_Compression,489.7,477.95,479.755,478.51,555.45,344.79,5.8,1.21209588,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,26.703,,,,,,,,,,,,,,,,,,,,,,,,,0,,26.703,,Unknown,Unknown,Falling,,False,Unknown,Neutral,0.27086182748602544,-1.8671292943328786,Stable,14.259998164592668,58.69349995091107,Weak,15.195596296775083,True,0.5690595175364223,,0.0,,,False,8.242001349385358,Bidirectional,Unknown,2.426132022877909,0.26018265031033927,54.127659574468204,NORMAL,NO_GAP,MID_RANGE,12.807633450355574,40.46521070796716,66.22994398556915,MID_RANGE,NEUTRAL,5.8,1.21209588,NORMAL,MODERATE,21.0,False,26.703,18.46099865061464,8.242001349385358,,,,,44.64547939886746,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Strangle,1,Expansion + Moderately Cheap IV (IV_Rank=nan),Natenberg Ch.9 - OTM volatility (requires significant price movement),Bidirectional,"gap_30d=8.2, gap_60d=nan, gap_180d=nan, IV_Rank=nan",5000.0,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,68,Bidirectional,Volatility,Expansion + Moderately Cheap IV (IV_Rank=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,45,60,52,Medium,Volatility (Long Strangle) with neutral IV (nan): 45-60 DTE for volatility play,2
NVDA,2026-01-07 12:16:20.029817,2026-01-07,,schwab,188.9499,121132505.0,lastPrice,1767816814345,1767816814278,165.751,True,OPEN,OK,COMPUTED,38.139,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,32.49942662330781,31.474674722804817,33.18214044638228,-8.137533146729421,Normal,191.37,186.56,188.57,187.24,212.1899,86.62,1.7099,0.91321299,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,39.405,,,,,,,,,,,,,,,,,,,,,,,,,0,,38.139,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.9898704601358,1.225289867606189,Stable,20.829507857779394,65.21506408649282,Moderate,19.897268106904153,True,0.5217039803587968,,0.0,,,False,9.66290323672714,Bullish,Unknown,2.545648343820241,0.7103183080538261,49.6860706860709,NORMAL,NO_GAP,MID_RANGE,10.952453439112785,118.13657353959826,81.49237994137131,MID_RANGE,NEUTRAL,1.7099,0.91321299,NORMAL,MODERATE,49.0,False,38.139,28.476096763272864,9.66290323672714,,,,,33.933383908113065,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Call,1,Bullish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with positive vega,Bullish,"gap_30d=9.7, gap_60d=nan, gap_180d=nan",500.0,Defined (max loss = premium paid),"Long Delta, Long Vega, Short Theta",True,65,Bullish,Directional,Bullish + Cheap IV (gap_180d=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Call) with moderate confidence (65): 35-50 DTE for directional exposure,2
NVDA,2026-01-07 12:16:20.029817,2026-01-07,,schwab,188.9499,121132505.0,lastPrice,1767816814345,1767816814278,165.751,True,OPEN,OK,COMPUTED,38.139,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,32.49942662330781,31.474674722804817,33.18214044638228,-8.137533146729421,Normal,191.37,186.56,188.57,187.24,212.1899,86.62,1.7099,0.91321299,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,39.405,,,,,,,,,,,,,,,,,,,,,,,,,0,,38.139,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.9898704601358,1.225289867606189,Stable,20.829507857779394,65.21506408649282,Moderate,19.897268106904153,True,0.5217039803587968,,0.0,,,False,9.66290323672714,Bullish,Unknown,2.545648343820241,0.7103183080538261,49.6860706860709,NORMAL,NO_GAP,MID_RANGE,10.952453439112785,118.13657353959826,81.49237994137131,MID_RANGE,NEUTRAL,1.7099,0.91321299,NORMAL,MODERATE,49.0,False,38.139,28.476096763272864,9.66290323672714,,,,,33.933383908113065,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=9.7, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000.0,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2
NVDA,2026-01-07 12:16:20.029817,2026-01-07,,schwab,188.9499,121132505.0,lastPrice,1767816814345,1767816814278,165.751,True,OPEN,OK,COMPUTED,38.139,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,32.49942662330781,31.474674722804817,33.18214044638228,-8.137533146729421,Normal,191.37,186.56,188.57,187.24,212.1899,86.62,1.7099,0.91321299,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,39.405,,,,,,,,,,,,,,,,,,,,,,,,,0,,38.139,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.9898704601358,1.225289867606189,Stable,20.829507857779394,65.21506408649282,Moderate,19.897268106904153,True,0.5217039803587968,,0.0,,,False,9.66290323672714,Bullish,Unknown,2.545648343820241,0.7103183080538261,49.6860706860709,NORMAL,NO_GAP,MID_RANGE,10.952453439112785,118.13657353959826,81.49237994137131,MID_RANGE,NEUTRAL,1.7099,0.91321299,NORMAL,MODERATE,49.0,False,38.139,28.476096763272864,9.66290323672714,,,,,33.933383908113065,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=9.7, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=9.7, IV_Rank=nan",15000.0,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,"Bullish + Rich IV (gap_30d=9.7, IV_Rank=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2
NVDA,2026-01-07 12:16:20.029817,2026-01-07,,schwab,188.9499,121132505.0,lastPrice,1767816814345,1767816814278,165.751,True,OPEN,OK,COMPUTED,38.139,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,32.49942662330781,31.474674722804817,33.18214044638228,-8.137533146729421,Normal,191.37,186.56,188.57,187.24,212.1899,86.62,1.7099,0.91321299,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,39.405,,,,,,,,,,,,,,,,,,,,,,,,,0,,38.139,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.9898704601358,1.225289867606189,Stable,20.829507857779394,65.21506408649282,Moderate,19.897268106904153,True,0.5217039803587968,,0.0,,,False,9.66290323672714,Bullish,Unknown,2.545648343820241,0.7103183080538261,49.6860706860709,NORMAL,NO_GAP,MID_RANGE,10.952453439112785,118.13657353959826,81.49237994137131,MID_RANGE,NEUTRAL,1.7099,0.91321299,NORMAL,MODERATE,49.0,False,38.139,28.476096763272864,9.66290323672714,,,,,33.933383908113065,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=9.7, IV_Rank=nan",50000.0,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,Bullish + Very Rich IV (IV_Rank=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2
NVDA,2026-01-07 12:16:20.029817,2026-01-07,,schwab,188.9499,121132505.0,lastPrice,1767816814345,1767816814278,165.751,True,OPEN,OK,COMPUTED,38.139,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,20.338563616543443,29.8368841480511,28.476096763272864,37.23565172758352,34.993501063036234,32.49942662330781,31.474674722804817,33.18214044638228,-8.137533146729421,Normal,191.37,186.56,188.57,187.24,212.1899,86.62,1.7099,0.91321299,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,39.405,,,,,,,,,,,,,,,,,,,,,,,,,0,,38.139,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.9898704601358,1.225289867606189,Stable,20.829507857779394,65.21506408649282,Moderate,19.897268106904153,True,0.5217039803587968,,0.0,,,False,9.66290323672714,Bullish,Unknown,2.545648343820241,0.7103183080538261,49.6860706860709,NORMAL,NO_GAP,MID_RANGE,10.952453439112785,118.13657353959826,81.49237994137131,MID_RANGE,NEUTRAL,1.7099,0.91321299,NORMAL,MODERATE,49.0,False,38.139,28.476096763272864,9.66290323672714,,,,,33.933383908113065,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Call Debit Spread,1,Bullish + Defined Risk/Reward,Natenberg Ch.5 - Directional with limited risk,Bullish,Any IV regime,,Defined (max loss = debit paid),"Long Delta, Short Vega, Short Theta",True,60,Bullish,Directional,Bullish + Defined Risk/Reward,True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,50,40,Short-Medium,Debit spread (Call Debit Spread): 30-50 DTE for directional play,2
AAPL,2026-01-07 12:16:20.029817,2026-01-07,,schwab,261.521,31552705.0,lastPrice,1767816814168,1767816813988,166.041,True,OPEN,OK,COMPUTED,,12.595899348432976,11.429135569132953,14.564880928969142,18.206872848681,20.54182322054435,12.595899348432976,11.429135569132953,14.564880928969142,18.206872848681,20.54182322054435,21.686277842863067,20.93541492977749,22.895793372978243,-1.968981580536166,Low_Compression,263.68,260.9,263.2,262.36,288.62,169.2101,-0.839,-0.3197896,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,26.625,,,,,,,,,,,,,,,,,,,,,,,,,0,,26.625,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-4.446597289907027,-4.625925792274948,Stable,43.257959280765135,20.665642729523867,Strong,12.116250073942684,True,0.45507042531240127,Descending Triangle,64.0,,,False,12.060119071030858,Bearish,Unknown,1.063012148164021,0.32017075773745046,22.338129496403997,NORMAL,NO_GAP,NEAR_LOW,9.389162220220355,54.554013028773106,77.30590177196363,MID_RANGE,NEUTRAL,-0.839,-0.3197896,FLAT_DAY,EARLY,22.0,False,26.625,14.564880928969142,12.060119071030858,,,,,82.80273027871871,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Put,1,Bearish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with negative delta,Bearish,"gap_30d=12.1, gap_60d=nan, gap_180d=nan",500.0,Defined (max loss = premium paid),"Short Delta, Long Vega, Short Theta",True,65,Bearish,Directional,Bearish + Cheap IV (gap_180d=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Put) with moderate confidence (65): 35-50 DTE for directional exposure,2
AAPL,2026-01-07 12:16:20.029817,2026-01-07,,schwab,261.521,31552705.0,lastPrice,1767816814168,1767816813988,166.041,True,OPEN,OK,COMPUTED,,12.595899348432976,11.429135569132953,14.564880928969142,18.206872848681,20.54182322054435,12.595899348432976,11.429135569132953,14.564880928969142,18.206872848681,20.54182322054435,21.686277842863067,20.93541492977749,22.895793372978243,-1.968981580536166,Low_Compression,263.68,260.9,263.2,262.36,288.62,169.2101,-0.839,-0.3197896,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,26.625,,,,,,,,,,,,,,,,,,,,,,,,,0,,26.625,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-4.446597289907027,-4.625925792274948,Stable,43.257959280765135,20.665642729523867,Strong,12.116250073942684,True,0.45507042531240127,Descending Triangle,64.0,,,False,12.060119071030858,Bearish,Unknown,1.063012148164021,0.32017075773745046,22.338129496403997,NORMAL,NO_GAP,NEAR_LOW,9.389162220220355,54.554013028773106,77.30590177196363,MID_RANGE,NEUTRAL,-0.839,-0.3197896,FLAT_DAY,EARLY,22.0,False,26.625,14.564880928969142,12.060119071030858,,,,,82.80273027871871,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Put LEAP,1,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year protective or directional,Bearish,"gap_30d=12.1, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000.0,"Defined (max loss = premium, typically $2000-$5000)","Short Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bearish,Directional,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Put LEAP): 365-730 DTE for multi-year structural thesis,2
AAPL,2026-01-07 12:16:20.029817,2026-01-07,,schwab,261.521,31552705.0,lastPrice,1767816814168,1767816813988,166.041,True,OPEN,OK,COMPUTED,,12.595899348432976,11.429135569132953,14.564880928969142,18.206872848681,20.54182322054435,12.595899348432976,11.429135569132953,14.564880928969142,18.206872848681,20.54182322054435,21.686277842863067,20.93541492977749,22.895793372978243,-1.968981580536166,Low_Compression,263.68,260.9,263.2,262.36,288.62,169.2101,-0.839,-0.3197896,,,2026-01-07 12:16:20.029817,1.6894999,historical_latest,2026-01-06,1,False,False,0.0,,,,26.625,,,,,,,,,,,,,,,,,,,,,,,,,0,,26.625,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-4.446597289907027,-4.625925792274948,Stable,43.257959280765135,20.665642729523867,Strong,12.116250073942684,True,0.45507042531240127,Descending Triangle,64.0,,,False,12.060119071030858,Bearish,Unknown,1.063012148164021,0.32017075773745046,22.338129496403997,NORMAL,NO_GAP,NEAR_LOW,9.389162220220355,54.554013028773106,77.30590177196363,MID_RANGE,NEUTRAL,-0.839,-0.3197896,FLAT_DAY,EARLY,22.0,False,26.625,14.564880928969142,12.060119071030858,,,,,82.80273027871871,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Covered Call,1,Bearish + Rich IV (gap_30d=12.1) [requires stock ownership],Passarelli - Premium collection on held stock,Bearish,gap_30d=12.1,0.0,Unlimited downside (stock ownership),"Long Delta (from stock), Short Vega, Long Theta",False,70,Bearish,Directional,Bearish + Rich IV (gap_30d=12.1) [requires stock ownership],True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Covered Call): 30-45 DTE for premium collection efficiency,2
