,null_count,null_pct
Ticker,0,0.0
timestamp,0,0.0
Date,0,0.0
Error,3,100.0
data_source,0,0.0
last_price,0,0.0
volume,0,0.0
price_source,0,0.0
quote_time,0,0.0
trade_time,0,0.0
quote_age_sec,0,0.0
is_market_open,0,0.0
market_status,0,0.0
price_history_status,0,0.0
hv_status,0,0.0
iv_30d,0,0.0
hv_10,0,0.0
hv_20,0,0.0
hv_30,0,0.0
hv_60,0,0.0
hv_90,0,0.0
HV_10_D_Cur,0,0.0
HV_20_D_Cur,0,0.0
HV_30_D_Cur,0,0.0
HV_60_D_Cur,0,0.0
HV_90_D_Cur,0,0.0
HV_120_D_Cur,0,0.0
HV_150_D_Cur,0,0.0
HV_180_D_Cur,0,0.0
hv_slope,0,0.0
volatility_regime,0,0.0
highPrice,0,0.0
lowPrice,0,0.0
openPrice,0,0.0
closePrice,0,0.0
52WeekHigh,0,0.0
52WeekLow,0,0.0
netChange,0,0.0
netPercentChange,0,0.0
dividendDate,3,100.0
dividendYield,3,100.0
snapshot_ts,0,0.0
Snapshot_Age_Hours,0,0.0
iv_surface_source,0,0.0
iv_surface_date,0,0.0
iv_surface_age_days,0,0.0
history_depth_ok,0,0.0
iv_data_stale,0,0.0
regime_confidence,0,0.0
IV_7_D_Call,3,100.0
IV_14_D_Call,3,100.0
IV_21_D_Call,3,100.0
IV_30_D_Call_hist,0,0.0
IV_60_D_Call,3,100.0
IV_90_D_Call,3,100.0
IV_120_D_Call,3,100.0
IV_150_D_Call,3,100.0
IV_180_D_Call,3,100.0
IV_270_D_Call,3,100.0
IV_360_D_Call,3,100.0
IV_720_D_Call,3,100.0
IV_1080_D_Call,3,100.0
IV_7_D_Put,3,100.0
IV_14_D_Put,3,100.0
IV_21_D_Put,3,100.0
IV_30_D_Put,3,100.0
IV_60_D_Put,3,100.0
IV_90_D_Put,3,100.0
IV_120_D_Put,3,100.0
IV_150_D_Put,3,100.0
IV_180_D_Put,3,100.0
IV_270_D_Put,3,100.0
IV_360_D_Put,3,100.0
IV_720_D_Put,3,100.0
IV_1080_D_Put,3,100.0
iv_rank_252d,3,100.0
iv_percentile_252d,3,100.0
iv_history_count,0,0.0
iv_index_30d_hist,3,100.0
IV_30_D_Call,0,0.0
IV_Rank_30D,3,100.0
IV_Term_Structure,0,0.0
IV_Trend_7D,0,0.0
HV_Trend_30D,0,0.0
VVIX,3,100.0
Recent_Vol_Spike,0,0.0
Volatility_Regime,0,0.0
Regime,0,0.0
IV_Rank_Source,0,0.0
IV_Maturity_State,0,0.0
Trend_State,0,0.0
Price_vs_SMA20,0,0.0
Price_vs_SMA50,0,0.0
Volume_Trend,0,0.0
ADX,0,0.0
RSI,0,0.0
Trend_Strength,0,0.0
RV_10D,0,0.0
RV_Calculated,0,0.0
RV_IV_Ratio,0,0.0
Chart_Pattern,1,33.33333333333333
Pattern_Confidence,0,0.0
Candlestick_Pattern,3,100.0
Entry_Timing_Quality,3,100.0
Reversal_Confirmation,0,0.0
Signal_Type,0,0.0
intraday_range_pct,0,0.0
gap_pct,0,0.0
intraday_position_pct,0,0.0
compression_tag,0,0.0
gap_tag,0,0.0
intraday_position_tag,0,0.0
pct_from_52w_high,0,0.0
pct_from_52w_low,0,0.0
52w_range_position,0,0.0
52w_regime_tag,0,0.0
52w_strategy_context,0,0.0
net_change,0,0.0
net_percent_change,0,0.0
momentum_tag,0,0.0
entry_timing_context,0,0.0
days_to_earnings,0,0.0
earnings_proximity_flag,0,0.0
IVHV_gap_30D,0,0.0
IV30_Call,0,0.0
HV30,0,0.0
IVHV_gap_abs,0,0.0
IVHV_gap_60D,3,100.0
IVHV_gap_90D,3,100.0
IVHV_gap_180D,3,100.0
IVHV_gap_360D,3,100.0
IVHV_gap_30D_pct,0,0.0
IVHV_gap_60D_pct,3,100.0
IVHV_gap_90D_pct,3,100.0
IVHV_gap_180D_pct,3,100.0
IVHV_gap_360D_pct,3,100.0
ShortTerm_IV_Edge,0,0.0
MediumTerm_IV_Edge,0,0.0
LEAP_IV_Edge,0,0.0
UltraLEAP_IV_Edge,0,0.0
ShortTerm_IV_Rich,0,0.0
ShortTerm_IV_Cheap,0,0.0
MediumTerm_IV_Rich,0,0.0
MediumTerm_IV_Cheap,0,0.0
LEAP_IV_Rich,0,0.0
LEAP_IV_Cheap,0,0.0
UltraLEAP_IV_Rich,0,0.0
UltraLEAP_IV_Cheap,0,0.0
HighVol,0,0.0
ElevatedVol,0,0.0
ModerateVol,0,0.0
LowRank,0,0.0
IV_Rich,0,0.0
IV_Cheap,0,0.0
MeanReversion_Setup,0,0.0
Expansion_Setup,0,0.0
df_elevated_plus,0,0.0
df_moderate_vol,0,0.0
