Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Regime,IV_Rank_Source,IV_Maturity_State,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,Signal_Type,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IVHV_gap_30D
BKNG,2026-01-12 18:56:05.018451,2026-01-12,,schwab,5380.0,179023.0,lastPrice,1768265714091,1768265435290,7529.728,True,OPEN,OK,COMPUTED,23.993,13.952539430524618,16.032281628017707,22.17442214698397,28.597784597415547,26.173830325194743,13.952539430524618,16.032281628017707,22.17442214698397,28.597784597415547,26.173830325194743,24.569188210644345,23.688965344808032,23.19825541115453,-8.221882716459353,Normal,5454.195,5360.8201,5454.195,5492.11,5839.414,4096.23,-112.11,-2.04129196,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03968253968253968,,,,21.825,,,,,,,,,,,,,,,,,,,,,,,,,10,,23.993,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,1.6773357091113819,,0.0,,,False,Bearish,1.7355929368029703,0.6903539805284301,20.540744889686767,NORMAL,NO_GAP,NEAR_LOW,7.867467523282298,31.340281185382672,73.64512294743413,MID_RANGE,NEUTRAL,-112.11,-2.04129196,STRONG_DOWN_DAY,LATE_SHORT,,False,1.818577853016027
AZO,2026-01-12 18:56:05.018451,2026-01-12,,schwab,3522.0,235694.0,lastPrice,1768266000265,1768265537431,7427.587,True,OPEN,OK,COMPUTED,24.387,26.36057198549541,22.485954810545593,30.0657520927892,26.432903632498135,24.535697624685827,26.36057198549541,22.485954810545593,30.0657520927892,26.432903632498135,24.535697624685827,23.43952904405384,23.386766592231304,22.94519490140667,-3.705180107293789,Normal_Compression,3529.13,3428.22,3439.0,3421.17,4388.11,3162.0,100.83,2.94723735,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,8,,24.387,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,1.6502364238614582,,0.0,,,False,Bearish,2.865133446905176,0.5211667353566156,92.93429788920811,NORMAL,NO_GAP,NEAR_HIGH,19.737654707835485,11.385199240986717,29.36115030462194,MID_RANGE,NEUTRAL,100.83,2.94723735,STRONG_UP_DAY,LATE_LONG,,False,-5.6787520927892
MELI,2026-01-12 18:56:05.018451,2026-01-12,,schwab,2141.708,408556.0,lastPrice,1768263026462,1768265678599,7286.419,True,OPEN,OK,COMPUTED,33.537,45.632749032344826,36.72849775030063,36.96730611528391,43.02267963678778,42.922932331801135,45.632749032344826,36.72849775030063,36.96730611528391,43.02267963678778,42.922932331801135,39.44333399820113,37.76403548489645,36.63550455214979,8.665442917060915,Normal,2165.025,2122.57,2164.27,2178.41,2645.22,1723.903,-36.702,-1.68480681,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03968253968253968,,,,34.01,,,,,,,,,,,,,,,,,,,,,,,,,10,,33.537,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,1.1999974854253328,,0.0,,,False,Bearish,1.9822963728015175,0.6490972773720225,45.0783182192909,NORMAL,NO_GAP,MID_RANGE,19.03478727667263,24.235992396323926,45.34866935050587,MID_RANGE,NEUTRAL,-36.702,-1.68480681,NORMAL,MODERATE,,False,-3.430306115283912
MKL,2026-01-12 18:56:05.018451,2026-01-12,,schwab,2135.0,35922.0,lastPrice,1768266000117,1768255564746,17400.272,True,OPEN,OK,COMPUTED,,11.191070145981293,14.052557529984307,12.238395578795554,19.234115597690764,18.376972828774065,11.191070145981293,14.052557529984307,12.238395578795554,19.234115597690764,18.376972828774065,18.83618241008856,18.391102755334487,18.30189908796117,-1.0473254328142634,Low_Compression,2149.74,2104.51,2137.75,2132.84,2207.59,1621.893,2.16,0.10127342,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,19.003,,,,,,,,,,,,,,,,,,,,,,,,,8,,19.003,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,2.117787489802104,,0.0,,,False,Bearish,2.118501170960167,0.23020948594361762,67.41101039133336,NORMAL,NO_GAP,MID_RANGE,3.288201160541592,31.63630399785929,87.60621959818812,MID_RANGE,NEUTRAL,2.16,0.10127342,FLAT_DAY,EARLY,,False,6.764604421204446
FCNCA,2026-01-12 18:56:05.018451,2026-01-12,,schwab,2160.0,81584.0,lastPrice,1768262318411,1768264997860,7967.158,True,OPEN,OK,COMPUTED,,10.875967621259363,12.989120003665407,16.703814596942294,24.537360397936823,26.106695328136222,10.875967621259363,12.989120003665407,16.703814596942294,24.537360397936823,26.106695328136222,26.27626633215097,25.894953061388705,26.331775844149917,-5.827846975682929,Normal,2185.37,2151.94,2160.0,2175.19,2412.929,1473.62,-15.19,-0.6983298,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,28.675,,,,,,,,,,,,,,,,,,,,,,,,,8,,28.675,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,1.4034634932418268,,0.0,,,False,Bearish,1.5476851851851776,0.6983298010748511,24.110080765779195,NORMAL,NO_GAP,NEAR_LOW,10.48223963490016,46.57781517623269,73.07286526584969,MID_RANGE,NEUTRAL,-15.19,-0.6983298,NORMAL,MODERATE,,False,11.971185403057707
FICO,2026-01-12 18:56:05.018451,2026-01-12,,schwab,1636.0,208982.0,lastPrice,1768265745671,1768265217759,7747.259,True,OPEN,OK,COMPUTED,45.391,40.567132892092026,34.18352521869282,29.574170653946787,34.553014321123705,46.2096056256771,40.567132892092026,34.18352521869282,29.574170653946787,34.553014321123705,46.2096056256771,44.33856715167723,44.0735489250827,49.83367008504237,10.99296223814524,Normal_Expansion,1684.88,1620.0,1656.55,1665.53,2217.6,1300.0,-29.53,-1.77300919,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,41.121,,,,,,,,,,,,,,,,,,,,,,,,,8,,45.391,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,0.8866144316871051,,0.0,,,False,Bearish,3.965770171149151,0.5391677123798442,24.660912453760748,NORMAL,NO_GAP,NEAR_LOW,26.226551226551226,25.846153846153847,36.617262423714045,MID_RANGE,NEUTRAL,-29.53,-1.77300919,NORMAL,MODERATE,,False,15.816829346053211
TDG,2026-01-12 18:56:05.018451,2026-01-12,,schwab,1386.0,283405.0,lastPrice,1768266000243,1768263538844,9426.174,True,OPEN,OK,COMPUTED,,12.899431621740392,16.572491690706226,17.135595443209723,22.101226307880637,20.574857680079813,12.899431621740392,16.572491690706226,17.135595443209723,22.101226307880637,20.574857680079813,28.196863816570097,26.365501645401917,26.29253808727288,-4.236163821469331,Normal_Compression,1399.5,1376.14,1391.49,1392.09,1623.825,1183.6,-6.09,-0.43747172,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,24.149,,,,,,,,,,,,,,,,,,,,,,,,,8,,24.149,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,1.6665002968532603,,0.0,,,False,Bearish,1.6854256854256782,0.043100661595148956,42.208904109588794,NORMAL,NO_GAP,MID_RANGE,14.645974781765277,17.100371747211902,45.97648929524675,MID_RANGE,NEUTRAL,-6.09,-0.43747172,FLAT_DAY,EARLY,,False,7.013404556790277
NFLX,2026-01-12 18:56:05.018451,2026-01-12,,schwab,89.47,36290606.0,lastPrice,1768265987531,1768265991327,6973.691,True,OPEN,OK,COMPUTED,44.328,17.133478352038807,16.692508210488434,27.19178478885196,35.72535620218998,32.15752487553512,17.133478352038807,16.692508210488434,27.19178478885196,35.72535620218998,32.15752487553512,30.115846342510388,29.574910269312028,28.96769845432069,-10.058306436813153,Normal_Contraction,90.335,89.33,89.69,89.46,134.115,82.11,0.01,0.01117818,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.03571428571428571,,,,41.541,,,,,,,,,,,,,,,,,,,,,,,,,9,,44.328,,Unknown,Unknown,Falling,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,0.9078757369768404,,0.0,,,False,Bearish,1.1232815468872197,0.25709814442209256,13.930348258706587,NORMAL,NO_GAP,NEAR_LOW,33.28859560824666,8.963585434173668,14.15248533794827,NEAR_52W_LOW,CONTRARIAN,0.01,0.01117818,FLAT_DAY,EARLY,,False,17.13621521114804
MTD,2026-01-12 18:56:05.018451,2026-01-12,,schwab,1491.99,106826.0,lastPrice,1768266000061,1768257295597,15669.421,True,OPEN,OK,COMPUTED,,22.09509320663474,19.988992986863323,20.89972990086913,23.75324308281018,25.889128056297505,22.09509320663474,19.988992986863323,20.89972990086913,23.75324308281018,25.889128056297505,26.942289749053337,26.658824335022786,29.61872458988924,1.195363305765614,Normal_Compression,1497.15,1468.6397,1485.52,1485.12,1525.17,946.69,6.87,0.46258888,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.031746031746031744,,,,30.03,,,,,,,,,,,,,,,,,,,,,,,,,8,,30.03,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,1.3401370519050744,,0.0,,,False,Bearish,1.9108908236650475,0.026933850463268356,81.90127778381829,NORMAL,NO_GAP,NEAR_HIGH,2.1754951907000573,57.600692940666946,94.26427879961277,MID_RANGE,NEUTRAL,6.87,0.46258888,FLAT_DAY,EARLY,,False,9.130270099130872
TPL,2026-01-12 18:56:05.018451,2026-01-12,,schwab,310.08,242277.0,lastPrice,1768266000255,1768262223941,10741.077,True,OPEN,OK,COMPUTED,42.639,56.02151032798468,53.40039993217235,47.834068889618685,45.36687198439223,44.120364067606424,56.02151032798468,53.40039993217235,47.834068889618685,45.36687198439223,44.120364067606424,43.22762908604903,40.86370683371469,40.65965732956086,8.187441438365994,High,314.789,308.6,312.0,311.87,487.59,269.23,-1.79,-0.5739571,,,2026-01-12 18:56:05.018451,-5.125277777777776e-06,historical_latest,2026-01-08,4,False,True,0.01984126984126984,,,,40.603,,,,,,,,,,,,,,,,,,,,,,,,,5,,42.639,,Unknown,Unknown,Rising,,False,Unknown,Unknown,LOCAL,IMMATURE,Bearish,-4.480144056841224,-5.438451274723339,Falling,41.21154693719799,35.667521682597325,Strong,40.24431566870938,True,0.9438381685477938,,0.0,,,False,Bearish,1.9959365325077285,0.04168403501458796,23.91339473258959,NORMAL,NO_GAP,NEAR_LOW,36.405586660924136,15.172900494001398,18.70763876167795,MID_RANGE,NEUTRAL,-1.79,-0.5739571,NORMAL,MODERATE,,False,-5.195068889618682
