Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,HV_EWMA,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,VVIX,VIX,SPY_Change_Pct,Snapshot_Age_Hours,Snapshot_Age_Trading_Days,Stock_Price,Stock_Price_Source,YF_Demand_Status,Resolution_Path,iv_7d,iv_14d,iv_21d,iv_30d,iv_60d,iv_90d,iv_120d,iv_180d,iv_360d,IV_History_Count,IV_Maturity_Level,IV_Rank_20D,IV_Rank_30D,IV_Rank_60D,IV_Rank_252D,IV_7D_5D_ROC,IV_30D_5D_ROC,IV_30D_10D_ROC,IV_90D_10D_ROC,IV_30D_Mean_30,IV_30D_Std_30,IV_30D_ZScore_30,Slope_30_7,Slope_30_21,Slope_90_30,Slope_180_90,Surface_Steepness,Surface_Shape,IV_Regime,Structural_IV_Cycle,LongTerm_ZScore,IV_Rank_Source,Regime_Days_In,IV_Trend_7D,HV_Accel_Proxy,IV_Maturity_State,Regime,IV_Rank,HV_Trend_30D,Recent_Vol_Spike,Regime_Original,Regime_Adjusted,VVIX_Override_Applied,VVIX_Flag,IV_Timing_State,IV_Chase_Risk,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,Step2_Warning,RV_IV_Ratio,OHLC_Status,OHLC_Bar_Count,OHLC_Last_Date,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,Signal_Type,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,Earnings_Formation_Phase,Earnings_IV_Velocity,Earnings_Move_Ratio,Earnings_Beat_Rate,Earnings_Avg_IV_Crush,Earnings_Consecutive_Beats,Earnings_Consecutive_Misses,IVHV_gap_30D,IV_Rank_30D_Missing_Reason,IV_Maturity_State_Missing_Reason,Signal_Type_Missing_Reason,Regime_Missing_Reason,ADX_Missing_Reason,RSI_14_Missing_Reason,SMA20_Missing_Reason,MACD_Missing_Reason,Price_vs_SMA20_Missing_Reason,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,IVHV_gap_10D,ShortTerm_Front_Rich,IVHV_gap_EWMA,ShortTerm_EWMA_Rich,ShortTerm_EWMA_Cheap,Gap_Trigger_Type,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol
BKNG,2026-03-13 07:54:16.448,2026-03-13,,schwab,4297.52,46351.0,lastPrice,2026-03-13 14:54:21.716,2026-03-13 14:54:16.448,0.0,True,OPEN,OK,COMPUTED,36.696,37.959,,35.115,38.481,36.869,35.638,,35.743,,34.1,,,,,,,,,,,,,,,,51.435065337899346,52.576037832460166,55.87308455128676,41.30049317005546,38.68278587002417,51.435065337899346,52.576037832460166,55.87308455128676,41.30049317005546,38.68278587002417,36.04888513976485,33.225918144412105,31.42998246706213,-4.438019213387413,High_Compression,48.13091238310718,4320.0,4241.46,4255.37,4217.71,5839.414,3765.45,79.81,1.89225907,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,4297.52,SCHWAB_LAST_PRICE,NOT_NEEDED,,38.171,37.937,37.501,36.139,38.905,37.202,36.221,36.585,34.197,47.0,2.0,25.0,30.0,,,-0.06008224372706897,-0.033587377991710125,-0.05142002204840139,-0.04170423224543417,38.2207,4.2804098430101245,-0.486331934639249,-2.0319999999999965,-1.3619999999999948,1.0629999999999953,-0.6169999999999973,-3.9739999999999966,INVERTED,,,,ROLLING_20D,0,Falling,Unknown,PARTIAL_MATURE,Compression,30.0,Unknown,False,Compression,Uncertain,True,ELEVATED,BASELINE,LOW,Neutral,0.29966264156468236,-9.651442103374654,Falling,27.7135480731123,43.91512105084886,Strong,52.152991400712715,True,,1.5460606146071212,OK,125,2026-03-13,Descending Triangle,64.0,,,False,Bidirectional,1.827565665779332,0.8929015982606641,71.3776419658778,NORMAL,NO_GAP,NEAR_HIGH,26.404944057742767,14.13031642964322,25.654736533517486,MID_RANGE,NEUTRAL,79.81,1.89225907,NORMAL,MODERATE,,False,,,,83.33333333333334,,0.0,0.0,-20.758084551286757,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,35.115,55.87308455128676,20.758084551286757,-2.819493170055459,-1.8137858700241694,4.313017532937874,2.670017532937873,-37.152207933379074,-6.826778456243003,-4.6888708484403585,13.722621504666169,8.49512892899634,True,True,True,True,False,True,False,True,True,False,True,False,-16.320065337899344,False,-13.015912383107178,False,True,BOTH,True,False,False,False,False,True,False,False,True,False
AZO,2026-03-13 07:54:16.448,2026-03-13,,schwab,3546.48,20064.0,lastPrice,2026-03-13 14:54:06.987,2026-03-13 14:53:54.732,21.716,True,OPEN,OK,COMPUTED,33.051,33.051,,31.047,,31.681,31.681,,29.94,,29.079,,,,,,,,,,,,,,,,45.96014929126594,38.32330065649279,34.663930495670485,29.607773867507625,29.748212673216063,45.96014929126594,38.32330065649279,34.663930495670485,29.607773867507625,29.748212673216063,27.863403052941205,25.97941777215471,25.60731615160653,11.296218795595458,Normal_Expansion,34.697902891986594,3637.505,3540.01,3630.46,3614.27,4388.11,3210.72,-67.79,-1.8756208,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,3546.48,SCHWAB_LAST_PRICE,NOT_NEEDED,,32.617,32.617,,34.015,,31.378,31.378,30.081,29.212,37.0,2.0,50.0,66.66666666666667,,,0.04434554303278682,0.12056623702387076,-0.07618650871823678,0.031797704777876384,31.993641718413684,4.711919727957101,0.42898826768907966,1.3980000000000032,,-2.6370000000000005,-1.2970000000000006,-3.4049999999999976,FLAT,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,Compression,66.66666666666667,Unknown,False,Compression,Uncertain,True,ELEVATED,BASELINE,LOW,Bearish,-4.286328903803973,-2.0354012716961702,Stable,10.775003424702547,42.49426653170129,Weak,45.355550712472606,True,,1.0190777743839625,OK,125,2026-03-13,,0.0,,,False,Bearish,2.749063860503933,0.44794661162558563,6.63623775578215,NORMAL,NO_GAP,NEAR_LOW,19.179783551460645,10.457467483928847,28.517313719328367,MID_RANGE,NEUTRAL,-67.79,-1.8756208,NORMAL,MODERATE,,False,,,2.6609716670290093,75.0,0.18410672577958254,1.0,0.0,-3.616930495670484,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,31.047,34.663930495670485,3.616930495670484,,1.932787326783938,4.332683848393472,3.4716838483934715,-10.434276909602728,,6.497154461061561,16.91971084647093,13.557390504493256,True,False,True,True,False,True,False,False,True,False,True,False,-14.913149291265942,False,-3.6509028919865933,False,True,BOTH,False,True,False,False,False,True,False,False,True,False
MELI,2026-03-13 07:54:16.448,2026-03-13,,schwab,1678.23,195137.0,lastPrice,2026-03-13 14:54:15.612,2026-03-13 14:54:18.876,-2.428,True,OPEN,OK,COMPUTED,45.848,42.094,,39.649,45.435,42.891,42.299,,42.293,,40.906,,,,,,,,,,,,,,,,38.61713367098407,48.091307599624514,42.46537789912564,41.317403727959565,42.37337108485835,38.61713367098407,48.091307599624514,42.46537789912564,41.317403727959565,42.37337108485835,44.165916006627995,41.482052058370535,39.160029574335574,-3.8482442281415743,High_Compression,44.33172106992381,1695.0,1654.04,1670.8,1680.0,2645.22,1631.18,-1.77,-0.10535714,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,1678.23,SCHWAB_LAST_PRICE,NOT_NEEDED,,46.1,43.16,41.283,40.342,46.599,43.648,42.04,42.241,40.644,47.0,2.0,45.0,30.0,,,0.08829084041548635,0.022610899873257182,0.07549986670221277,0.03328440888215534,44.93716666666667,5.22727470421571,-0.8790750298546096,-5.758000000000003,-0.9410000000000025,3.3060000000000045,-1.4070000000000036,-5.456000000000003,INVERTED,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,Compression,30.0,Unknown,False,Compression,Uncertain,True,ELEVATED,BASELINE,LOW,Bearish,-8.431435981510814,-16.278808612353842,Stable,35.85193952248736,31.18040616484066,Strong,38.08968712776749,True,,1.0526344231601221,OK,125,2026-03-13,,0.0,,,False,Bearish,2.4406666547493514,0.5476190476190503,59.05761718750008,NORMAL,NO_GAP,MID_RANGE,36.55612765667883,2.8844149634007255,4.639856415920473,NEAR_52W_LOW,CONTRARIAN,-1.77,-0.10535714,FLAT_DAY,EARLY,,False,,,0.9614375308961787,62.5,0.24313923657000697,0.0,3.0,-2.8163778991256407,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,39.649,42.46537789912564,2.8163778991256407,4.117596272040437,0.5176289151416498,3.132970425664425,1.7459704256644244,-6.632174346395326,9.965767208296421,1.2215901210810642,8.000429161365314,4.458552367408543,True,True,True,False,False,True,True,False,True,False,False,False,1.0318663290159336,False,-4.682721069923808,False,True,ABS,False,False,True,False,False,False,False,False,False,True
MKL,2026-03-13 07:54:16.448,2026-03-13,,schwab,1950.49,6655.0,lastPrice,2026-03-13 14:52:51.543,2026-03-13 14:54:08.496,7.952,True,OPEN,OK,COMPUTED,25.495,25.495,,21.756,,,20.15,,20.16,,,,,,,,,,,,,,,,,,14.761476563300551,13.372471605444488,14.645019116143605,12.5178616647164,13.358514978422717,14.761476563300551,13.372471605444488,14.645019116143605,12.5178616647164,13.358514978422717,16.936577742245845,16.850261989437726,17.637809283687588,0.1164574471569466,Low_Compression,14.065541455242336,1966.05,1944.2,1966.05,1947.67,2207.59,1621.893,2.82,0.14478839,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,1950.49,SCHWAB_LAST_PRICE,NOT_NEEDED,,25.352,25.352,,22.247,,,20.25,20.36,,37.0,2.0,85.0,83.33333333333334,,,0.0050745321915635945,-0.028939220498391295,0.08855037619891398,,20.729560274069527,1.6450298361459703,0.9224390297294425,-3.1050000000000004,,,,,FLAT,,,,ROLLING_20D,0,Stable,Unknown,PARTIAL_MATURE,High Vol,83.33333333333334,Unknown,False,High Vol,High Vol,False,ELEVATED,BASELINE,LOW,Bearish,-4.427528382285948,-5.786937399944883,Stable,23.612019949705893,27.38853544352305,Moderate,13.782711748375284,True,,0.6582918647972134,OK,125,2026-03-13,,0.0,,,False,Bearish,1.1202313264871857,0.9436916931512978,28.78718535469103,NORMAL,NO_GAP,NEAR_LOW,11.646184300526825,20.260091140414318,56.103582569144095,MID_RANGE,NEUTRAL,2.82,0.14478839,FLAT_DAY,EARLY,,False,,,,66.66666666666666,,5.0,0.0,7.110980883856396,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,21.756,14.645019116143605,7.110980883856396,,,2.522190716312412,,48.55562718943649,,,14.299909221975046,,True,False,True,False,True,False,False,False,True,False,False,False,6.994523436699449,True,7.690458544757664,True,False,BOTH,True,False,False,False,True,False,False,False,True,False
FICO,2026-03-13 07:54:16.448,2026-03-13,,schwab,1139.07,150119.0,lastPrice,2026-03-13 14:54:22.383,2026-03-13 14:53:43.398,33.05,True,OPEN,OK,COMPUTED,63.441,63.441,,58.899,62.352,59.108,62.447,,55.99,,49.582,,,,,,,,,,,,,,,,82.82280051494776,73.43760569104411,66.98285730578868,51.49626185172943,46.40136139351448,82.82280051494776,73.43760569104411,66.98285730578868,51.49626185172943,46.40136139351448,52.34661733000491,49.05899120903733,48.58649390277448,15.839943209159074,High_Expansion,72.46610030726234,1152.9,1096.0,1097.06,1093.62,2217.6,1068.671,45.45,4.15592253,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,1139.07,SCHWAB_LAST_PRICE,NOT_NEEDED,,67.615,67.615,,57.795,60.672,58.56,63.484,55.488,48.608,37.0,2.0,95.0,96.66666666666667,,,0.2785047082403659,0.17481699874412526,0.21266947204296147,0.20374938332511097,47.25013684276907,4.733809853730325,2.2275637347202273,-9.819999999999993,,0.7650000000000006,-3.0720000000000027,-19.006999999999998,FLAT,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,High Vol,96.66666666666667,Unknown,False,High Vol,High Vol,False,ELEVATED,BASELINE,LOW,Bearish,-15.459274765204093,-21.754158846486337,Rising,34.29008551723062,30.561892428709985,Strong,79.77622442469794,True,,1.1589732209670158,OK,125,2026-03-13,,0.0,,,False,Bearish,4.995303185932392,0.3145516724273564,75.6942003514936,NORMAL,NO_GAP,NEAR_HIGH,48.63501082251082,6.587527873405369,6.127358609626869,NEAR_52W_LOW,CONTRARIAN,45.45,4.15592253,STRONG_UP_DAY,LATE_LONG,,False,,,,79.16666666666666,,4.0,0.0,-8.083857305788683,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,58.899,66.98285730578868,8.083857305788683,10.855738148270568,12.70663860648552,7.403506097225524,0.9955060972255225,-12.068546537040714,21.080633346798926,27.384193534161106,15.23778627048196,2.0489358611008464,True,True,True,False,False,True,True,False,True,False,False,False,-23.923800514947757,False,-13.567100307262336,False,True,BOTH,True,False,False,False,False,True,False,False,True,False
TDG,2026-03-13 07:54:16.448,2026-03-13,,schwab,1214.23,112280.0,lastPrice,2026-03-13 14:54:21.275,2026-03-13 14:54:22.597,-6.149,True,OPEN,OK,COMPUTED,34.114,34.114,,29.502,31.29,29.017,29.017,,28.08,,27.938,,,,,,,,,,,,,,,,19.502391611973703,20.978387514423627,35.35423494199873,28.250077889982233,24.968554128378372,19.502391611973703,20.978387514423627,35.35423494199873,28.250077889982233,24.968554128378372,25.150104317359123,24.14793633048746,28.09441935303227,-15.85184333002503,Normal_Contraction,26.649253823007196,1251.56,1208.49,1234.61,1225.95,1623.825,1183.6,-11.72,-0.95599331,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,1214.23,SCHWAB_LAST_PRICE,NOT_NEEDED,,34.247,34.247,,30.741,31.989,29.819,29.819,28.841,28.201,36.0,2.0,85.0,90.0,,,0.08772431316499922,0.034384687072883446,0.16553173977617486,-0.0005362828892241257,26.949586309971785,2.8095878103728746,1.3494554881077152,-3.5060000000000002,,-0.9220000000000006,-0.977999999999998,-6.045999999999999,FLAT,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,High Vol,90.0,Unknown,False,High Vol,High Vol,False,ELEVATED,BASELINE,LOW,Bearish,-6.087140735918494,-9.60606533731287,Rising,25.208788977172482,28.689921912594386,Strong,16.919886924210445,True,,1.1500678228424168,OK,125,2026-03-13,Descending Triangle,64.0,,,False,Bearish,3.547103925944832,0.706390962111004,13.327141862085018,NORMAL,NO_GAP,NEAR_LOW,25.224085107693256,2.58786752281177,6.957805667556386,NEAR_52W_LOW,CONTRARIAN,-11.72,-0.95599331,NORMAL,MODERATE,,False,,,,87.5,,2.0,0.0,-5.852234941998734,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,29.502,35.35423494199873,5.852234941998734,3.0399221100177662,4.048445871621627,-0.014419353032270266,-0.15641935303226973,-16.55313699080114,10.760756560942983,16.214178245188446,-0.05132461664744804,-0.5567630747826335,True,True,False,False,False,True,True,False,False,False,False,False,9.999608388026296,True,2.8527461769928024,True,False,BOTH,True,False,False,False,False,True,False,False,True,False
NFLX,2026-03-13 07:54:16.448,2026-03-13,,schwab,94.84,7496037.0,lastPrice,2026-03-13 14:54:22.651,2026-03-13 14:54:22.498,-6.05,True,OPEN,OK,COMPUTED,34.603,34.531,,31.752,37.288,35.606,35.909,,35.239,,34.047,,,,,,,,,,,,,,,,17.39517960222294,53.82318234084252,50.19548246342141,38.17774674511699,37.49836862808452,17.39517960222294,53.82318234084252,50.19548246342141,38.17774674511699,37.49836862808452,37.29357783896772,35.05064234739702,34.157314945583295,-32.800302861198475,High_Contraction,47.39661574245597,95.68,94.4,94.64,94.31,134.115,75.01,0.53,0.56197646,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,94.84,SCHWAB_LAST_PRICE,NOT_NEEDED,,34.564,35.057,35.595,35.699,37.981,36.114,36.247,35.742,34.398,46.0,2.0,45.0,60.0,,,-0.09565672422815277,0.002499297950014003,-0.051164150542207215,-0.06927477965053354,35.452266666666674,3.1548559826502918,0.07820747910212109,1.134999999999998,0.1039999999999992,0.41499999999999915,-0.3719999999999999,-0.16599999999999682,CONTANGO,,,,ROLLING_20D,0,Falling,Unknown,PARTIAL_MATURE,Compression,60.0,Unknown,False,Compression,Uncertain,True,ELEVATED,BASELINE,LOW,Bullish,7.299060528108174,9.592537910670178,Falling,34.68277782950762,62.03838230623926,Strong,17.378471069876337,True,,1.4060753092081408,OK,125,2026-03-13,,0.0,,,False,Bullish,1.3496415014761716,0.3499098716997119,34.374999999999794,NORMAL,NO_GAP,MID_RANGE,29.284569212988853,26.43647513664844,33.55046104390491,MID_RANGE,NEUTRAL,0.53,0.56197646,NORMAL,MODERATE,,False,,,,62.5,,1.0,0.0,-18.443482463421415,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,31.752,50.19548246342141,18.443482463421415,-0.8897467451169945,-1.8923686280845189,1.0816850544167025,-0.11031494558329769,-36.74331146604995,-2.3305376062582708,-5.046535882276285,3.166774250669166,-0.32296140887842806,True,False,False,False,False,True,False,False,False,False,False,False,14.35682039777706,True,-15.644615742455972,False,True,BOTH,True,False,False,False,False,True,False,False,True,False
MTD,2026-03-13 07:54:16.448,2026-03-13,,schwab,1170.78,46194.0,lastPrice,2026-03-13 14:53:49.257,2026-03-13 14:53:19.236,57.212,True,OPEN,OK,COMPUTED,39.241,39.241,,35.396,,,34.552,,30.075,,,,,,,,,,,,,,,,,,37.62295034969452,30.353846424416258,27.369756429888888,25.781575218432497,24.77789349184738,37.62295034969452,30.353846424416258,27.369756429888888,25.781575218432497,24.77789349184738,26.99063074314448,26.82817405036483,27.16074228842456,10.253193919805632,Normal_Expansion,32.84255491971735,1186.51,1162.77,1178.26,1168.0,1525.17,946.69,2.78,0.2380137,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,1170.78,SCHWAB_LAST_PRICE,NOT_NEEDED,,37.631,37.631,,35.572,,,34.899,30.47,,36.0,2.0,85.0,83.33333333333334,,,-0.05686716791979946,-0.03580344319172631,0.2443103340269649,,31.71555570578591,3.1208493930481658,1.235703428305287,-2.0589999999999975,,,,,FLAT,,,,ROLLING_20D,0,Stable,Unknown,PARTIAL_MATURE,High Vol,83.33333333333334,Unknown,False,High Vol,High Vol,False,ELEVATED,BASELINE,LOW,Bearish,-10.370395824503936,-14.83772703058699,Rising,42.37415085624614,24.32351878337662,Strong,37.61470787401451,True,,0.7694185435142495,OK,125,2026-03-13,Descending Triangle,64.0,,,False,Bearish,2.027708023710689,0.8784246575342458,33.7405223251895,NORMAL,NO_GAP,MID_RANGE,23.236098271012416,23.67089543567587,38.73772645553864,MID_RANGE,NEUTRAL,2.78,0.2380137,FLAT_DAY,EARLY,,False,,,0.2114864613849341,87.5,0.18541442411194828,8.0,0.0,8.026243570111113,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,35.396,27.369756429888888,8.026243570111113,,,2.914257711575438,,29.325228343450394,,,10.72966887513028,,True,False,True,False,True,False,False,False,True,False,False,False,-2.226950349694519,False,2.55344508028265,True,False,BOTH,True,False,False,False,True,False,False,False,True,False
BLK,2026-03-13 07:54:16.448,2026-03-13,,schwab,939.765,218511.0,lastPrice,2026-03-13 14:54:20.413,2026-03-13 14:54:05.333,11.115,True,OPEN,OK,COMPUTED,36.753,40.536,,39.871,36.189,33.651,32.757,,31.674,,28.559,,,,,,,,,,,,,,,,43.610157471761156,35.97691509441886,33.71674969692707,31.950874334432083,29.131731569969453,43.610157471761156,35.97691509441886,33.71674969692707,31.950874334432083,29.131731569969453,27.861454493925365,26.14707149324833,26.14716207911688,9.893407774834088,Normal,36.95638043233849,943.43,931.005,932.93,922.9,1219.94,773.7401,16.865,1.82739192,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,939.765,SCHWAB_LAST_PRICE,NOT_NEEDED,,43.244,39.156,38.592,40.048,37.087,34.939,33.558,31.702,29.337,47.0,2.0,95.0,96.66666666666667,,,-0.10032039279324267,0.01613721709124132,0.2738318648811986,0.17655576508620685,31.721799999999998,5.066944514916396,1.6432388346643232,-3.195999999999998,1.456000000000003,-5.109000000000002,-3.2369999999999983,-13.907,FLAT,,,,ROLLING_20D,0,Rising,Unknown,PARTIAL_MATURE,High Vol,96.66666666666667,Unknown,False,High Vol,High Vol,False,ELEVATED,BASELINE,LOW,Bearish,-10.690236869814122,-13.968942761338965,Rising,28.995279053299964,24.68215260990576,Strong,40.15031289855165,True,,0.8419084522804401,OK,125,2026-03-13,,0.0,,,False,Bearish,1.322139045399643,1.0867916350633842,70.5030181086521,NORMAL,NO_GAP,NEAR_HIGH,22.96629342426677,21.457450634909577,37.20863675675409,MID_RANGE,NEUTRAL,16.865,1.82739192,NORMAL,MODERATE,,False,,,3.9070776842760986,79.16666666666666,0.1821179007609844,14.0,0.0,6.154250303072935,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,39.871,33.71674969692707,6.154250303072935,4.238125665567917,4.51926843003055,5.526837920883118,2.4118379208831193,18.25279826315474,13.264506070184975,15.513215955515852,21.137429385873094,9.224090605264564,True,True,True,True,True,False,True,False,True,False,True,False,-3.7391574717611533,False,2.9146195676615108,True,False,BOTH,True,False,False,False,True,False,False,False,True,False
GWW,2026-03-13 07:54:16.448,2026-03-13,,schwab,1071.405,32624.0,lastPrice,2026-03-13 14:52:25.646,2026-03-13 14:52:31.489,104.959,True,OPEN,OK,COMPUTED,27.274,27.274,,23.738,,,21.575,,26.895,,27.594,,,,,,,,,,,,,,,,20.313814043338525,21.392749633344703,34.27065507829027,27.848855771839908,26.101226237967573,20.313814043338525,21.392749633344703,34.27065507829027,27.848855771839908,26.101226237967573,24.286265531895847,23.6139605204167,26.151456945121417,-13.956841034951744,Normal_Contraction,28.21902470834832,1093.945,1064.24,1091.22,1082.18,1218.63,893.99,-10.775,-0.9956754,,,2026-03-13 07:54:16.448,127.69000244140624,26.40999984741211,0.03453142,16.236474119166665,0,1071.405,SCHWAB_LAST_PRICE,NOT_NEEDED,,28.366,28.366,,26.213,,,21.73,27.275,27.068,37.0,2.0,90.0,90.0,,,0.03912374532932821,0.036226097214794445,0.1886111274879505,,23.803725102210862,1.8478577352192167,1.3038205549429485,-2.1529999999999987,,,,-1.2979999999999983,FLAT,,,,ROLLING_20D,0,Stable,Unknown,PARTIAL_MATURE,High Vol,90.0,Unknown,False,High Vol,High Vol,False,ELEVATED,BASELINE,LOW,Bearish,-4.378234593595913,-2.2404571251299146,Stable,20.678006568345097,37.813109554996686,Moderate,18.893147615902777,True,,1.3073915644256768,OK,125,2026-03-13,Descending Triangle,64.0,,,False,Bearish,2.77252766227523,0.8353508658448652,24.120518431240466,NORMAL,NO_GAP,NEAR_LOW,12.081189532507826,19.845300283000924,54.6497658945293,MID_RANGE,NEUTRAL,-10.775,-0.9956754,NORMAL,MODERATE,,False,,,,66.66666666666666,,0.0,0.0,-10.532655078290269,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,SCHEMA_MISMATCH,SCHEMA_MISMATCH,SCHEMA_MISMATCH,PRESENT,23.738,34.27065507829027,10.532655078290269,,,0.7435430548785824,1.442543054878584,-30.733743064521935,,,2.8432184732150887,5.516109706261287,True,False,False,False,False,True,False,False,False,False,False,False,3.424185956661475,False,-4.481024708348322,False,True,BOTH,True,False,False,False,False,True,False,False,True,False
