Ticker,IV_Required,Reason
A,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ABBV,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
ABNB,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ACGL,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ADI,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
ADM,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ADSK,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AEE,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AFRM,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AIG,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AIZ,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AKAM,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ALGN,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ALL,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ALLE,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AMCR,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AMD,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AME,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AMGN,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AMP,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AMT,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ANET,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AON,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
APA,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
APH,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
APLD,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
APP,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
ARE,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
ASTS,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
ATO,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AVGO,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AVY,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AWK,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
AXON,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AXP,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
AZO,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BA,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BAC,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BAX,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BBY,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BG,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BIDU,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BIIB,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BKNG,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BKR,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BLDR,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BLK,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BMNR,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BMY,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BR,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BRO,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
BSX,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
BX,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
C,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
CAH,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CARR,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CASY,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
CBRE,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CCI,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CCL,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CDNS,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CDW,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CEG,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CELH,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
CF,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CFG,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CHD,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CHE,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
CHRW,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CI,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CIFR,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
CINF,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CL,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CLX,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CMCSA,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
CME,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CMG,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CMI,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CMS,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CNC,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
CNP,True,HIGH priority: IV Maturity Level 1 (<20 trading days)
COF,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
COIN,True,MEDIUM priority: IV Maturity Level 2 (20-60 trading days)
