Ticker,timestamp,IV_7_D_Call,IV_7_D_CallChg,IV_7_D_Put,IV_7_D_PutChg,IV_7_D_Call_1W,IV_7_D_Put_1W,IV_7_D_Call_1M,IV_7_D_Put_1M,IV_14_D_Call,IV_14_D_CallChg,IV_14_D_Put,IV_14_D_PutChg,IV_14_D_Call_1W,IV_14_D_Put_1W,IV_14_D_Call_1M,IV_14_D_Put_1M,IV_21_D_Call,IV_21_D_CallChg,IV_21_D_Put,IV_21_D_PutChg,IV_21_D_Call_1W,IV_21_D_Put_1W,IV_21_D_Call_1M,IV_21_D_Put_1M,IV_30_D_Call,IV_30_D_CallChg,IV_30_D_Put,IV_30_D_PutChg,IV_30_D_Call_1W,IV_30_D_Put_1W,IV_30_D_Call_1M,IV_30_D_Put_1M,IV_60_D_Call,IV_60_D_CallChg,IV_60_D_Put,IV_60_D_PutChg,IV_60_D_Call_1W,IV_60_D_Put_1W,IV_60_D_Call_1M,IV_60_D_Put_1M,IV_90_D_Call,IV_90_D_CallChg,IV_90_D_Put,IV_90_D_PutChg,IV_90_D_Call_1W,IV_90_D_Put_1W,IV_90_D_Call_1M,IV_90_D_Put_1M,IV_120_D_Call,IV_120_D_CallChg,IV_120_D_Put,IV_120_D_PutChg,IV_120_D_Call_1W,IV_120_D_Put_1W,IV_120_D_Call_1M,IV_120_D_Put_1M,IV_150_D_Call,IV_150_D_CallChg,IV_150_D_Put,IV_150_D_PutChg,IV_150_D_Call_1W,IV_150_D_Put_1W,IV_150_D_Call_1M,IV_150_D_Put_1M,IV_180_D_Call,IV_180_D_CallChg,IV_180_D_Put,IV_180_D_PutChg,IV_180_D_Call_1W,IV_180_D_Put_1W,IV_180_D_Call_1M,IV_180_D_Put_1M,IV_270_D_Call,IV_270_D_CallChg,IV_270_D_Put,IV_270_D_PutChg,IV_270_D_Call_1W,IV_270_D_Put_1W,IV_270_D_Call_1M,IV_270_D_Put_1M,IV_360_D_Call,IV_360_D_CallChg,IV_360_D_Put,IV_360_D_PutChg,IV_360_D_Call_1W,IV_360_D_Put_1W,IV_360_D_Call_1M,IV_360_D_Put_1M,IV_720_D_Call,IV_720_D_CallChg,IV_720_D_Put,IV_720_D_PutChg,IV_720_D_Call_1W,IV_720_D_Put_1W,IV_720_D_Call_1M,IV_720_D_Put_1M,IV_1080_D_Call,IV_1080_D_CallChg,IV_1080_D_Put,IV_1080_D_PutChg,IV_1080_D_Call_1W,IV_1080_D_Put_1W,IV_1080_D_Call_1M,IV_1080_D_Put_1M,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Date,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,IV30_Call,HV30,IVHV_gap_30D,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Regime,EMA_Signal,Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20,Price_vs_SMA50,SMA20,SMA50,Atr_Pct,Universal_Data_Complete,Directional_Data_Complete,Data_Complete,Crossover_Age_Bucket,Primary_Strategy,Secondary_Strategy,Strategy_Type,Confidence,Success_Probability,Trade_Bias,Entry_Priority,Risk_Level,Strategy_Tier,EXECUTABLE,Dollar_Allocation,Max_Position_Risk,Num_Contracts,Risk_Reward_Ratio,Portfolio_Weight,Risk_Per_Contract,Sizing_Method,Position_Valid,Min_DTE,Max_DTE,Preferred_DTE,Timeframe_Label,Timeframe_Rationale,Contract_Selection_Status,Selected_Expiration,Actual_DTE,Selected_Strikes,Contract_Symbols,Option_Type,Total_Debit,Total_Credit,Liquidity_Score,Open_Interest,Bid_Ask_Spread_Pct,Actual_Risk_Per_Contract,Risk_Model,Structure_Simplified,Contract_Intent,Pre_Filter_Status,Filter_Reason,PCS_Score,Execution_Ready,PCS_Final,Best_Strategy,Leg_Count,Capital_Allocation_Recommended,Contracts_Recommended
ORCL,2025-08-25 07:26:40.739799,38.13,2.56,38.02,2.05,37.03,36.79,36.21,35.43,50.92,15.35,51.25,15.29,37.03,36.79,34.76,34.15,56.96,-0.21,57.17,-0.05,35.92,35.83,34.17,33.42,52.5,-0.16,52.35,-0.09,51.44,50.92,34.62,32.72,47.41,-0.17,47.18,-0.54,46.38,45.91,43.7,42.52,44.32,-0.24,44.1,0.02,44.22,43.48,41.82,40.74,45.71,-0.48,45.55,-0.01,45.18,44.44,40.57,39.4,44.35,-0.09,43.91,-0.79,44.1,43.53,42.67,41.54,42.57,-0.9,42.66,0.15,42.68,42.27,41.26,40.05,42.29,-0.17,41.72,0.08,42.38,41.43,41.03,39.7,42.64,0.04,41.78,0.38,42.53,41.58,41.18,39.74,41.75,0.22,40.11,0.03,41.54,39.88,40.6,38.61,41.71,0.6,39.92,0.27,41.32,39.93,40.62,38.63,38.73,35.28,33.34,42.82,40.45,46.84,50.28,47.93,8/25/25,2986.466742547222,100.0,Mixed,Stable,Rising,52.5,33.34,19.159999999999997,19.159999999999997,4.589999999999996,3.8699999999999974,-5.359999999999999,-5.289999999999999,57.46850629874024,10.719290051377852,9.567367119901107,-11.182975172126016,-11.036928854579592,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bearish,Bearish,65,True,2.7813,-2.55,-30.45,200.54,228.44,4.96,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.648375,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.84,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[190.0],"[""ORCL260320P00190000""]",put,2890.0,0.0,86.13831327610285,7924,1.393728222996511,1445.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,95.84149398283085,True,95.84149398283085,Long Put,1,5780.0,2.0
AMD,2025-08-25 07:27:07.312354,45.74,4.33,45.59,4.64,44.62,44.06,45.41,44.69,44.98,3.56,44.81,3.86,44.62,44.06,56.32,55.49,44.16,2.69,43.97,3.0,42.99,42.69,54.22,53.6,43.55,1.85,43.35,2.21,42.56,42.42,49.64,49.85,44.43,1.48,44.0,1.74,42.69,42.15,45.74,45.18,46.98,0.67,46.49,1.05,45.97,45.09,44.66,43.79,45.86,0.37,45.27,0.71,46.0,45.02,45.84,44.88,45.35,0.41,44.63,0.77,45.36,44.2,44.71,44.06,45.94,0.31,45.12,0.62,46.01,44.73,44.68,43.45,46.08,0.12,45.01,0.45,46.36,44.9,44.86,43.12,45.95,-0.1,44.71,0.31,46.37,44.67,44.87,43.3,45.91,0.13,43.82,0.03,46.24,43.98,45.07,42.97,46.15,0.34,43.61,-0.1,46.21,43.9,45.25,42.81,46.15,51.01,47.66,45.62,44.68,59.42,56.6,54.25,8/25/25,2986.466742547222,13.983050847457559,Flat,Stable,Stable,43.55,47.66,-4.109999999999999,4.109999999999999,-1.1899999999999977,2.299999999999997,-8.310000000000002,-8.299999999999997,-8.623583718002518,-2.608505041648395,5.147717099373315,-15.317972350230418,-15.299539170506907,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,36,True,2.8753,0.51,-14.19,214.48,229.18,3.64,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.586625,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[175.0],"[""AMD260320P00175000""]",put,1130.0,0.0,80.25908491993725,13935,2.690582959641262,565.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,94.07772547598117,True,94.07772547598117,Long Put,1,6780.0,6.0
DKNG,2025-08-25 07:32:06.061547,36.74,2.57,36.33,2.96,36.23,35.77,39.77,38.45,37.09,2.93,36.47,3.09,36.23,35.77,59.89,59.97,37.86,2.7,36.77,2.22,35.72,34.97,58.88,58.24,37.77,1.7,37.12,1.66,35.76,35.42,53.86,52.85,38.41,1.02,38.36,1.68,36.65,35.74,47.58,46.85,41.55,-0.04,41.52,0.81,40.73,39.95,47.16,46.47,40.65,0.22,40.32,0.52,40.77,40.02,46.95,46.28,40.41,0.52,39.64,0.56,40.01,39.17,45.63,44.76,41.66,0.74,40.85,0.6,41.22,40.27,44.57,43.61,41.44,0.61,40.38,0.11,41.46,40.35,45.07,44.99,41.16,0.07,40.24,0.33,41.61,40.32,45.37,45.71,41.18,-1.08,39.91,-0.88,42.69,40.69,46.32,44.58,40.77,-1.64,39.7,-1.11,42.91,40.81,46.36,44.77,20.31,36.17,31.38,37.93,36.43,46.45,49.57,47.87,8/25/25,2986.466742547222,11.104972375690636,Flat,Rising,Falling,37.77,31.38,6.390000000000004,6.390000000000004,0.4799999999999969,5.119999999999997,-6.210000000000001,-6.710000000000001,20.36328871892927,1.2654890587925043,14.05435080977216,-12.972634217672866,-14.017129726342178,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,Ranging,Bullish,Bullish,25,True,0.1589,0.32,2.43,34.56,32.45,3.46,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.586625,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[37.5],"[""DKNG260320C00037500""]",call,476.0,0.0,79.30060923051235,3575,2.553191489361705,238.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,93.7901827691537,True,93.7901827691537,Long Call,1,7140.0,15.0
UBER,2025-08-25 07:31:08.042593,32.81,2.45,32.82,3.47,31.95,31.06,36.56,35.48,33.44,3.08,33.36,4.01,31.95,31.06,50.98,50.77,34.03,2.29,33.74,2.27,31.54,30.93,49.15,48.56,34.24,1.76,33.27,0.68,32.28,31.23,43.46,43.36,35.43,1.56,35.18,1.85,32.85,32.11,39.3,38.99,38.26,0.66,37.88,1.25,36.2,35.32,38.02,37.33,37.05,0.58,36.82,0.86,36.04,35.06,39.38,38.54,36.91,1.09,36.25,1.32,35.54,34.41,38.77,37.9,37.37,0.85,36.56,0.93,36.12,34.89,37.93,36.63,38.23,0.6,36.99,0.5,37.31,35.67,39.24,37.61,37.67,-0.06,36.66,0.46,37.31,35.5,39.95,37.77,39.42,0.83,37.23,0.65,38.6,36.26,40.23,37.94,39.73,1.06,37.19,0.65,38.8,36.18,40.65,38.02,20.08,29.65,26.79,29.88,32.5,38.65,40.83,41.32,8/25/25,2986.466742547222,17.531305903398934,Flat,Rising,Falling,34.24,26.79,7.450000000000003,7.450000000000003,5.550000000000001,5.759999999999998,-3.950000000000003,-3.6499999999999986,27.80888391190744,18.574297188755022,17.723076923076917,-9.55953533397871,-8.833494675701836,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,Neutral,Bearish,Bearish,51,True,-0.6974,-3.57,-7.91,84.83,89.17,2.95,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.586625,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[80.0],"[""UBER260320P00080000""]",put,930.0000000000001,0.0,74.83973481838545,11490,4.395604395604399,465.00000000000006,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,92.45192044551564,True,92.45192044551564,Long Put,1,7440.000000000001,8.0
NEE,2025-08-25 07:31:25.327704,21.64,2.0,21.0,1.9,30.09,28.98,27.25,25.33,21.84,2.2,21.52,2.41,30.09,28.98,26.3,24.43,21.88,1.89,21.8,2.06,27.56,27.63,25.58,24.64,23.51,2.16,23.14,2.76,26.12,26.3,26.38,25.6,23.02,0.5,22.98,1.04,25.33,26.4,24.71,23.76,24.0,0.14,23.74,0.41,25.57,24.4,24.95,22.6,23.79,0.01,23.74,0.65,25.62,24.47,25.74,24.51,23.78,-0.66,23.59,0.24,25.05,23.87,25.69,24.43,24.18,-0.74,24.02,-0.2,24.72,24.01,25.63,24.41,24.8,-0.42,24.76,0.58,25.68,25.21,26.37,25.39,25.3,-0.37,24.93,0.56,26.34,25.56,27.28,25.97,26.02,-0.91,25.34,0.7,26.18,25.7,27.85,26.03,26.02,-0.91,25.34,0.7,26.18,25.7,27.85,26.03,22.62,20.93,26.53,26.75,29.48,32.13,31.47,30.27,8/25/25,2986.466742547222,0.0,Flat,Falling,Falling,23.51,26.53,-3.0199999999999996,3.0199999999999996,-3.7300000000000004,-5.48,-6.09,-4.969999999999999,-11.383339615529588,-13.94392523364486,-18.58887381275441,-20.118929633300297,-16.418896597291045,True,True,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,Ranging,Bearish,Bearish,18,True,-0.4769,-1.37,-2.33,81.78,82.74,1.84,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.586625,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[77.5],"[""NEE260320P00077500""]",put,459.99999999999994,0.0,73.07393016174278,2504,3.5398230088495417,229.99999999999997,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,91.92217904852284,True,91.92217904852284,Long Put,1,7359.999999999999,16.0
AVGO,2025-08-25 07:26:34.236724,61.76,4.6,61.69,5.1,40.33,40.5,40.76,39.51,58.1,0.94,57.96,1.37,40.33,40.5,39.4,37.82,52.99,0.45,52.79,0.71,51.26,50.97,37.75,37.1,49.27,0.8,49.11,0.46,47.76,47.73,37.05,35.5,44.85,0.31,44.58,0.53,44.02,43.65,42.75,42.14,43.83,0.43,43.42,0.61,43.16,42.79,41.42,40.64,44.67,-0.01,44.14,0.11,44.11,43.66,41.52,40.34,43.53,-0.12,42.95,0.2,43.75,43.04,43.42,41.71,42.95,-0.01,42.3,0.27,43.15,42.28,42.85,41.33,43.16,0.04,42.26,0.16,43.41,42.31,42.53,40.99,42.72,-0.83,41.63,-0.38,43.33,41.98,42.76,41.06,43.12,-0.21,41.3,-0.37,43.65,41.92,43.07,41.17,43.16,0.07,41.04,-0.5,43.42,41.75,43.24,41.22,28.44,30.41,29.23,30.97,33.34,50.61,56.09,61.37,8/25/25,2986.466742547222,100.0,Inverted,Stable,Stable,49.27,29.23,20.040000000000003,20.040000000000003,13.880000000000003,10.489999999999995,-18.419999999999995,-18.65,68.55969893944578,44.817565385857286,31.463707258548272,-30.014665145836723,-30.389441094997554,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Neutral,Bearish,Bearish,10,True,-1.8168,-16.28,-9.08,368.41,361.21,4.73,True,True,True,Age_6_15,Long Put,Covered Call (if holding stock),Directional,70.0,0.735,Bearish,High,Medium,1,True,156.91548980049316,156.91548980049316,2,2.77,0.15691548980049316,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (70.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[320.0],"[""AVGO260320P00320000""]",put,3379.9999999999995,0.0,85.94717708974804,6542,1.7910447761193862,1689.9999999999998,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,91.28415312692441,True,91.28415312692441,Long Put,1,6759.999999999999,2.0
PG,2025-08-25 07:26:43.439913,16.69,1.09,16.83,1.13,17.29,16.93,28.85,28.76,16.68,1.09,16.72,1.02,17.29,16.93,25.83,24.55,16.82,0.2,16.84,0.19,16.99,16.98,23.22,21.84,18.73,2.06,18.24,1.8,15.89,16.96,21.81,20.48,20.18,0.25,19.73,0.87,19.54,18.84,20.85,19.7,19.95,0.49,19.59,1.15,19.88,19.26,21.3,19.91,19.72,0.37,19.31,0.87,19.92,19.26,20.87,19.41,19.64,0.31,19.24,0.77,19.95,19.24,20.6,19.11,19.77,0.09,19.53,0.83,20.12,19.27,20.43,18.93,20.23,0.28,19.28,0.56,20.43,19.13,20.36,18.92,19.88,-0.49,19.39,0.54,20.47,19.09,20.36,18.77,21.02,0.24,19.4,0.1,21.32,19.48,20.67,18.77,21.02,0.24,19.4,0.1,21.32,19.48,20.67,18.77,12.52,15.59,16.14,15.08,17.64,19.94,20.6,19.92,8/25/25,2986.466742547222,47.97297297297299,Flat,Rising,Falling,18.73,16.14,2.59,2.59,5.1,2.3099999999999987,-0.15000000000000213,-0.0400000000000027,16.04708798017348,33.81962864721485,13.095238095238088,-0.7530120481927818,-0.20080321285141917,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Ranging,Bearish,Bearish,99,True,-0.3449,0.66,-2.12,144.08,146.86,1.63,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.6174999999999999,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.61,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[145.0],"[""PG260320P00145000""]",put,1140.0,0.0,69.78563026751215,3828,5.405405405405402,570.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,90.93568908025364,True,90.93568908025364,Long Put,1,6840.0,6.0
PANW,2025-08-25 07:31:34.536890,28.24,1.72,27.91,1.5,55.76,55.55,29.93,30.84,28.37,1.85,27.98,1.57,55.76,55.55,30.22,29.53,28.51,1.55,28.12,1.27,48.31,48.4,30.68,30.47,28.27,0.86,28.73,1.06,43.91,43.65,37.85,40.08,30.21,0.95,29.87,1.07,37.84,37.36,36.61,35.7,33.04,0.32,32.5,0.68,38.38,37.45,34.5,33.66,33.01,0.48,32.42,0.62,38.14,37.17,35.22,35.04,32.74,0.66,32.07,0.79,37.12,36.11,34.64,34.43,33.87,0.49,32.98,0.69,37.53,36.28,34.18,33.63,34.15,0.32,33.09,0.1,36.71,35.82,35.15,34.33,35.25,0.96,33.73,0.06,37.47,35.76,35.68,34.65,36.92,0.34,34.99,0.4,38.06,35.42,35.72,34.37,37.09,0.19,34.74,-0.01,38.39,35.21,35.76,34.79,28.59,43.45,37.78,35.09,35.23,41.11,39.64,38.6,8/25/25,2986.466742547222,0.0,Contango,Falling,Falling,28.27,37.78,-9.510000000000002,9.510000000000002,-4.880000000000003,-2.1899999999999977,-4.730000000000004,-3.3500000000000014,-25.172048703017474,-13.907096038757485,-6.216292932160085,-12.253886010362704,-8.67875647668394,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Ranging,Bearish,Bearish,43,True,0.029,-1.74,-12.31,190.19,200.76,2.03,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.586625,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[180.0],"[""PANW260320P00180000""]",put,1530.0,0.0,67.10005330267946,2011,2.6490066225165583,765.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,90.13001599080384,True,90.13001599080384,Long Put,1,6120.0,4.0
TMUS,2025-08-25 07:26:59.788086,18.87,1.97,19.73,1.85,19.82,19.88,47.39,46.55,18.82,1.92,19.37,1.49,19.82,19.88,41.76,41.09,19.42,0.72,19.57,0.85,19.67,19.61,34.13,33.16,20.09,0.59,19.85,0.5,20.52,20.18,30.68,30.43,21.45,0.58,21.16,0.68,21.29,20.98,28.21,26.14,23.62,0.57,23.1,0.58,23.51,23.0,27.78,26.14,23.0,0.2,22.55,0.55,23.6,23.0,27.56,26.14,22.89,0.15,22.43,0.63,23.32,22.67,26.85,25.2,23.68,-0.04,23.01,0.26,24.22,23.19,26.4,24.68,24.24,0.11,23.54,-0.07,24.96,23.77,26.74,25.51,24.79,0.13,23.88,0.03,25.34,24.09,26.7,25.85,25.09,0.0,24.1,0.21,25.7,24.26,27.05,25.37,25.09,0.0,24.1,0.21,25.7,24.26,27.05,25.37,20.1,19.65,24.54,24.63,31.29,31.46,31.43,30.71,8/25/25,2986.466742547222,0.0,Contango,Stable,Falling,20.09,24.54,-4.449999999999999,4.449999999999999,-3.1799999999999997,-7.669999999999998,-7.030000000000001,-5.920000000000002,-18.13365933170334,-12.911084043848964,-24.5126238414829,-22.891566265060245,-19.277108433734945,True,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,Ranging,Bearish,Bearish,128,True,-0.1751,-0.38,-7.36,201.38,208.36,1.99,True,True,True,Age_16_plus,Long Put,Covered Call (if holding stock),Directional,65.0,0.586625,Bearish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[200.0],"[""TMUS260320P00200000""]",put,2000.0,0.0,62.516719359408995,681,3.0456852791878246,1000.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,88.7550158078227,True,88.7550158078227,Long Put,1,6000.0,3.0
BIDU,2025-08-25 07:32:12.976983,36.86,2.49,36.84,3.04,47.06,45.81,40.38,39.03,36.73,2.36,36.58,2.78,47.06,45.81,39.66,38.28,36.44,1.87,36.21,2.73,44.55,42.97,39.17,38.45,36.47,1.78,36.21,1.97,42.92,42.52,42.88,42.4,36.69,0.46,36.31,1.72,38.73,38.29,41.13,40.29,37.85,-0.12,37.35,1.03,39.46,38.65,40.67,38.55,37.78,-0.21,37.04,0.15,39.22,38.31,40.23,38.54,37.45,-0.19,36.72,0.57,38.96,37.54,39.99,38.54,37.77,-0.21,36.96,0.58,39.05,37.34,40.37,38.75,38.04,-0.58,36.69,-0.29,39.33,37.3,40.92,37.99,37.89,-0.58,36.31,-0.41,39.51,37.3,40.67,37.58,38.44,0.21,36.76,-0.14,40.4,37.31,39.53,37.33,38.44,0.21,36.76,-0.14,40.4,37.31,39.53,37.33,35.19,31.57,44.77,35.99,35.08,41.53,44.35,43.35,8/25/25,2986.466742547222,0.0,Flat,Falling,Falling,36.47,44.77,-8.300000000000004,8.300000000000004,0.6999999999999957,2.770000000000003,-5.579999999999998,-5.460000000000001,-18.539200357382185,1.944984717977204,7.896237172177889,-12.871972318339095,-12.595155709342562,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Neutral,Bullish,Bullish,18,True,1.2714,2.35,2.98,122.45,121.82,2.89,True,True,True,Age_16_plus,Long Call,Cash-Secured Put,Directional,65.0,0.586625,Bullish,Medium,Medium,1,True,145.70724052902938,145.70724052902938,2,1.42,0.1457072405290294,500,volatility_scaled,True,60,90,75,Medium,Directional strategy with moderate confidence (65.0): 60-90 DTE for thesis development,Success,2026-03-20,82,[120.0],"[""BIDU260320C00120000""]",call,2680.0,0.0,60.59284456445285,6091,6.551059730250479,1340.0,Debit_Max,False,Execution_Candidate,Valid,All validation checks passed,88.17785336933585,True,88.17785336933585,Long Call,1,5360.0,2.0
