Ticker,timestamp,Date,Error,IV_7_D_Call,IV_7_D_Put,IV_14_D_Call,IV_14_D_Put,IV_21_D_Call,IV_21_D_Put,IV_30_D_Call,IV_30_D_Put,IV_60_D_Call,IV_60_D_Put,IV_90_D_Call,IV_90_D_Put,IV_120_D_Call,IV_120_D_Put,IV_150_D_Call,IV_150_D_Put,IV_180_D_Call,IV_180_D_Put,IV_270_D_Call,IV_270_D_Put,IV_360_D_Call,IV_360_D_Put,IV_720_D_Call,IV_720_D_Put,IV_1080_D_Call,IV_1080_D_Put,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_x,Price_vs_SMA50_x,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_y,Price_vs_SMA50_y,SMA20,SMA50,Atr_Pct
KLAC,2025-12-29 07:27:01.461020,2025-12-29,,39.41,39.22,39.41,39.22,40.23,40.04,41.66,41.48,42.97,42.79,42.67,42.41,43.08,42.73,43.77,43.4,43.74,43.29,43.72,43.16,44.1,42.99,43.77,41.98,43.75,41.92,43.32,32.76,37.7,41.61,38.16,38.64,36.81,38.64,4.081822878333334,,Flat,Unknown,Rising,,False,Unknown,Bullish,2.57767844405771,5.567950426593074,Falling,25.74874047159391,56.02879257811034,Strong,37.084520422466824,True,0.8901709174860016,,0.0,,,False,3.9599999999999937,Bullish,Unknown,41.66,37.7,3.9599999999999937,1.3599999999999994,4.510000000000005,5.100000000000001,5.460000000000001,10.503978779840832,3.2684450853160283,11.818658280922447,13.198757763975157,14.130434782608697,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,27,True,25.6623,31.92,66.69,1227.47,1192.7,3.05
AXON,2025-12-29 07:27:05.817772,2025-12-29,,38.85,37.96,38.85,37.96,38.55,37.76,38.01,37.4,41.77,41.22,49.19,48.48,49.31,48.65,49.38,48.76,49.42,48.76,49.36,48.35,48.41,47.35,48.38,46.2,48.4,46.15,38.85,32.22,29.65,43.83,41.85,48.45,45.53,46.07,4.081822878333334,,Mixed,Unknown,Rising,,False,Unknown,Neutral,2.8896603394983313,-3.555527619621578,Falling,37.5146390034357,59.358966438917506,Strong,35.9693215925096,True,0.9463120650489241,Descending Triangle,64.0,,,False,8.36,Bidirectional,Unknown,38.01,29.65,8.36,-2.059999999999995,7.339999999999996,3.3500000000000014,2.3399999999999963,28.195615514333895,-4.699977184576763,17.53882915173237,7.2715433036683335,5.079227262860856,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,7,True,8.6101,17.33,-20.36,564.6,602.3,3.87
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,4.081822878333334,,Contango,Unknown,Falling,,False,Unknown,Bullish,4.047769908038935,10.58691990137268,Falling,28.95324099560001,75.84968543209213,Strong,20.76750857131059,True,0.6842671687416998,Ascending Triangle,63.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,16.3927,42.57,104.22,1042.35,980.71,2.42
SPOT,2025-12-29 07:27:19.492686,2025-12-29,,35.25,35.03,35.27,35.61,35.34,35.87,35.78,35.77,42.83,42.19,41.27,40.97,41.47,41.11,42.16,41.76,41.39,41.01,42.47,41.67,43.06,41.66,43.98,42.02,44.17,41.88,28.67,32.57,31.49,28.9,27.59,35.43,36.32,38.18,4.081822878333334,,Contango,Unknown,Falling,,False,Unknown,Neutral,0.5053259985052994,-5.038784170478885,Falling,15.831217389535862,54.11991462074131,Moderate,28.620598012978576,True,0.7999049193118662,,0.0,,,False,4.290000000000003,Bidirectional,Unknown,35.78,31.49,4.290000000000003,13.93,13.680000000000003,3.210000000000001,4.880000000000003,13.623372499206107,48.200692041522494,49.58318231243205,8.407543216343639,12.781561026715565,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,Trending,Bearish,Bearish,87,True,2.5781,3.17,-30.64,579.35,613.16,2.81
URI,2025-12-29 07:27:22.728845,2025-12-29,,28.88,28.24,29.21,28.65,29.47,29.07,32.56,32.78,32.52,32.15,32.31,31.92,32.85,32.43,33.17,32.73,33.51,33.04,34.72,34.1,35.84,35.09,37.99,36.34,38.1,36.41,23.85,24.25,27.52,30.28,28.56,30.89,29.43,32.2,4.081822878333334,,Flat,Unknown,Falling,,False,Unknown,Neutral,0.8974995374000072,-2.8311264891253773,Falling,18.3087096371061,60.644827816767624,Moderate,22.531744568777317,True,0.6920068970754704,,0.0,,,False,5.040000000000003,Bidirectional,Unknown,32.56,27.52,5.040000000000003,2.240000000000002,3.7500000000000036,1.3099999999999952,3.6400000000000006,18.313953488372103,7.397622192866585,13.13025210084035,4.068322981366444,11.304347826086957,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,0,True,7.2402,7.27,-23.82,810.22,841.31,2.81
MPWR,2025-12-29 07:27:25.943686,2025-12-29,,41.36,42.28,41.36,42.28,43.16,43.8,46.21,46.4,48.79,48.5,48.37,47.95,48.88,48.47,48.86,48.34,48.59,47.9,48.63,47.78,48.32,47.52,48.27,47.48,48.27,47.48,31.79,27.56,33.98,48.06,42.36,42.74,41.76,48.05,4.081822878333334,,Flat,Unknown,Falling,,False,Unknown,Bearish,-1.916963875489709,-3.366433698905904,Falling,14.779984210456414,35.98733428928627,Weak,26.806955035874953,True,0.5801115567166187,Descending Triangle,64.0,,,False,12.230000000000004,Bearish,Unknown,46.21,33.98,12.230000000000004,0.7299999999999969,6.009999999999998,0.5400000000000063,0.2700000000000031,35.99175985874045,1.518934665002074,14.187913125590173,1.1238293444328955,0.5619146722164478,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Ranging,Bearish,Bearish,12,True,-0.1622,-18.22,-32.47,950.41,964.66,3.29
META,2025-12-29 07:27:29.835164,2025-12-29,,24.2,24.04,24.6,24.43,24.82,24.62,34.97,34.77,35.07,34.74,33.59,33.17,34.36,33.87,35.55,34.99,35.05,34.42,36.07,35.17,36.57,35.45,38.3,36.35,38.24,36.26,18.47,22.71,23.86,35.03,30.41,32.91,31.56,34.1,4.081822878333334,,Mixed,Unknown,Falling,,False,Unknown,Bullish,0.27936191738878746,0.300474346724084,Falling,60.72934010248898,45.22390070212861,Strong,17.649412876380076,True,0.5047015406456985,Descending Triangle,64.0,,,False,11.11,Bullish,Unknown,34.97,23.86,11.11,0.03999999999999915,3.1800000000000033,0.9499999999999957,2.469999999999999,46.56328583403185,0.11418783899514458,10.457086484708988,2.7859237536656765,7.243401759530787,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,24,True,4.1848,2.31,2.47,656.05,655.9,2.61
MCK,2025-12-29 07:27:35.094230,2025-12-29,,22.72,21.68,23.35,22.62,23.95,23.74,24.4,23.92,28.07,27.74,27.39,27.13,28.02,27.62,28.07,27.58,27.99,27.43,28.82,28.08,29.41,28.33,30.59,28.78,30.66,28.82,13.36,23.13,22.05,21.21,24.25,24.2,23.08,23.01,4.081822878333334,,Contango,Unknown,Falling,,False,Unknown,Bullish,1.4976499190362416,0.18600833620308457,Falling,36.27462878153268,70.42184647312675,Strong,13.18401102933396,True,0.5403283208743426,Ascending Triangle,63.0,,,False,2.349999999999998,Bullish,Unknown,24.4,22.05,2.349999999999998,6.859999999999999,3.1400000000000006,4.979999999999997,6.399999999999999,10.657596371882077,32.34323432343234,12.948453608247426,21.64276401564536,27.813993915688823,True,True,True,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,Trending,Bearish,Bearish,25,True,7.29,13.2,2.53,817.5,828.17,1.5
PH,2025-12-29 07:27:38.778592,2025-12-29,,18.62,18.23,18.62,18.23,20.32,19.94,23.07,22.69,25.73,25.36,26.17,25.82,26.39,26.05,26.56,26.17,26.7,26.24,27.14,26.48,27.44,26.66,27.44,26.66,27.44,26.66,14.83,17.92,18.42,24.99,22.67,22.78,21.82,23.46,4.081822878333334,,Contango,Unknown,Falling,,False,Unknown,Bullish,1.3184297833226648,6.747148249641123,Falling,29.04826103916031,54.227143641266736,Strong,12.339812076720142,True,0.5348856556879125,,0.0,Bullish Engulfing,Strong,True,4.649999999999999,Bullish,Unknown,23.07,18.42,4.649999999999999,0.740000000000002,3.5,3.2399999999999984,3.9800000000000004,25.24429967426709,2.961184473789524,15.438906043228936,13.810741687979533,16.965046888320547,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,67,True,7.1719,11.99,56.64,877.85,833.19,1.62
GS,2025-12-29 07:27:42.777764,2025-12-29,,23.11,22.2,27.24,26.67,29.66,29.34,29.34,28.82,28.02,27.57,29.03,28.65,29.84,29.31,29.98,29.52,30.02,29.59,30.24,29.82,30.53,29.91,32.52,31.15,32.67,31.28,19.95,21.75,25.79,25.17,23.67,22.81,22.52,24.1,4.081822878333334,,Mixed,Unknown,Falling,,False,Unknown,Bullish,2.4193055170504536,9.352777119625335,Falling,63.800475089036716,60.76658426139941,Strong,15.81900991036807,True,0.5391618919689185,,0.0,,,False,3.5500000000000007,Bullish,Unknown,29.34,25.79,3.5500000000000007,2.849999999999998,5.359999999999999,5.919999999999998,6.43,13.765025203567276,11.32300357568533,22.64469792986903,24.564315352697086,26.680497925311204,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,34,True,12.654,21.26,76.77,875.43,819.92,2.2
