Ticker,timestamp,Date,data_source,last_price,volume,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,hv_slope,volatility_regime,snapshot_ts,Signal_Type,Regime,IVHV_gap_30D,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20,Price_vs_SMA50,SMA20,SMA50,Atr_Pct
AAPL,2025-12-31 19:45:45.893586,2025-12-31,yfinance,271.8599853515625,27278500,,9.265492512207015,9.782659779668528,13.069918797185778,17.835068809145223,,9.265492512207015,9.782659779668528,13.069918797185778,17.835068809145223,,-3.8044262849787636,Low_Compression,2025-12-31 19:45:45.893602,Neutral,Low_Compression,0.0,Neutral,Bearish,Bearish,12,True,-0.54,-3.61,-0.73,275.47,272.59,1.39
MSFT,2025-12-31 19:45:46.175065,2025-12-31,yfinance,483.6199951171875,15590800,,9.945989069283593,17.807381066719053,19.563238644830275,18.827158463042657,,9.945989069283593,17.807381066719053,19.563238644830275,18.827158463042657,,-9.617249575546682,Normal_Contraction,2025-12-31 19:45:46.175079,Neutral,Normal_Contraction,0.0,Neutral,Bearish,Bearish,56,True,1.1323,0.21,-12.46,483.41,496.08,1.26
GOOGL,2025-12-31 19:45:46.288894,2025-12-31,yfinance,313.0,16366500,,23.229806614582145,22.374441751257443,29.59479657997268,30.275448926593384,,23.229806614582145,22.374441751257443,29.59479657997268,30.275448926593384,,-6.364989965390535,Normal_Contraction,2025-12-31 19:45:46.288908,Neutral,Normal_Contraction,0.0,Neutral,Bullish,Bullish,125,True,1.9485,0.81,16.53,312.19,296.47,2.04
AMZN,2025-12-31 19:45:46.369291,2025-12-31,yfinance,230.82000732421875,24358700,,15.463619758854803,17.540693075426343,23.688593372797406,33.23326524159025,,15.463619758854803,17.540693075426343,23.688593372797406,33.23326524159025,,-8.224973613942604,Normal_Contraction,2025-12-31 19:45:46.369304,Neutral,Normal_Contraction,0.0,Neutral,Bullish,Bullish,5,True,1.8714,2.05,-0.62,228.77,231.44,1.57
NVDA,2025-12-31 19:45:46.507431,2025-12-31,yfinance,186.5,119731600,,35.55315732637695,30.66658437884912,32.034293802239645,37.596342102071766,,35.55315732637695,30.66658437884912,32.034293802239645,37.596342102071766,,3.518863524137302,Normal,2025-12-31 19:45:46.507443,Neutral,Normal,0.0,Trending,Bullish,Bullish,7,True,3.0948,4.0,0.15,182.5,186.35,2.68
META,2025-12-31 19:45:46.679600,2025-12-31,yfinance,660.0900268554688,7915800,,17.339179034764545,21.581719741447152,23.96242286927816,34.72050413606959,,17.339179034764545,21.581719741447152,23.96242286927816,34.72050413606959,,-6.623243834513616,Normal_Contraction,2025-12-31 19:45:46.679612,Neutral,Normal_Contraction,0.0,Neutral,Bullish,Bullish,26,True,1.3895,2.07,6.62,658.02,653.47,2.54
TSLA,2025-12-31 19:45:46.770092,2025-12-31,yfinance,449.7200012207031,48899800,,36.48230559917815,39.50718005224167,38.78097744572237,45.73732303659687,,36.48230559917815,39.50718005224167,38.78097744572237,45.73732303659687,,-2.2986718465442237,Elevated,2025-12-31 19:45:46.770104,Neutral,Elevated,0.0,Trending,Bullish,Bullish,28,True,-11.6216,-14.98,4.62,464.7,445.1,3.78
JPM,2025-12-31 19:45:46.930745,2025-12-31,yfinance,322.2200012207031,5047700,,15.716315696728364,26.314801924201355,23.95850915160164,22.964362643478843,,15.716315696728364,26.314801924201355,23.95850915160164,22.964362643478843,,-8.242193454873275,Normal_Contraction,2025-12-31 19:45:46.930755,Neutral,Normal_Contraction,0.0,Neutral,Bullish,Bullish,30,True,1.9865,4.16,11.32,318.06,310.9,1.5
V,2025-12-31 19:45:47.112424,2025-12-31,yfinance,350.7099914550781,3501500,,8.657250001892317,23.30193997222288,20.807220664349373,19.420283594405063,,8.657250001892317,23.30193997222288,20.807220664349373,19.420283594405063,,-12.149970662457056,Normal_Contraction,2025-12-31 19:45:47.112435,Neutral,Normal_Contraction,0.0,Trending,Bullish,Bullish,19,True,2.9109,7.37,11.76,343.33,338.95,1.42
WMT,2025-12-31 19:45:47.297773,2025-12-31,yfinance,111.41000366210938,11481900,,12.545089477539118,17.65512941247403,26.758479306060067,23.625814901216707,,12.545089477539118,17.65512941247403,26.758479306060067,23.625814901216707,,-14.213389828520949,Normal_Contraction,2025-12-31 19:45:47.297788,Neutral,Normal_Contraction,0.0,Neutral,Bullish,Bullish,41,True,-0.8046,-2.42,3.29,113.83,108.12,1.44
