Ticker,timestamp,Date,Error,IV_7_D_Call,IV_7_D_Put,IV_14_D_Call,IV_14_D_Put,IV_21_D_Call,IV_21_D_Put,IV_30_D_Call,IV_30_D_Put,IV_60_D_Call,IV_60_D_Put,IV_90_D_Call,IV_90_D_Put,IV_120_D_Call,IV_120_D_Put,IV_150_D_Call,IV_150_D_Put,IV_180_D_Call,IV_180_D_Put,IV_270_D_Call,IV_270_D_Put,IV_360_D_Call,IV_360_D_Put,IV_720_D_Call,IV_720_D_Put,IV_1080_D_Call,IV_1080_D_Put,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_x,Price_vs_SMA50_x,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_y,Price_vs_SMA50_y,SMA20,SMA50,Atr_Pct,Universal_Data_Complete,Directional_Data_Complete,Data_Complete,Crossover_Age_Bucket,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,EXECUTABLE,Primary_Strategy,Secondary_Strategy,Success_Probability,Entry_Priority,Risk_Level,Min_DTE,Max_DTE,Target_DTE,Timeframe_Label,DTE_Rationale,Expiration_Count_Target,Num_Contracts,Dollar_Allocation,Contract_Selection_Status,Selected_Expiration,Actual_DTE,Selected_Strikes,Contract_Symbols,Option_Type,Total_Debit,Total_Credit,Liquidity_Score,Open_Interest,Put_Call_Skew,Probability_Of_Profit,Is_LEAP,Horizon_Class,LEAP_Reason,Selection_Mode,Liquidity_Profile,Liquidity_Class,Liquidity_Context,Candidate_Contracts,Num_Candidates,Attempted_DTE,Failure_Reason,Closest_Expiration_Considered,Best_Strike_Considered,Underlying_Price,Phase1_Status,Phase1_Sampled_Expiration,Phase1_Sampled_DTE,Phase1_Sample_Quality,Phase1_Has_ATM_Strike,Phase1_Has_Liquidity,Phase1_Skip_Reason,Phase2_Full_Chain_Fetched,Phase2_Cache_Hit,Phase2_Expirations_Count,Phase2_Strategy_Laziness_Applied,Chain_Liquid,Contract_Executable,Expirations_Found,Total_Strikes_Scanned,Calls_With_Bid,Puts_With_Bid,Median_Call_Spread_Pct,Median_Put_Spread_Pct,Max_OI_Seen,ATM_Strike_Liquid,Chain_Audit_Summary,Bid_Ask_Spread_Pct,Parallel_Worker_ID,Parallel_Processing_Time,Parallel_Error,Parallel_Batch_Size,Promoted_Strike,Actual_Risk_Per_Contract,Risk_Model,Structure_Simplified,Contract_Intent
AXON,2025-12-29 07:27:05.817772,2025-12-29,,38.85,37.96,38.85,37.96,38.55,37.76,38.01,37.4,41.77,41.22,49.19,48.48,49.31,48.65,49.38,48.76,49.42,48.76,49.36,48.35,48.41,47.35,48.38,46.2,48.4,46.15,38.85,32.22,29.65,43.83,41.85,48.45,45.53,46.07,4.136110307777778,,Mixed,Unknown,Rising,,False,Unknown,Bullish,2.6000954714091105,5.591754898650643,Falling,25.74874047159391,56.08562855640032,Strong,37.04771691168433,True,0.9746834230908796,,0.0,,,False,8.36,Bullish,Unknown,38.01,29.65,8.36,-2.059999999999995,7.339999999999996,3.3500000000000014,2.3399999999999963,28.195615514333895,-4.699977184576763,17.53882915173237,7.2715433036683335,5.079227262860856,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,7,True,8.5961,17.27,-20.43,564.6,602.29,3.87,False,True,False,Age_6_15,,Long Call,1,Bullish + Cheap IV (gap_180d=3.4),Natenberg Ch.3 - Directional with positive vega,Bullish,"gap_30d=8.4, gap_60d=-2.1, gap_180d=3.4",500,Defined (max loss = premium paid),"Long Delta, Long Vega, Short Theta",True,65,Bullish,Directional,True,Buy-Write,Cash-Secured Put,0.65,Medium,Medium,35,50,42,Short-Medium,Directional (Long Call) with moderate confidence (65): 35-50 DTE for directional exposure,2,1,1000,No_Viable_Expirations,,0,[],[],call,0.0,0.0,0.0,0,,,False,Unknown,,Standard,Standard,Unknown,,[],0,0,No expirations in DTE range 35-50,,0.0,581.865,No_Viable_Expirations,,0,N/A,False,False,No expirations in DTE range 35-50,False,False,0,False,False,False,[],0,0,0,0.0,0.0,0,False,,0.0,ThreadPoolExecutor-5_0,0.918450117111206,,3,,,,,
AXON,2025-12-29 07:27:05.817772,2025-12-29,,38.85,37.96,38.85,37.96,38.55,37.76,38.01,37.4,41.77,41.22,49.19,48.48,49.31,48.65,49.38,48.76,49.42,48.76,49.36,48.35,48.41,47.35,48.38,46.2,48.4,46.15,38.85,32.22,29.65,43.83,41.85,48.45,45.53,46.07,4.136110307777778,,Mixed,Unknown,Rising,,False,Unknown,Bullish,2.6000954714091105,5.591754898650643,Falling,25.74874047159391,56.08562855640032,Strong,37.04771691168433,True,0.9746834230908796,,0.0,,,False,8.36,Bullish,Unknown,38.01,29.65,8.36,-2.059999999999995,7.339999999999996,3.3500000000000014,2.3399999999999963,28.195615514333895,-4.699977184576763,17.53882915173237,7.2715433036683335,5.079227262860856,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,7,True,8.5961,17.27,-20.43,564.6,602.29,3.87,False,True,False,Age_6_15,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=8.4, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=8.4, IV_Rank=nan",15000,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,True,Buy-Write,Cash-Secured Put,0.7,Medium,Medium,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2,1,1000,No_Viable_Expirations,,0,[],[],put,0.0,0.0,0.0,0,,,False,Unknown,,Standard,Standard,Unknown,,[],0,0,No expirations in DTE range 30-45,,0.0,581.865,No_Viable_Expirations,,0,N/A,False,False,No expirations in DTE range 30-45,False,False,0,False,False,False,[],0,0,0,0.0,0.0,0,False,,0.0,ThreadPoolExecutor-5_0,1.452625036239624,,3,,,,,
AXON,2025-12-29 07:27:05.817772,2025-12-29,,38.85,37.96,38.85,37.96,38.55,37.76,38.01,37.4,41.77,41.22,49.19,48.48,49.31,48.65,49.38,48.76,49.42,48.76,49.36,48.35,48.41,47.35,48.38,46.2,48.4,46.15,38.85,32.22,29.65,43.83,41.85,48.45,45.53,46.07,4.136110307777778,,Mixed,Unknown,Rising,,False,Unknown,Bullish,2.6000954714091105,5.591754898650643,Falling,25.74874047159391,56.08562855640032,Strong,37.04771691168433,True,0.9746834230908796,,0.0,,,False,8.36,Bullish,Unknown,38.01,29.65,8.36,-2.059999999999995,7.339999999999996,3.3500000000000014,2.3399999999999963,28.195615514333895,-4.699977184576763,17.53882915173237,7.2715433036683335,5.079227262860856,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,7,True,8.5961,17.27,-20.43,564.6,602.29,3.87,False,True,False,Age_6_15,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=8.4, IV_Rank=nan",50000,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,True,Buy-Write,Cash-Secured Put,0.75,High,Medium,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2,1,1000,No_Viable_Expirations,,0,[],[],call,0.0,0.0,0.0,0,,,False,Unknown,,Standard,Standard,Unknown,,[],0,0,No expirations in DTE range 30-45,,0.0,581.865,No_Viable_Expirations,,0,N/A,False,False,No expirations in DTE range 30-45,False,False,0,False,False,False,[],0,0,0,0.0,0.0,0,False,,0.0,ThreadPoolExecutor-5_0,1.9664700031280518,,3,,,,,
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,4.136110307777778,,Contango,Unknown,Falling,,False,Unknown,Bullish,0.4973417989926539,1.5766101300357045,Falling,33.892731524363946,46.23754543113449,Strong,12.12236008802611,True,0.39941878378998713,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,16.364,42.44,104.08,1042.35,980.7,2.42,False,True,False,Age_16_plus,,Long Call,1,Bullish + Cheap IV (gap_180d=-5.5),Natenberg Ch.3 - Directional with positive vega,Bullish,"gap_30d=6.5, gap_60d=9.7, gap_180d=-5.5",500,Defined (max loss = premium paid),"Long Delta, Long Vega, Short Theta",True,65,Bullish,Directional,True,Buy-Write,Long Call LEAP,0.65,Medium,Medium,35,50,42,Short-Medium,Directional (Long Call) with moderate confidence (65): 35-50 DTE for directional exposure,2,1,1000,Explored_Pending_PCS,2026-02-06,38,[],[],call,0.0,0.0,0.0,0,,,False,Unknown,,Standard,Standard,Unknown,"Strategy-aware laziness applied, awaiting PCS strike optimization",[],0,0,Single expiration strategy - PCS will select optimal strikes,,0.0,1084.795,Deep_Required,2026-02-06,38,Good,True,True,"Sample shows viable structure, proceed to full chain",False,False,1,True,False,True,[],0,0,0,0.0,0.0,0,False,,0.0,ThreadPoolExecutor-5_1,2.644151210784912,,4,,,,,
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,4.136110307777778,,Contango,Unknown,Falling,,False,Unknown,Bullish,0.4973417989926539,1.5766101300357045,Falling,33.892731524363946,46.23754543113449,Strong,12.12236008802611,True,0.39941878378998713,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,16.364,42.44,104.08,1042.35,980.7,2.42,False,True,False,Age_16_plus,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=-5.5)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=6.5, gap_60d=9.7, gap_180d=-5.5, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,True,Buy-Write,Long Call LEAP,0.7,Medium,Medium,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2,1,1000,Success,2027-06-17,534,[810.0],"[{""Contract_Symbol"": ""LLY270617C00810000"", ""Ticker"": ""LLY"", ""Strategy_Name"": """", ""Option_Type"": ""Call"", ""Strike"": 810.0, ""Expiration"": """", ""DTE"": NaN, ""Actual_DTE"": NaN, ""Mid_Price"": 366.5, ""Bid"": 362.0, ""Ask"": 371.0, ""Last"": 354.45, ""Spread_Pct"": 2.455661664392906, ""Open_Interest"": 47, ""OI"": 47, ""Volume"": 0, ""Delta"": 0.823373000616013, ""Gamma"": 0.0004939607606374307, ""Vega"": 3.2277973213917277, ""Theta"": -0.15959969005072183, ""IV"": 0.387972, ""Underlying_Price"": NaN}]",call,37100.0,0.0,56.98976571618425,47,,,True,LEAP,DTE=534 >= 365 days,Standard,Elite_$1085,Thin,LEAP horizon: 2.5% spread typical for 534-day expiration,[],0,0,,,0.0,1084.6700439453125,Deep_Required,2027-06-17,534,Good,True,True,"Sample shows viable structure, proceed to full chain",True,False,4,False,True,True,[],234,117,115,2.5034770514603615,6.772908366533861,2247,True,"Found 0 expirations, 234 strikes. Calls: 117 tradable (spread: 2.5%). Puts: 115 tradable (spread: 6.8%). Max OI: 2247. ATM liquid: True. Chain liquid: True",2.455661664392906,ThreadPoolExecutor-5_1,6.894698143005371,,4,"{""Contract_Symbol"": ""LLY270617C00810000"", ""Ticker"": ""LLY"", ""Strategy_Name"": """", ""Option_Type"": ""Call"", ""Strike"": 810.0, ""Expiration"": """", ""DTE"": NaN, ""Actual_DTE"": NaN, ""Mid_Price"": 366.5, ""Bid"": 362.0, ""Ask"": 371.0, ""Last"": 354.45, ""Spread_Pct"": 2.455661664392906, ""Open_Interest"": 47, ""OI"": 47, ""Volume"": 0, ""Delta"": 0.823373000616013, ""Gamma"": 0.0004939607606374307, ""Vega"": 3.2277973213917277, ""Theta"": -0.15959969005072183, ""IV"": 0.387972, ""Underlying_Price"": NaN, ""Promotion_Reason"": ""Single Leg - Only Strike""}",37100.0,Debit_Max,False,Scan
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,4.136110307777778,,Contango,Unknown,Falling,,False,Unknown,Bullish,0.4973417989926539,1.5766101300357045,Falling,33.892731524363946,46.23754543113449,Strong,12.12236008802611,True,0.39941878378998713,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,16.364,42.44,104.08,1042.35,980.7,2.42,False,True,False,Age_16_plus,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=6.5, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=6.5, IV_Rank=nan",15000,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,True,Buy-Write,Long Call LEAP,0.7,Medium,Medium,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2,1,1000,Success,2026-02-06,38,[1090.0],"[{""Contract_Symbol"": ""LLY260206C01090000"", ""Ticker"": ""LLY"", ""Strategy_Name"": """", ""Option_Type"": ""Call"", ""Strike"": 1090.0, ""Expiration"": """", ""DTE"": NaN, ""Actual_DTE"": NaN, ""Mid_Price"": 52.65, ""Bid"": 51.25, ""Ask"": 54.05, ""Last"": 52.0, ""Spread_Pct"": 5.31813865147198, ""Open_Interest"": 7, ""OI"": 7, ""Volume"": 2, ""Delta"": 0.5232750941384715, ""Gamma"": 0.003014238501248148, ""Vega"": 1.414023531488372, ""Theta"": -0.7485577937651875, ""IV"": 0.371446, ""Underlying_Price"": NaN}]",put,5405.0,0.0,30.939153628829267,7,,,False,Short,DTE=38 (<90 days),Standard,Elite_$1085,Poor,"Elite stock ($1085): Lower OI expected, wider spreads normal",[],0,0,,,0.0,1084.6700439453125,Deep_Required,2026-02-06,38,Good,True,True,"Sample shows viable structure, proceed to full chain",True,False,2,False,True,True,[],226,113,85,3.81902632031652,7.407407407407413,15,True,"Found 0 expirations, 226 strikes. Calls: 113 tradable (spread: 3.8%). Puts: 85 tradable (spread: 7.4%). Max OI: 15. ATM liquid: True. Chain liquid: True",5.31813865147198,ThreadPoolExecutor-5_1,11.17655611038208,,4,"{""Contract_Symbol"": ""LLY260206C01090000"", ""Ticker"": ""LLY"", ""Strategy_Name"": """", ""Option_Type"": ""Call"", ""Strike"": 1090.0, ""Expiration"": """", ""DTE"": NaN, ""Actual_DTE"": NaN, ""Mid_Price"": 52.65, ""Bid"": 51.25, ""Ask"": 54.05, ""Last"": 52.0, ""Spread_Pct"": 5.31813865147198, ""Open_Interest"": 7, ""OI"": 7, ""Volume"": 2, ""Delta"": 0.5232750941384715, ""Gamma"": 0.003014238501248148, ""Vega"": 1.414023531488372, ""Theta"": -0.7485577937651875, ""IV"": 0.371446, ""Underlying_Price"": NaN, ""Promotion_Reason"": ""Single Leg - Only Strike""}",5405.0,Debit_Max,False,Scan
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,4.136110307777778,,Contango,Unknown,Falling,,False,Unknown,Bullish,0.4973417989926539,1.5766101300357045,Falling,33.892731524363946,46.23754543113449,Strong,12.12236008802611,True,0.39941878378998713,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,16.364,42.44,104.08,1042.35,980.7,2.42,False,True,False,Age_16_plus,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=6.5, IV_Rank=nan",50000,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,True,Buy-Write,Long Call LEAP,0.75,High,Medium,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2,1,1000,Success,2026-02-06,38,[1090.0],"[{""Contract_Symbol"": ""LLY260206C01090000"", ""Ticker"": ""LLY"", ""Strategy_Name"": """", ""Option_Type"": ""Call"", ""Strike"": 1090.0, ""Expiration"": """", ""DTE"": NaN, ""Actual_DTE"": NaN, ""Mid_Price"": 52.65, ""Bid"": 51.25, ""Ask"": 54.05, ""Last"": 52.0, ""Spread_Pct"": 5.31813865147198, ""Open_Interest"": 7, ""OI"": 7, ""Volume"": 2, ""Delta"": 0.5232750941384715, ""Gamma"": 0.003014238501248148, ""Vega"": 1.414023531488372, ""Theta"": -0.7485577937651875, ""IV"": 0.371446, ""Underlying_Price"": NaN}]",call,5405.0,0.0,30.939153628829267,7,,,False,Short,DTE=38 (<90 days),Standard,Elite_$1085,Poor,"Elite stock ($1085): Lower OI expected, wider spreads normal",[],0,0,,,0.0,1084.6700439453125,Deep_Required,2026-02-06,38,Good,True,True,"Sample shows viable structure, proceed to full chain",True,False,2,False,True,True,[],226,113,85,3.81902632031652,7.407407407407413,15,True,"Found 0 expirations, 226 strikes. Calls: 113 tradable (spread: 3.8%). Puts: 85 tradable (spread: 7.4%). Max OI: 15. ATM liquid: True. Chain liquid: True",5.31813865147198,ThreadPoolExecutor-5_1,15.275844097137451,,4,"{""Contract_Symbol"": ""LLY260206C01090000"", ""Ticker"": ""LLY"", ""Strategy_Name"": """", ""Option_Type"": ""Call"", ""Strike"": 1090.0, ""Expiration"": """", ""DTE"": NaN, ""Actual_DTE"": NaN, ""Mid_Price"": 52.65, ""Bid"": 51.25, ""Ask"": 54.05, ""Last"": 52.0, ""Spread_Pct"": 5.31813865147198, ""Open_Interest"": 7, ""OI"": 7, ""Volume"": 2, ""Delta"": 0.5232750941384715, ""Gamma"": 0.003014238501248148, ""Vega"": 1.414023531488372, ""Theta"": -0.7485577937651875, ""IV"": 0.371446, ""Underlying_Price"": NaN, ""Promotion_Reason"": ""Single Leg - Only Strike""}",5405.0,Debit_Max,False,Scan
URI,2025-12-29 07:27:22.728845,2025-12-29,,28.88,28.24,29.21,28.65,29.47,29.07,32.56,32.78,32.52,32.15,32.31,31.92,32.85,32.43,33.17,32.73,33.51,33.04,34.72,34.1,35.84,35.09,37.99,36.34,38.1,36.41,23.85,24.25,27.52,30.28,28.56,30.89,29.43,32.2,4.136110307777778,,Flat,Unknown,Falling,,False,Unknown,Bullish,3.9177028283086264,6.973162297042728,Falling,66.9472577836098,62.77806689691063,Strong,20.17510204851142,True,0.6196284412933483,,0.0,,,False,5.040000000000003,Bullish,Unknown,32.56,27.52,5.040000000000003,2.240000000000002,3.7500000000000036,1.3099999999999952,3.6400000000000006,18.313953488372103,7.397622192866585,13.13025210084035,4.068322981366444,11.304347826086957,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,0,True,7.5552,8.77,-22.28,810.3,841.35,2.8,False,True,False,Age_0_5,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=5.0, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=5.0, IV_Rank=nan",15000,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,True,Buy-Write,Cash-Secured Put,0.7,Medium,Medium,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2,1,1000,Explored_Thin_Liquidity,2026-02-06,38,[],[],put,0.0,0.0,0.0,0,,,False,Unknown,,Standard,LargeCap_$819,Thin,"Explored but thin: Found 0 expirations, 146 strikes. Calls: 49 tradable (spread: 7.4%). Puts: 60 tradable (spread: 7.0%). Max OI: 1. ATM liquid: True. Chain liquid: False",[],0,0,"No contracts meeting strict liquidity (OI≥15, spread≤15.0%)",,0.0,819.0700073242188,Deep_Required,2026-02-06,38,Good,True,True,"Sample shows viable structure, proceed to full chain",True,False,2,False,False,False,[],146,49,60,7.439824945295401,7.0403356345848405,1,True,"Found 0 expirations, 146 strikes. Calls: 49 tradable (spread: 7.4%). Puts: 60 tradable (spread: 7.0%). Max OI: 1. ATM liquid: True. Chain liquid: False",0.0,ThreadPoolExecutor-5_2,4.034020185470581,,2,,,,,
URI,2025-12-29 07:27:22.728845,2025-12-29,,28.88,28.24,29.21,28.65,29.47,29.07,32.56,32.78,32.52,32.15,32.31,31.92,32.85,32.43,33.17,32.73,33.51,33.04,34.72,34.1,35.84,35.09,37.99,36.34,38.1,36.41,23.85,24.25,27.52,30.28,28.56,30.89,29.43,32.2,4.136110307777778,,Flat,Unknown,Falling,,False,Unknown,Bullish,3.9177028283086264,6.973162297042728,Falling,66.9472577836098,62.77806689691063,Strong,20.17510204851142,True,0.6196284412933483,,0.0,,,False,5.040000000000003,Bullish,Unknown,32.56,27.52,5.040000000000003,2.240000000000002,3.7500000000000036,1.3099999999999952,3.6400000000000006,18.313953488372103,7.397622192866585,13.13025210084035,4.068322981366444,11.304347826086957,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,0,True,7.5552,8.77,-22.28,810.3,841.35,2.8,False,True,False,Age_0_5,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=5.0, IV_Rank=nan",50000,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,True,Buy-Write,Cash-Secured Put,0.75,High,Medium,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2,1,1000,Explored_Thin_Liquidity,2026-02-06,38,[],[],call,0.0,0.0,0.0,0,,,False,Unknown,,Standard,LargeCap_$819,Thin,"Explored but thin: Found 0 expirations, 146 strikes. Calls: 49 tradable (spread: 7.4%). Puts: 60 tradable (spread: 7.0%). Max OI: 1. ATM liquid: True. Chain liquid: False",[],0,0,"No contracts meeting strict liquidity (OI≥15, spread≤15.0%)",,0.0,819.0700073242188,Deep_Required,2026-02-06,38,Good,True,True,"Sample shows viable structure, proceed to full chain",True,False,2,False,False,False,[],146,49,60,7.439824945295401,7.0403356345848405,1,True,"Found 0 expirations, 146 strikes. Calls: 49 tradable (spread: 7.4%). Puts: 60 tradable (spread: 7.0%). Max OI: 1. ATM liquid: True. Chain liquid: False",0.0,ThreadPoolExecutor-5_2,8.043414115905762,,2,,,,,
META,2025-12-29 07:27:29.835164,2025-12-29,,24.2,24.04,24.6,24.43,24.82,24.62,34.97,34.77,35.07,34.74,33.59,33.17,34.36,33.87,35.55,34.99,35.05,34.42,36.07,35.17,36.57,35.45,38.3,36.35,38.24,36.26,18.47,22.71,23.86,35.03,30.41,32.91,31.56,34.1,4.136110307777778,,Mixed,Unknown,Falling,,False,Unknown,Bearish,-1.916963875489709,-3.366433698905904,Falling,14.779984210456414,35.98733428928627,Weak,26.806955035874953,True,0.7665700610773507,Descending Triangle,64.0,,,False,11.11,Bearish,Unknown,34.97,23.86,11.11,0.03999999999999915,3.1800000000000033,0.9499999999999957,2.469999999999999,46.56328583403185,0.11418783899514458,10.457086484708988,2.7859237536656765,7.243401759530787,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,24,True,4.2218,2.49,2.65,656.06,655.9,2.61,False,True,False,Age_16_plus,,Long Put,1,Bearish + Cheap IV (gap_180d=0.3),Natenberg Ch.3 - Directional with negative delta,Bearish,"gap_30d=11.1, gap_60d=-0.3, gap_180d=0.3",500,Defined (max loss = premium paid),"Short Delta, Long Vega, Short Theta",True,65,Bearish,Directional,True,Covered Call,Long Put,0.65,Medium,Medium,35,50,42,Short-Medium,Directional (Long Put) with moderate confidence (65): 35-50 DTE for directional exposure,2,1,1000,Explored_Pending_PCS,2026-02-06,38,[],[],put,0.0,0.0,0.0,0,,,False,Unknown,,Standard,Standard,Unknown,"Strategy-aware laziness applied, awaiting PCS strike optimization",[],0,0,Single expiration strategy - PCS will select optimal strikes,,0.0,658.515,Deep_Required,2026-02-06,38,Good,True,True,"Sample shows viable structure, proceed to full chain",False,False,1,True,False,True,[],0,0,0,0.0,0.0,0,False,,0.0,ThreadPoolExecutor-5_3,3.2367992401123047,,2,,,,,
