Ticker,timestamp,Date,Error,IV_7_D_Call,IV_7_D_Put,IV_14_D_Call,IV_14_D_Put,IV_21_D_Call,IV_21_D_Put,IV_30_D_Call,IV_30_D_Put,IV_60_D_Call,IV_60_D_Put,IV_90_D_Call,IV_90_D_Put,IV_120_D_Call,IV_120_D_Put,IV_150_D_Call,IV_150_D_Put,IV_180_D_Call,IV_180_D_Put,IV_270_D_Call,IV_270_D_Put,IV_360_D_Call,IV_360_D_Put,IV_720_D_Call,IV_720_D_Put,IV_1080_D_Call,IV_1080_D_Put,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_original,Price_vs_SMA50_original,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_chart,Price_vs_SMA50_chart,SMA20,SMA50,Atr_Pct,Universal_Data_Complete,Directional_Data_Complete,Crossover_Age_Bucket,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,EXECUTABLE,Min_DTE,Max_DTE,Target_DTE,Timeframe_Label,DTE_Rationale,Expiration_Count_Target
KLAC,2025-12-29 07:27:01.461020,2025-12-29,,39.41,39.22,39.41,39.22,40.23,40.04,41.66,41.48,42.97,42.79,42.67,42.41,43.08,42.73,43.77,43.4,43.74,43.29,43.72,43.16,44.1,42.99,43.77,41.98,43.75,41.92,43.32,32.76,37.7,41.61,38.16,38.64,36.81,38.64,7.802405229722222,,Flat,Unknown,Rising,,False,Unknown,Bullish,2.677381093645129,5.673826454514986,Falling,25.74874047159391,56.282475544800825,Strong,36.92323273859965,True,0.8862993936293724,,0.0,,,False,3.9599999999999937,Bullish,Unknown,41.66,37.7,3.9599999999999937,1.3599999999999994,4.510000000000005,5.100000000000001,5.460000000000001,10.503978779840832,3.2684450853160283,11.818658280922447,13.198757763975157,14.130434782608697,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,27,True,25.8623,32.87,67.67,1227.52,1192.72,3.05,False,True,Age_16_plus,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=4.0, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=4.0, IV_Rank=nan",15000,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,True,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2
KLAC,2025-12-29 07:27:01.461020,2025-12-29,,39.41,39.22,39.41,39.22,40.23,40.04,41.66,41.48,42.97,42.79,42.67,42.41,43.08,42.73,43.77,43.4,43.74,43.29,43.72,43.16,44.1,42.99,43.77,41.98,43.75,41.92,43.32,32.76,37.7,41.61,38.16,38.64,36.81,38.64,7.802405229722222,,Flat,Unknown,Rising,,False,Unknown,Bullish,2.677381093645129,5.673826454514986,Falling,25.74874047159391,56.282475544800825,Strong,36.92323273859965,True,0.8862993936293724,,0.0,,,False,3.9599999999999937,Bullish,Unknown,41.66,37.7,3.9599999999999937,1.3599999999999994,4.510000000000005,5.100000000000001,5.460000000000001,10.503978779840832,3.2684450853160283,11.818658280922447,13.198757763975157,14.130434782608697,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,27,True,25.8623,32.87,67.67,1227.52,1192.72,3.05,False,True,Age_16_plus,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=4.0, IV_Rank=nan",50000,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,True,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2
AXON,2025-12-29 07:27:05.817772,2025-12-29,,38.85,37.96,38.85,37.96,38.55,37.76,38.01,37.4,41.77,41.22,49.19,48.48,49.31,48.65,49.38,48.76,49.42,48.76,49.36,48.35,48.41,47.35,48.38,46.2,48.4,46.15,38.85,32.22,29.65,43.83,41.85,48.45,45.53,46.07,7.802405229722222,,Mixed,Unknown,Rising,,False,Unknown,Neutral,2.837572893069823,-3.6060065006777644,Falling,37.5146390034357,59.235061476934185,Strong,36.004312083990264,True,0.9472326252036376,Descending Triangle,64.0,,,False,8.36,Bidirectional,Unknown,38.01,29.65,8.36,-2.059999999999995,7.339999999999996,3.3500000000000014,2.3399999999999963,28.195615514333895,-4.699977184576763,17.53882915173237,7.2715433036683335,5.079227262860856,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,7,True,8.3331,16.02,-21.72,564.53,602.27,3.88,False,True,Age_6_15,,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=nan, gap_180d=3.4)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=8.4, gap_60d=-2.1, gap_180d=3.4, IV_Rank=nan",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,45,60,52,Medium,Volatility (Long Straddle) with neutral IV (nan): 45-60 DTE for volatility play,2
AXON,2025-12-29 07:27:05.817772,2025-12-29,,38.85,37.96,38.85,37.96,38.55,37.76,38.01,37.4,41.77,41.22,49.19,48.48,49.31,48.65,49.38,48.76,49.42,48.76,49.36,48.35,48.41,47.35,48.38,46.2,48.4,46.15,38.85,32.22,29.65,43.83,41.85,48.45,45.53,46.07,7.802405229722222,,Mixed,Unknown,Rising,,False,Unknown,Neutral,2.837572893069823,-3.6060065006777644,Falling,37.5146390034357,59.235061476934185,Strong,36.004312083990264,True,0.9472326252036376,Descending Triangle,64.0,,,False,8.36,Bidirectional,Unknown,38.01,29.65,8.36,-2.059999999999995,7.339999999999996,3.3500000000000014,2.3399999999999963,28.195615514333895,-4.699977184576763,17.53882915173237,7.2715433036683335,5.079227262860856,True,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,7,True,8.3331,16.02,-21.72,564.53,602.27,3.88,False,True,Age_6_15,,Long Strangle,1,Expansion + Moderately Cheap IV (IV_Rank=nan),"Natenberg Ch.9 - OTM volatility (cheaper, needs bigger move)",Bidirectional,"gap_30d=8.4, gap_60d=-2.1, gap_180d=3.4, IV_Rank=nan",5000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,68,Bidirectional,Volatility,True,45,60,52,Medium,Volatility (Long Strangle) with neutral IV (nan): 45-60 DTE for volatility play,2
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,7.802405229722222,,Contango,Unknown,Falling,,False,Unknown,Bullish,3.52057880627059,10.009011546893147,Falling,28.95324099560001,74.9876978447827,Strong,20.884942902583504,True,0.6881365042037398,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,15.153,36.69,98.15,1042.04,980.58,2.44,False,True,Age_16_plus,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=-5.5)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=6.5, gap_60d=9.7, gap_180d=-5.5, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,True,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,7.802405229722222,,Contango,Unknown,Falling,,False,Unknown,Bullish,3.52057880627059,10.009011546893147,Falling,28.95324099560001,74.9876978447827,Strong,20.884942902583504,True,0.6881365042037398,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,15.153,36.69,98.15,1042.04,980.58,2.44,False,True,Age_16_plus,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=6.5, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=6.5, IV_Rank=nan",15000,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,True,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2
LLY,2025-12-29 07:27:12.990699,2025-12-29,,28.32,28.35,29.31,29.39,30.4,30.06,30.35,30.45,36.22,36.07,36.03,35.58,36.42,35.89,37.07,36.57,37.19,36.79,37.55,36.51,37.62,36.65,38.09,36.24,38.16,36.24,21.49,24.26,23.87,26.48,29.95,38.65,35.97,42.68,7.802405229722222,,Contango,Unknown,Falling,,False,Unknown,Bullish,3.52057880627059,10.009011546893147,Falling,28.95324099560001,74.9876978447827,Strong,20.884942902583504,True,0.6881365042037398,,0.0,,,False,6.48,Bullish,Unknown,30.35,23.87,6.48,9.739999999999998,6.080000000000002,-5.490000000000002,-5.060000000000002,27.147046501885214,36.78247734138972,20.30050083472455,-12.863167760074981,-11.85567010309279,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,Trending,Bullish,Bullish,90,True,15.153,36.69,98.15,1042.04,980.58,2.44,False,True,Age_16_plus,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=6.5, IV_Rank=nan",50000,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,True,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2
MPWR,2025-12-29 07:27:25.943686,2025-12-29,,41.36,42.28,41.36,42.28,43.16,43.8,46.21,46.4,48.79,48.5,48.37,47.95,48.88,48.47,48.86,48.34,48.59,47.9,48.63,47.78,48.32,47.52,48.27,47.48,48.27,47.48,31.79,27.56,33.98,48.06,42.36,42.74,41.76,48.05,7.802405229722222,,Flat,Unknown,Falling,,False,Unknown,Bearish,-2.132114957155915,-3.5850138203793063,Falling,14.779984210456414,35.57027041431682,Weak,27.150301895691747,True,0.5875416986732687,Descending Triangle,64.0,,,False,12.230000000000004,Bearish,Unknown,46.21,33.98,12.230000000000004,0.7299999999999969,6.009999999999998,0.5400000000000063,0.2700000000000031,35.99175985874045,1.518934665002074,14.187913125590173,1.1238293444328955,0.5619146722164478,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Neutral,Bearish,Bearish,12,True,-0.5922,-20.26,-34.58,950.3,964.62,3.3,False,True,Age_6_15,,Long Put,1,Bearish + Cheap IV (gap_180d=-0.1),Natenberg Ch.3 - Directional with negative delta,Bearish,"gap_30d=12.2, gap_60d=0.4, gap_180d=-0.1",500,Defined (max loss = premium paid),"Short Delta, Long Vega, Short Theta",True,65,Bearish,Directional,True,35,50,42,Short-Medium,Directional (Long Put) with moderate confidence (65): 35-50 DTE for directional exposure,2
MPWR,2025-12-29 07:27:25.943686,2025-12-29,,41.36,42.28,41.36,42.28,43.16,43.8,46.21,46.4,48.79,48.5,48.37,47.95,48.88,48.47,48.86,48.34,48.59,47.9,48.63,47.78,48.32,47.52,48.27,47.48,48.27,47.48,31.79,27.56,33.98,48.06,42.36,42.74,41.76,48.05,7.802405229722222,,Flat,Unknown,Falling,,False,Unknown,Bearish,-2.132114957155915,-3.5850138203793063,Falling,14.779984210456414,35.57027041431682,Weak,27.150301895691747,True,0.5875416986732687,Descending Triangle,64.0,,,False,12.230000000000004,Bearish,Unknown,46.21,33.98,12.230000000000004,0.7299999999999969,6.009999999999998,0.5400000000000063,0.2700000000000031,35.99175985874045,1.518934665002074,14.187913125590173,1.1238293444328955,0.5619146722164478,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Neutral,Bearish,Bearish,12,True,-0.5922,-20.26,-34.58,950.3,964.62,3.3,False,True,Age_6_15,,Long Put LEAP,1,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=-0.1)",Hull Ch.10 - Multi-year protective or directional,Bearish,"gap_30d=12.2, gap_60d=0.4, gap_180d=-0.1, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Short Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bearish,Directional,True,365,730,547,LEAP,LEAP strategy (Long Put LEAP): 365-730 DTE for multi-year structural thesis,2
MPWR,2025-12-29 07:27:25.943686,2025-12-29,,41.36,42.28,41.36,42.28,43.16,43.8,46.21,46.4,48.79,48.5,48.37,47.95,48.88,48.47,48.86,48.34,48.59,47.9,48.63,47.78,48.32,47.52,48.27,47.48,48.27,47.48,31.79,27.56,33.98,48.06,42.36,42.74,41.76,48.05,7.802405229722222,,Flat,Unknown,Falling,,False,Unknown,Bearish,-2.132114957155915,-3.5850138203793063,Falling,14.779984210456414,35.57027041431682,Weak,27.150301895691747,True,0.5875416986732687,Descending Triangle,64.0,,,False,12.230000000000004,Bearish,Unknown,46.21,33.98,12.230000000000004,0.7299999999999969,6.009999999999998,0.5400000000000063,0.2700000000000031,35.99175985874045,1.518934665002074,14.187913125590173,1.1238293444328955,0.5619146722164478,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Neutral,Bearish,Bearish,12,True,-0.5922,-20.26,-34.58,950.3,964.62,3.3,False,True,Age_6_15,,Covered Call,1,Bearish + Rich IV (gap_30d=12.2) [requires stock ownership],Passarelli - Premium collection on held stock,Bearish,gap_30d=12.2,0,Unlimited downside (stock ownership),"Long Delta (from stock), Short Vega, Long Theta",False,70,Bearish,Directional,True,30,45,37,Short,Income (Covered Call): 30-45 DTE for premium collection efficiency,2
