Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,SMA20,SMA50,Atr_Pct,Chart_Source,Universal_Data_Complete,Directional_Data_Complete,Completeness_Score,Completeness_Reason,Crossover_Age_Bucket,IV_Coverage_Pct,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,thesis,EXECUTABLE,Validation_Status,Data_Completeness_Pct,Missing_Required_Data,Theory_Compliance_Score,Evaluation_Notes,Execution_State,Strategy_Family,Strategy_Family_Rank,Min_DTE,Max_DTE,Target_DTE,Timeframe_Label,DTE_Rationale,Expiration_Count_Target
AZO,2026-01-08 10:49:51.525898,2026-01-08,,schwab,3319.09,113835.0,lastPrice,1767898018922,1767898018935,172.59,True,OPEN,OK,COMPUTED,24.006,18.991607018639225,20.47011856722861,29.371465990748906,25.478563336667825,23.868496460554653,18.991607018639225,20.47011856722861,29.371465990748906,25.478563336667825,23.868496460554653,22.988512829919365,23.025026684645848,22.6550500762792,-10.37985897210968,Normal_Contraction,3336.77,3285.43,3307.75,3318.08,4388.11,3162.0,1.01,0.03043929,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,8,,24.006,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.374338543784785,-8.717454719362628,Stable,55.584723504931354,40.872703216774106,Strong,18.97600688637788,True,0.7904693362650121,,0.0,,,False,-5.3654659907489055,Bearish,Unknown,1.546809517066429,0.31132462146783463,65.56291390728518,NORMAL,NO_GAP,MID_RANGE,24.361741159633638,4.968058191018347,12.812064170425181,NEAR_52W_LOW,CONTRARIAN,1.01,0.03043929,FLAT_DAY,EARLY,54.0,False,24.006,29.371465990748906,5.3654659907489055,,,,,-18.267613855021263,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Put,1,Bearish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with negative delta,Bearish,"gap_30d=-5.4, gap_60d=nan, gap_180d=nan",500.0,Defined (max loss = premium paid),"Short Delta, Long Vega, Short Theta",True,65,Bearish,Directional,Bearish + Cheap IV (gap_180d=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Put) with moderate confidence (65): 35-50 DTE for directional exposure,2
AZO,2026-01-08 10:49:51.525898,2026-01-08,,schwab,3319.09,113835.0,lastPrice,1767898018922,1767898018935,172.59,True,OPEN,OK,COMPUTED,24.006,18.991607018639225,20.47011856722861,29.371465990748906,25.478563336667825,23.868496460554653,18.991607018639225,20.47011856722861,29.371465990748906,25.478563336667825,23.868496460554653,22.988512829919365,23.025026684645848,22.6550500762792,-10.37985897210968,Normal_Contraction,3336.77,3285.43,3307.75,3318.08,4388.11,3162.0,1.01,0.03043929,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,8,,24.006,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.374338543784785,-8.717454719362628,Stable,55.584723504931354,40.872703216774106,Strong,18.97600688637788,True,0.7904693362650121,,0.0,,,False,-5.3654659907489055,Bearish,Unknown,1.546809517066429,0.31132462146783463,65.56291390728518,NORMAL,NO_GAP,MID_RANGE,24.361741159633638,4.968058191018347,12.812064170425181,NEAR_52W_LOW,CONTRARIAN,1.01,0.03043929,FLAT_DAY,EARLY,54.0,False,24.006,29.371465990748906,5.3654659907489055,,,,,-18.267613855021263,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Put LEAP,1,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year protective or directional,Bearish,"gap_30d=-5.4, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000.0,"Defined (max loss = premium, typically $2000-$5000)","Short Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bearish,Directional,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Put LEAP): 365-730 DTE for multi-year structural thesis,2
AZO,2026-01-08 10:49:51.525898,2026-01-08,,schwab,3319.09,113835.0,lastPrice,1767898018922,1767898018935,172.59,True,OPEN,OK,COMPUTED,24.006,18.991607018639225,20.47011856722861,29.371465990748906,25.478563336667825,23.868496460554653,18.991607018639225,20.47011856722861,29.371465990748906,25.478563336667825,23.868496460554653,22.988512829919365,23.025026684645848,22.6550500762792,-10.37985897210968,Normal_Contraction,3336.77,3285.43,3307.75,3318.08,4388.11,3162.0,1.01,0.03043929,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,8,,24.006,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.374338543784785,-8.717454719362628,Stable,55.584723504931354,40.872703216774106,Strong,18.97600688637788,True,0.7904693362650121,,0.0,,,False,-5.3654659907489055,Bearish,Unknown,1.546809517066429,0.31132462146783463,65.56291390728518,NORMAL,NO_GAP,MID_RANGE,24.361741159633638,4.968058191018347,12.812064170425181,NEAR_52W_LOW,CONTRARIAN,1.01,0.03043929,FLAT_DAY,EARLY,54.0,False,24.006,29.371465990748906,5.3654659907489055,,,,,-18.267613855021263,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Put Debit Spread,1,Bearish + Defined Risk/Reward,Natenberg Ch.5 - Directional with limited risk,Bearish,Any IV regime,,Defined (max loss = debit paid),"Short Delta, Short Vega, Short Theta",True,60,Bearish,Directional,Bearish + Defined Risk/Reward,True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,50,40,Short-Medium,Debit spread (Put Debit Spread): 30-50 DTE for directional play,2
MELI,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2167.925,176042.0,lastPrice,1767898019555,1767898014690,176.835,True,OPEN,OK,COMPUTED,34.102,45.625194071634446,42.01880871671827,37.587634527198574,43.14063204724954,43.43839487554735,45.625194071634446,42.01880871671827,37.587634527198574,43.14063204724954,43.43839487554735,39.54137169175072,37.8090663434151,36.6727558872501,8.037559544435872,Normal,2200.7,2160.02,2176.7,2162.61,2645.22,1723.903,5.315,0.24576785,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.03968253968253968,,,,34.01,,,,,,,,,,,,,,,,,,,,,,,,,10,,34.102,,Unknown,Unknown,Rising,,False,Unknown,Bullish,7.698215784628132,4.623448685186155,Falling,43.40617555460848,81.77543956331873,Strong,47.22384058114895,True,1.3847821412570802,,0.0,,,False,-3.4856345271985774,Bullish,Unknown,1.876448677883222,0.651527552355704,19.432153392330953,NORMAL,NO_GAP,NEAR_LOW,18.04367878664155,25.756785619608536,48.19426972475275,MID_RANGE,NEUTRAL,5.315,0.24576785,FLAT_DAY,EARLY,47.0,False,34.102,37.587634527198574,3.4856345271985774,,,,,-9.273354311978204,,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Call,1,Bullish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with positive vega,Bullish,"gap_30d=-3.5, gap_60d=nan, gap_180d=nan",500.0,Defined (max loss = premium paid),"Long Delta, Long Vega, Short Theta",True,65,Bullish,Directional,Bullish + Cheap IV (gap_180d=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Call) with moderate confidence (65): 35-50 DTE for directional exposure,2
MELI,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2167.925,176042.0,lastPrice,1767898019555,1767898014690,176.835,True,OPEN,OK,COMPUTED,34.102,45.625194071634446,42.01880871671827,37.587634527198574,43.14063204724954,43.43839487554735,45.625194071634446,42.01880871671827,37.587634527198574,43.14063204724954,43.43839487554735,39.54137169175072,37.8090663434151,36.6727558872501,8.037559544435872,Normal,2200.7,2160.02,2176.7,2162.61,2645.22,1723.903,5.315,0.24576785,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.03968253968253968,,,,34.01,,,,,,,,,,,,,,,,,,,,,,,,,10,,34.102,,Unknown,Unknown,Rising,,False,Unknown,Bullish,7.698215784628132,4.623448685186155,Falling,43.40617555460848,81.77543956331873,Strong,47.22384058114895,True,1.3847821412570802,,0.0,,,False,-3.4856345271985774,Bullish,Unknown,1.876448677883222,0.651527552355704,19.432153392330953,NORMAL,NO_GAP,NEAR_LOW,18.04367878664155,25.756785619608536,48.19426972475275,MID_RANGE,NEUTRAL,5.315,0.24576785,FLAT_DAY,EARLY,47.0,False,34.102,37.587634527198574,3.4856345271985774,,,,,-9.273354311978204,,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=-3.5, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000.0,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2
MELI,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2167.925,176042.0,lastPrice,1767898019555,1767898014690,176.835,True,OPEN,OK,COMPUTED,34.102,45.625194071634446,42.01880871671827,37.587634527198574,43.14063204724954,43.43839487554735,45.625194071634446,42.01880871671827,37.587634527198574,43.14063204724954,43.43839487554735,39.54137169175072,37.8090663434151,36.6727558872501,8.037559544435872,Normal,2200.7,2160.02,2176.7,2162.61,2645.22,1723.903,5.315,0.24576785,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.03968253968253968,,,,34.01,,,,,,,,,,,,,,,,,,,,,,,,,10,,34.102,,Unknown,Unknown,Rising,,False,Unknown,Bullish,7.698215784628132,4.623448685186155,Falling,43.40617555460848,81.77543956331873,Strong,47.22384058114895,True,1.3847821412570802,,0.0,,,False,-3.4856345271985774,Bullish,Unknown,1.876448677883222,0.651527552355704,19.432153392330953,NORMAL,NO_GAP,NEAR_LOW,18.04367878664155,25.756785619608536,48.19426972475275,MID_RANGE,NEUTRAL,5.315,0.24576785,FLAT_DAY,EARLY,47.0,False,34.102,37.587634527198574,3.4856345271985774,,,,,-9.273354311978204,,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Call Debit Spread,1,Bullish + Defined Risk/Reward,Natenberg Ch.5 - Directional with limited risk,Bullish,Any IV regime,,Defined (max loss = debit paid),"Long Delta, Short Vega, Short Theta",True,60,Bullish,Directional,Bullish + Defined Risk/Reward,True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,50,40,Short-Medium,Debit spread (Call Debit Spread): 30-50 DTE for directional play,2
MKL,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2150.63,14730.0,lastPrice,1767898014270,1767897892041,299.484,True,OPEN,OK,COMPUTED,,10.905924497356107,13.905244007747184,12.650648247196502,19.325991729191163,18.365752899647735,10.905924497356107,13.905244007747184,12.650648247196502,19.325991729191163,18.365752899647735,18.96434942252232,18.369747750632335,18.290632311138616,-1.744723749840395,Low_Compression,2167.18,2140.01,2154.43,2145.39,2207.59,1621.893,5.24,0.24424464,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,19.003,,,,,,,,,,,,,,,,,,,,,,,,,8,,19.003,,Unknown,Unknown,Falling,,False,Unknown,Neutral,-0.4015009095087169,3.2866091299542246,Stable,36.76688700169323,48.79886160152779,Strong,10.911643768205678,True,0.574206376267204,,0.0,,,False,6.352351752803498,Bidirectional,Unknown,1.2633507390857386,0.4213686089708614,39.08722856091292,NORMAL,NO_GAP,MID_RANGE,2.5801892561571687,32.59999272455089,90.27483494025067,MID_RANGE,NEUTRAL,5.24,0.24424464,FLAT_DAY,EARLY,-71.0,False,19.003,12.650648247196502,6.352351752803498,,,,,50.21364619960275,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=nan, gap_180d=nan)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=6.4, gap_60d=nan, gap_180d=nan, IV_Rank=nan",8000.0,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,"Expansion + Very Cheap IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,45,60,52,Medium,Volatility (Long Straddle) with neutral IV (nan): 45-60 DTE for volatility play,2
MKL,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2150.63,14730.0,lastPrice,1767898014270,1767897892041,299.484,True,OPEN,OK,COMPUTED,,10.905924497356107,13.905244007747184,12.650648247196502,19.325991729191163,18.365752899647735,10.905924497356107,13.905244007747184,12.650648247196502,19.325991729191163,18.365752899647735,18.96434942252232,18.369747750632335,18.290632311138616,-1.744723749840395,Low_Compression,2167.18,2140.01,2154.43,2145.39,2207.59,1621.893,5.24,0.24424464,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,19.003,,,,,,,,,,,,,,,,,,,,,,,,,8,,19.003,,Unknown,Unknown,Falling,,False,Unknown,Neutral,-0.4015009095087169,3.2866091299542246,Stable,36.76688700169323,48.79886160152779,Strong,10.911643768205678,True,0.574206376267204,,0.0,,,False,6.352351752803498,Bidirectional,Unknown,1.2633507390857386,0.4213686089708614,39.08722856091292,NORMAL,NO_GAP,MID_RANGE,2.5801892561571687,32.59999272455089,90.27483494025067,MID_RANGE,NEUTRAL,5.24,0.24424464,FLAT_DAY,EARLY,-71.0,False,19.003,12.650648247196502,6.352351752803498,,,,,50.21364619960275,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Strangle,1,Expansion + Moderately Cheap IV (IV_Rank=nan),Natenberg Ch.9 - OTM volatility (requires significant price movement),Bidirectional,"gap_30d=6.4, gap_60d=nan, gap_180d=nan, IV_Rank=nan",5000.0,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,68,Bidirectional,Volatility,Expansion + Moderately Cheap IV (IV_Rank=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,45,60,52,Medium,Volatility (Long Strangle) with neutral IV (nan): 45-60 DTE for volatility play,2
FCNCA,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2189.0301,27668.0,lastPrice,1767897902834,1767898009754,181.771,True,OPEN,OK,COMPUTED,,11.84724614342676,19.05574208822527,16.7399840277739,25.17761735350606,26.121107402076532,11.84724614342676,19.05574208822527,16.7399840277739,25.17761735350606,26.121107402076532,26.298312673558073,25.9299614074214,26.44694200056468,-4.892737884347142,Normal_Compression,2204.39,2158.18,2158.18,2166.03,2412.929,1473.62,23.0001,1.0618551,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,28.675,,,,,,,,,,,,,,,,,,,,,,,,,8,,28.675,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.860048152829169,10.801337891776905,Falling,63.7891957805724,66.77990881157697,Strong,11.444399125478373,True,0.3991072057708238,,0.0,Piercing Line,Moderate,False,11.9350159722261,Bullish,Unknown,2.1109805662334216,0.3624141863224592,66.7606578662629,NORMAL,NO_GAP,MID_RANGE,9.279133368615494,48.54780065417137,76.16344568187891,MID_RANGE,NEUTRAL,23.0001,1.0618551,NORMAL,MODERATE,15.0,False,28.675,16.7399840277739,11.9350159722261,,,,,71.29645973630736,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Call,1,Bullish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with positive vega,Bullish,"gap_30d=11.9, gap_60d=nan, gap_180d=nan",500.0,Defined (max loss = premium paid),"Long Delta, Long Vega, Short Theta",True,65,Bullish,Directional,Bullish + Cheap IV (gap_180d=nan),True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Call) with moderate confidence (65): 35-50 DTE for directional exposure,2
FCNCA,2026-01-08 10:49:51.525898,2026-01-08,,schwab,2189.0301,27668.0,lastPrice,1767897902834,1767898009754,181.771,True,OPEN,OK,COMPUTED,,11.84724614342676,19.05574208822527,16.7399840277739,25.17761735350606,26.121107402076532,11.84724614342676,19.05574208822527,16.7399840277739,25.17761735350606,26.121107402076532,26.298312673558073,25.9299614074214,26.44694200056468,-4.892737884347142,Normal_Compression,2204.39,2158.18,2158.18,2166.03,2412.929,1473.62,23.0001,1.0618551,,,2026-01-08 10:49:51.525898,9.120757942777777,historical_latest,2026-01-08,0,False,False,0.031746031746031744,,,,28.675,,,,,,,,,,,,,,,,,,,,,,,,,8,,28.675,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.860048152829169,10.801337891776905,Falling,63.7891957805724,66.77990881157697,Strong,11.444399125478373,True,0.3991072057708238,,0.0,Piercing Line,Moderate,False,11.9350159722261,Bullish,Unknown,2.1109805662334216,0.3624141863224592,66.7606578662629,NORMAL,NO_GAP,MID_RANGE,9.279133368615494,48.54780065417137,76.16344568187891,MID_RANGE,NEUTRAL,23.0001,1.0618551,NORMAL,MODERATE,15.0,False,28.675,16.7399840277739,11.9350159722261,,,,,71.29645973630736,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,100.0,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=11.9, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000.0,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",True,Pending_Greeks,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2
