Ticker,timestamp,IV_7_D_Call,IV_7_D_CallChg,IV_7_D_Put,IV_7_D_PutChg,IV_7_D_Call_1W,IV_7_D_Put_1W,IV_7_D_Call_1M,IV_7_D_Put_1M,IV_14_D_Call,IV_14_D_CallChg,IV_14_D_Put,IV_14_D_PutChg,IV_14_D_Call_1W,IV_14_D_Put_1W,IV_14_D_Call_1M,IV_14_D_Put_1M,IV_21_D_Call,IV_21_D_CallChg,IV_21_D_Put,IV_21_D_PutChg,IV_21_D_Call_1W,IV_21_D_Put_1W,IV_21_D_Call_1M,IV_21_D_Put_1M,IV_30_D_Call,IV_30_D_CallChg,IV_30_D_Put,IV_30_D_PutChg,IV_30_D_Call_1W,IV_30_D_Put_1W,IV_30_D_Call_1M,IV_30_D_Put_1M,IV_60_D_Call,IV_60_D_CallChg,IV_60_D_Put,IV_60_D_PutChg,IV_60_D_Call_1W,IV_60_D_Put_1W,IV_60_D_Call_1M,IV_60_D_Put_1M,IV_90_D_Call,IV_90_D_CallChg,IV_90_D_Put,IV_90_D_PutChg,IV_90_D_Call_1W,IV_90_D_Put_1W,IV_90_D_Call_1M,IV_90_D_Put_1M,IV_120_D_Call,IV_120_D_CallChg,IV_120_D_Put,IV_120_D_PutChg,IV_120_D_Call_1W,IV_120_D_Put_1W,IV_120_D_Call_1M,IV_120_D_Put_1M,IV_150_D_Call,IV_150_D_CallChg,IV_150_D_Put,IV_150_D_PutChg,IV_150_D_Call_1W,IV_150_D_Put_1W,IV_150_D_Call_1M,IV_150_D_Put_1M,IV_180_D_Call,IV_180_D_CallChg,IV_180_D_Put,IV_180_D_PutChg,IV_180_D_Call_1W,IV_180_D_Put_1W,IV_180_D_Call_1M,IV_180_D_Put_1M,IV_270_D_Call,IV_270_D_CallChg,IV_270_D_Put,IV_270_D_PutChg,IV_270_D_Call_1W,IV_270_D_Put_1W,IV_270_D_Call_1M,IV_270_D_Put_1M,IV_360_D_Call,IV_360_D_CallChg,IV_360_D_Put,IV_360_D_PutChg,IV_360_D_Call_1W,IV_360_D_Put_1W,IV_360_D_Call_1M,IV_360_D_Put_1M,IV_720_D_Call,IV_720_D_CallChg,IV_720_D_Put,IV_720_D_PutChg,IV_720_D_Call_1W,IV_720_D_Put_1W,IV_720_D_Call_1M,IV_720_D_Put_1M,IV_1080_D_Call,IV_1080_D_CallChg,IV_1080_D_Put,IV_1080_D_PutChg,IV_1080_D_Call_1W,IV_1080_D_Put_1W,IV_1080_D_Call_1M,IV_1080_D_Put_1M,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,Date,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_x,Price_vs_SMA50_x,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type_x,Regime_x,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Regime_y,EMA_Signal,Signal_Type_y,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_y,Price_vs_SMA50_y,SMA20,SMA50,Atr_Pct,Signal_Type,Universal_Data_Complete,Directional_Data_Complete,Data_Complete,Crossover_Age_Bucket,Regime,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,EXECUTABLE,Primary_Strategy,Secondary_Strategy,Success_Probability,Entry_Priority,Risk_Level
BKNG,2025-08-25 07:24:03.013267,21.6,1.89,20.97,2.12,23.35,21.93,47.44,46.0,21.67,1.96,21.26,2.41,23.35,21.93,39.86,38.95,22.21,1.26,21.96,1.58,22.93,21.61,34.76,33.82,22.6,0.78,22.41,1.28,23.04,21.89,31.93,30.91,24.6,0.94,24.45,1.74,24.28,23.22,27.79,26.71,27.3,0.08,26.96,0.87,27.45,26.22,26.85,25.81,26.64,-0.05,26.14,0.52,27.44,26.18,27.84,26.63,26.56,-0.06,25.95,0.59,27.49,25.97,28.39,27.08,27.11,-0.23,26.4,0.48,27.89,26.26,28.17,26.73,27.7,-0.54,26.84,0.23,28.72,26.98,29.04,27.4,28.34,-0.4,27.21,0.21,29.31,27.41,29.54,27.74,29.64,-0.14,27.77,-0.09,30.6,28.28,30.67,28.43,30.05,0.03,27.95,-0.16,30.81,28.47,30.89,28.64,13.91,20.11,18.71,19.26,21.5,30.42,29.86,28.78,8/25/25,3014.2655609272224,0.0,Contango,Stable,Falling,4.298250290008197,False,Compression,Bullish,3.5185430235538573,6.773819670810346,Falling,48.949628954168524,72.99560012600101,Strong,18.65689222911996,True,0.8255262048283168,,0.0,,,False,3.8900000000000006,Bullish,Compression,22.6,18.71,3.8900000000000006,5.34,5.800000000000001,-1.6700000000000017,-0.4400000000000013,20.7910208444682,27.725856697819314,26.976744186046513,-5.802640722724119,-1.5288394718554597,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,Trending,Bullish,Bullish,22,True,69.706,184.91,345.13,5255.23,5095.01,2.21,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-1.7)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=3.9, gap_60d=5.3, gap_180d=-1.7, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
MELI,2025-08-25 07:24:05.705611,29.85,0.32,29.96,2.74,31.94,30.6,31.3,31.64,30.14,0.61,29.74,2.52,31.94,30.6,50.19,50.64,30.35,1.14,29.33,1.74,30.49,29.63,49.43,49.93,29.71,-0.04,29.92,2.25,30.59,29.08,44.85,44.98,31.82,0.29,31.55,2.39,31.04,29.63,38.19,38.13,34.87,-0.94,34.87,0.94,34.81,33.68,36.48,36.34,34.49,-0.65,33.35,0.37,35.13,33.63,38.11,37.57,33.66,-0.38,33.02,0.79,33.96,32.88,36.77,36.24,34.67,-0.05,34.01,0.96,34.48,33.43,35.99,35.37,35.82,0.03,34.97,0.6,35.68,34.49,36.87,35.82,36.52,0.05,35.33,0.4,36.42,35.09,37.2,36.06,37.84,0.65,35.66,-0.33,37.71,36.1,37.89,36.48,37.81,0.75,35.31,-0.53,37.57,36.07,37.88,36.54,33.72,28.24,25.84,27.34,30.0,36.05,35.33,35.85,8/25/25,3014.2655609272224,0.0,Mixed,Stable,Rising,6.938952850875028,False,High Vol,Bearish,-0.998526411875704,-4.006257500887724,Falling,32.88051135851612,42.2072859187874,Strong,23.037927484363525,True,0.7754267076527608,,0.0,,,False,3.870000000000001,Bearish,High Vol,29.71,25.84,3.870000000000001,4.48,4.869999999999997,-1.1799999999999997,0.6700000000000017,14.976780185758518,16.386247256766644,16.233333333333324,-3.291492329149232,1.8688981868898236,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,Trending,Bearish,Bearish,49,True,6.5966,-20.23,-83.71,2025.94,2089.42,2.79,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-1.2)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=3.9, gap_60d=4.5, gap_180d=-1.2, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
MKL,2025-08-25 07:24:07.124558,18.13,0.08,17.83,0.79,19.17,17.74,23.64,23.38,18.13,0.08,17.83,0.79,19.17,17.74,23.64,23.38,18.13,0.08,17.83,0.79,19.17,17.74,23.64,23.38,18.16,0.09,17.81,0.74,19.17,17.74,22.37,22.08,18.44,0.1,17.93,0.56,19.12,17.85,20.12,19.79,18.98,0.08,18.35,0.39,19.67,18.35,19.63,19.24,19.24,0.07,18.56,0.3,19.98,18.62,19.73,19.16,19.43,0.09,18.7,0.26,20.17,18.79,19.78,19.11,19.68,0.11,18.85,0.2,20.31,18.89,19.82,19.08,19.96,0.12,19.02,0.13,20.52,19.03,19.82,19.08,19.96,0.12,19.02,0.13,20.52,19.03,19.82,19.08,19.96,0.12,19.02,0.13,20.52,19.03,19.82,19.08,19.96,0.12,19.02,0.13,20.52,19.03,19.82,19.08,16.77,22.88,21.62,18.68,19.77,23.74,26.31,25.05,8/25/25,3014.2655609272224,0.0,Flat,Falling,Falling,1.7945658713646224,False,Low Vol,Bullish,2.9221541144187206,7.092776736635222,Falling,27.591499907973166,83.0391856916739,Strong,12.466581120729693,True,0.6864857445335734,,0.0,,,False,-3.460000000000001,Bullish,Low Vol,18.16,21.62,3.460000000000001,-0.23999999999999844,-0.7899999999999991,-5.370000000000001,-5.09,-16.003700277520817,-1.2847965738757947,-3.9959534648457216,-21.437125748502996,-20.319361277445108,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,Trending,Bullish,Bullish,53,True,27.1101,61.94,144.48,2119.6,2037.06,1.55,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-5.4)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-3.5, gap_60d=-0.2, gap_180d=-5.4, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
FCNCA,2025-08-25 07:24:08.658669,25.8,1.47,25.61,0.81,27.78,25.57,38.0,36.36,25.8,1.47,25.61,0.81,27.78,25.57,38.0,36.36,25.8,1.47,25.61,0.81,27.78,25.57,38.0,36.36,25.88,1.41,25.68,0.78,27.78,25.57,35.53,33.84,27.24,1.19,27.01,0.88,27.35,26.37,31.18,29.4,29.84,0.7,29.58,0.68,30.28,28.92,30.96,29.24,29.2,0.72,28.55,0.29,30.32,29.1,30.84,29.16,29.57,0.54,28.84,0.34,30.61,29.25,29.85,28.32,29.81,0.42,29.02,0.36,30.94,29.44,30.32,28.71,29.81,0.4,29.02,0.35,31.02,29.49,30.67,29.0,29.81,0.4,29.02,0.35,31.02,29.49,30.67,29.0,29.81,0.4,29.02,0.35,31.02,29.49,30.67,29.0,29.81,0.4,29.02,0.35,31.02,29.49,30.67,29.0,28.66,29.75,28.07,26.26,27.22,39.73,37.11,35.12,8/25/25,3014.2655609272224,0.0,Flat,Falling,Stable,4.173927007826882,False,Compression,Bullish,6.598821188679106,14.999212976902134,Falling,94.9151127307335,87.35937313541137,Strong,13.422861831004507,True,0.5186577214453055,Ascending Triangle,63.0,,,False,-2.1900000000000013,Bullish,Compression,25.88,28.07,2.1900000000000013,0.9799999999999969,2.620000000000001,-5.309999999999999,-5.309999999999999,-7.801923762023518,3.7319116527037197,9.62527553269655,-15.119589977220954,-15.119589977220954,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,Trending,Bullish,Bullish,56,True,60.7002,134.98,284.4,2045.5,1896.08,1.92,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-5.3)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-2.2, gap_60d=1.0, gap_180d=-5.3, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
FICO,2025-08-25 07:24:10.334179,37.66,4.39,37.79,1.82,39.52,38.76,48.54,45.21,37.66,4.39,37.79,1.82,39.52,38.76,48.54,45.21,37.66,4.39,37.79,1.82,39.52,38.76,48.54,45.21,37.85,4.1,37.91,1.78,39.52,38.76,46.32,43.68,38.71,1.66,38.58,1.07,38.82,38.4,42.32,40.9,39.83,1.3,39.59,0.43,40.48,40.06,40.2,38.81,40.21,1.0,39.87,-0.04,41.45,41.01,40.42,39.06,39.96,0.78,39.33,-0.2,40.94,40.45,40.53,39.18,40.87,0.3,40.18,-0.37,41.92,41.11,40.31,38.69,40.22,0.17,39.28,-0.43,41.52,40.41,40.05,38.13,39.24,0.23,38.16,-0.11,40.26,39.17,39.57,37.56,39.78,0.41,38.4,-0.1,40.51,39.02,40.27,37.86,39.78,0.41,38.4,-0.1,40.51,39.02,40.27,37.86,31.48,41.9,35.61,40.13,53.35,53.23,49.58,47.08,8/25/25,3014.2655609272224,0.0,Flat,Stable,Falling,3.66317712739456,False,Compression,Neutral,-1.057299680186604,1.8378636986536874,Falling,19.657447044124677,42.43120911223524,Moderate,18.384044490559113,True,0.48570791256430945,,0.0,,,False,2.240000000000002,Bidirectional,Compression,37.85,35.61,2.240000000000002,-1.4200000000000017,-13.520000000000003,-6.210000000000001,-7.839999999999996,6.290367874192649,-3.5384998754049377,-25.342080599812565,-13.19031435853866,-16.65250637213253,True,False,True,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,Trending,Bearish,Bearish,3,True,-20.8341,-18.73,31.64,1771.92,1721.55,2.72,Bidirectional,False,True,False,Age_0_5,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-6.2)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=2.2, gap_60d=-1.4, gap_180d=-6.2, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
TDG,2025-08-25 07:24:11.930136,20.36,0.84,20.06,0.41,22.21,20.88,27.87,28.5,20.36,0.84,20.06,0.41,22.21,20.88,27.87,28.5,20.36,0.84,20.06,0.41,22.21,20.88,27.87,28.5,20.66,0.99,20.3,0.56,22.21,20.88,26.56,26.94,22.24,1.06,21.8,0.82,22.56,21.23,24.39,24.31,24.35,0.41,23.96,0.23,25.06,23.66,24.9,24.59,24.0,0.34,23.47,0.03,25.03,23.66,25.16,24.74,24.4,0.39,23.67,0.14,25.29,23.83,24.39,23.93,25.21,0.41,24.45,0.26,25.94,24.35,24.6,23.9,25.98,0.35,24.93,0.09,26.69,25.12,26.0,24.82,25.98,0.35,24.93,0.09,26.71,25.14,26.2,24.93,25.98,0.35,24.93,0.09,26.71,25.14,26.2,24.93,25.98,0.35,24.93,0.09,26.71,25.14,26.2,24.93,15.87,48.96,41.38,31.05,29.99,32.69,31.06,29.99,8/25/25,3014.2655609272224,0.0,Contango,Falling,Falling,2.4974431369346966,False,Low Vol,Bearish,-0.3858301654960636,-0.5041072392830158,Falling,52.764430426508326,39.13847342374062,Strong,18.645157977610317,True,0.9024761847826872,Ascending Triangle,63.0,,,False,-20.720000000000002,Bearish,Low Vol,20.66,41.38,20.720000000000002,-8.810000000000002,-5.639999999999997,-4.779999999999998,-4.009999999999998,-50.072498791686805,-28.37359098228664,-18.806268756252077,-15.938646215405129,-13.37112370790263,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,15,True,12.8812,-5.07,-6.63,1314.31,1315.87,2.02,Bidirectional,False,True,False,Age_6_15,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-4.8)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-20.7, gap_60d=-8.8, gap_180d=-4.8, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
MTD,2025-08-25 07:24:15.177645,24.01,0.59,23.84,0.75,25.22,23.71,38.75,37.67,24.01,0.59,23.84,0.75,25.22,23.71,38.75,37.67,24.01,0.59,23.84,0.75,25.22,23.71,38.75,37.67,23.99,0.59,23.8,0.67,25.22,23.71,36.15,35.17,24.5,0.86,24.21,0.44,25.13,23.62,31.51,30.67,25.84,0.55,25.4,0.08,26.24,25.02,30.7,29.56,26.37,0.32,25.84,-0.18,26.86,25.8,31.07,29.99,26.15,0.19,25.52,-0.05,26.78,25.78,31.25,30.21,26.39,0.15,25.67,-0.04,26.87,25.74,30.38,29.46,26.75,0.18,25.81,-0.06,27.05,25.71,30.38,29.46,27.03,0.46,25.83,-0.04,27.05,25.71,30.38,29.46,27.69,1.12,26.2,0.32,27.05,25.71,30.38,29.46,27.69,1.12,26.2,0.32,27.05,25.71,30.38,29.46,30.38,29.71,31.89,27.8,35.18,40.56,37.83,35.71,8/25/25,3014.2655609272224,0.0,Flat,Stable,Stable,5.465481578862826,False,High Vol,Bullish,0.4378621883467422,0.3092256291391215,Falling,37.98455900053519,51.28696355032367,Strong,17.309679475043225,True,0.7215372853290215,Ascending Triangle,63.0,,,False,-7.900000000000002,Bullish,High Vol,23.99,31.89,7.900000000000002,-3.3000000000000007,-9.34,-9.32,-8.68,-24.77265600501725,-11.870503597122305,-26.54917566799318,-26.099131895827497,-24.306916830019603,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bearish,Bearish,17,True,9.7317,6.19,4.38,1413.91,1415.72,2.0,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-9.3)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-7.9, gap_60d=-3.3, gap_180d=-9.3, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
TPL,2025-08-25 07:24:17.136426,39.43,2.27,39.25,0.49,40.12,40.55,51.5,51.1,39.43,2.27,39.25,0.49,40.12,40.55,51.5,51.1,39.43,2.27,39.25,0.49,40.12,40.55,51.5,51.1,39.49,2.14,39.31,0.54,40.12,40.55,49.9,49.49,40.29,1.35,40.08,0.86,41.15,41.45,47.25,46.79,41.85,0.99,41.54,0.38,43.57,43.22,47.12,46.49,41.59,0.8,41.1,0.49,43.51,42.85,47.4,46.77,41.47,0.71,40.86,0.59,43.06,42.22,47.15,46.47,41.52,0.5,40.77,0.45,43.05,42.03,46.99,46.27,41.56,0.25,40.67,0.29,43.1,41.84,46.99,46.27,41.56,0.25,40.67,0.29,43.1,41.84,46.99,46.27,41.56,0.25,40.67,0.29,43.1,41.84,46.99,46.27,41.56,0.25,40.67,0.29,43.1,41.84,46.99,46.27,36.35,45.46,43.73,38.32,38.43,53.84,52.68,53.78,8/25/25,3014.2655609272224,0.0,Flat,Stable,Falling,4.765773809152087,False,Compression,Bearish,-2.1732071903091565,-5.572130548192588,Falling,20.807874609934412,38.13541606885409,Moderate,55.65361228728853,True,1.4093089968925938,Bear Flag,70.0,,,False,-4.239999999999995,Bearish,Compression,39.49,43.73,4.239999999999995,1.9699999999999989,3.4200000000000017,-12.259999999999998,-12.219999999999999,-9.695860965012566,5.1409185803757795,8.899297423887592,-22.79657865377463,-22.722201561918926,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,Neutral,Bearish,Bearish,36,True,1.0629,-6.39,-16.97,293.93,304.51,4.26,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,0.0,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=0, gap_180d=-12.3)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-4.2, gap_60d=2.0, gap_180d=-12.3, IV_Rank=0",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
GWW,2025-08-25 07:24:20.215470,19.54,3.06,19.46,1.54,19.38,19.38,27.48,26.74,19.54,3.06,19.46,1.54,19.38,19.38,27.48,26.74,19.54,3.06,19.46,1.54,19.38,19.38,27.48,26.74,19.78,3.02,19.67,1.57,19.38,19.38,25.62,24.91,20.7,1.93,20.49,0.97,20.67,20.12,22.3,21.64,21.7,1.49,21.41,0.55,21.43,21.28,21.73,21.11,22.03,1.14,21.68,0.19,21.81,21.91,21.55,21.17,21.55,0.63,21.06,-0.44,21.68,21.75,21.45,21.2,21.76,0.73,21.2,-0.41,21.87,21.94,21.32,21.3,22.0,0.84,21.37,-0.38,22.19,22.28,21.32,21.3,22.0,0.84,21.37,-0.38,22.19,22.28,21.32,21.3,22.0,0.84,21.37,-0.38,22.19,22.28,21.32,21.3,22.0,0.84,21.37,-0.38,22.19,22.28,21.32,21.3,22.63,45.32,37.81,29.24,27.07,27.34,26.29,25.01,8/25/25,3014.2655609272224,6.4102564102564425,Flat,Stable,Falling,2.8519622874240276,False,Low Vol,Bullish,2.589478355355548,5.6600660598578445,Falling,64.54512307440844,65.51440220485009,Strong,11.912447589547755,True,0.6022470975504426,,0.0,Dark Cloud Cover,Moderate,False,-18.03,Bullish,Low Vol,19.78,37.81,18.03,-8.54,-5.370000000000001,-3.25,-3.0100000000000016,-47.685797408093094,-29.20656634746922,-19.837458441078688,-12.994802079168332,-12.035185925629753,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,Trending,Bullish,Bullish,23,True,9.672,25.85,54.87,998.43,969.41,1.95,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,6.4102564102564425,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=6, gap_180d=-3.2)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-18.0, gap_60d=-8.5, gap_180d=-3.2, IV_Rank=6",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
KLAC,2025-08-25 07:24:26.148964,33.11,0.79,32.83,0.98,33.29,32.93,38.65,42.1,33.11,0.79,32.83,0.98,33.29,32.93,38.65,42.1,33.11,0.79,32.83,0.98,33.29,32.93,38.65,42.1,33.42,0.92,33.1,1.09,33.29,32.93,37.54,40.04,34.85,0.77,34.33,1.02,34.36,33.05,35.71,36.49,36.47,0.64,35.78,0.74,35.7,34.99,35.55,36.06,35.19,0.14,34.59,0.08,35.68,34.99,35.47,35.84,35.2,0.27,34.48,0.51,35.3,34.55,35.41,35.7,35.61,0.22,34.8,0.29,35.73,34.77,35.21,35.5,36.17,0.12,35.27,0.15,36.41,35.21,35.89,35.88,36.37,0.06,35.29,0.06,36.7,35.3,36.15,35.9,36.46,0.25,35.02,-0.14,36.65,35.21,36.01,35.58,36.46,0.25,35.02,-0.14,36.65,35.21,36.01,35.58,49.51,45.12,39.81,33.68,37.32,48.16,45.94,43.7,8/25/25,3014.2655609272224,3.058823529411825,Flat,Stable,Rising,1.9735416556705014,False,Low Vol,Bullish,4.604141412654652,7.579249073805042,Falling,27.945668687593844,61.80757372390173,Strong,43.10372491114793,True,1.2897583755579871,Ascending Triangle,63.0,,,False,-6.390000000000001,Bullish,Low Vol,33.42,39.81,6.390000000000001,1.1700000000000017,-0.8500000000000014,-8.090000000000003,-7.330000000000005,-16.051243406179353,3.4738717339667513,-2.2775991425509146,-18.512585812356985,-16.773455377574383,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,Trending,Bullish,Bullish,24,True,33.6453,56.32,90.15,1223.28,1189.45,2.99,Bidirectional,False,True,False,Age_16_plus,UNKNOWN_REGIME,3.058823529411825,Long Straddle,1,"Expansion + Very Cheap IV (IV_Rank=3, gap_180d=-8.1)",Natenberg Ch.9 - ATM volatility play,Bidirectional,"gap_30d=-6.4, gap_60d=1.2, gap_180d=-8.1, IV_Rank=3",8000,Defined (max loss = total premium),"Delta-neutral, Long Vega, Short Theta",True,72,Bidirectional,Volatility,True,Long Straddle,None,0.72,Medium,Medium
