Ticker,IV_Required,Reason
AAPL,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
ABT,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
ADI,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
ADP,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AMAT,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AMD,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AMGN,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AMP,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AMZN,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
ANET,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AON,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
APH,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
APP,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
AVGO,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AXON,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AXP,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
AZO,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
BA,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
BAC,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
BIDU,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
BSX,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
BX,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
C,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
CACC,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CACI,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CAT,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CHTR,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
CLS,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
CMCSA,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
COF,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
COIN,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
COP,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
COST,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CRM,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CRWD,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CSCO,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CSL,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CVCO,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
CVX,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
DE,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
DHR,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
DIS,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
DKNG,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
DPZ,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
DUOL,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
ELV,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
EME,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
ETN,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
FCNCA,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
FDS,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
FICO,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
FIX,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
GE,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
GEV,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
GILD,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
GOOG,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
GOOGL,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
GPI,True,VOLATILITY_STRATEGY_HARD_REQUIREMENT
GS,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
HCA,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
HON,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
HUBB,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
HUBS,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
IBM,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
IDXX,False,DIRECTIONAL_STRATEGY_CONFIDENCE_ENHANCEMENT
