Symbol,Quantity,UL Last,Last,Bid,Ask,$ Total G/L,Total_GL_Decimal,Basis,Theta,Vega,Gamma,Delta,Rho,Time Val,Account,AssetType,Premium,Snapshot_TS,Underlying,OptionType,Strike,Expiration,Strategy,Type,TradeID,LegID,LegRole,LegIndex,Strike_Entry,Expiration_Entry,Underlying_Price_Entry,Structure,LegType,LegCount,Premium_Estimated,Structure_Valid,Validation_Errors,Needs_Structural_Fix,DTE,IV Mid,IV_Snapshot_Date,IV_Source,IV_Rank,IV_Rank_Source,IV_Rank_History_Days,Days_to_Earnings,Next_Earnings_Date,Earnings_Source,Capital_Deployed,Delta_Trade,Gamma_Trade,Theta_Trade,Vega_Trade,Premium_Trade,BreakEven_Lower,BreakEven_Upper,BreakEven_Type,Moneyness_Pct,Moneyness_Label,Unrealized_PnL,Days_In_Trade,ROI_Current,ROI,Theta_Efficiency,Assignment_Risk,Max_Profit_Potential,Max_Loss_Potential,Profit_Target_Pct,Loss_Distance_Pct,Unrealized_PnL_Trade,Days_In_Trade_Max,Capital_Deployed_Trade,ROI_Trade,PnL_From_Delta,PnL_From_Theta,PnL_From_Vega,PnL_From_Gamma,PnL_Unexplained,PnL_Attribution_Quality,PnL_From_Delta_Trade,PnL_From_Theta_Trade,PnL_From_Vega_Trade,PnL_From_Gamma_Trade,Is_Short_Position,Is_ITM,ITM_Amount,ITM_Pct,Assignment_Risk_Score,Assignment_Risk_Level,Pin_Risk,Early_Assignment_Risk,Days_To_Assignment,Asset_Type_Supported,IV_Cross_Leg_Skew,IV_Cross_Leg_Kurtosis,Distribution_Invalidated,Original_Leg_Count,Filtered_Leg_Count,PCS_GammaScore,PCS_VegaScore,PCS_ROIScore,ROI_Raw_Calc,ROI_For_Scoring,PCS,PCS_GroupAvg,PCS_Profile,PCS_Tier,Confidence_Tier,Unknown_Strategy,Low_Quality_Signal,Needs_Revalidation,PCS_Data_Quality,PCS_Coverage_Flags,PCS_Missing_Inputs,PCS_Input_Score,PCS_Baseline_Only,Current_PCS_v2,Current_PCS_IV_Score,Current_PCS_Liquidity_Score,Current_PCS_Greeks_Score,Current_PCS_Tier_v2,Current_PCS_Available_Weight,run_id,Schema_Hash,Market_Session,Is_Market_Open,Snapshot_DayType,First_Seen_Date,Delta_Entry,Gamma_Entry,Vega_Entry,Theta_Entry,Rho_Entry,IV_Entry,Entry_IV_Rank,Premium_Entry,Entry_Timestamp,Entry_Moneyness_Pct,Entry_DTE,Entry_PCS,Entry_PCS_GammaScore,Entry_PCS_VegaScore,Entry_PCS_ROIScore,Entry_PCS_Profile,Entry_PCS_Tier,Delta_Drift,Gamma_Drift,Vega_Drift,Theta_Drift,Rho_Drift,IV_Rank_Drift,PCS_Drift,Moneyness_Migration,DTE_Decay,Delta_Drift_Pct,Gamma_Drift_Pct,Vega_Drift_Pct,Drift_Severity,Drift_Flags,Chart_Regime,Signal_Type,EMA_Signal,Days_Since_Cross,Trend_Slope,Signal_Confidence,Chart_Updated,Recommendation,Urgency,Exit_Rationale,Expected_Outcome,Urgency_Score,Capital_Weight
AAPL260130C275,-1.0,271.86,6.0,5.8,6.05,85.34,0.12359999999999999,690.34,-0.1174,0.3032,0.0233,0.4625,0.0942,5.7681,Individual - TOD *5376,OPTION,5.7681,2026-01-04 19:24:55.653191,AAPL,Call,275.0,2026-01-30,Covered_Call,Single-leg,AAPL260130_Short_Buy_Call_5376,AAPL260130_Short_Buy_Call_5376_L1,Short_Call,1,275.0,2026-01-30,271.86,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,25,22.27,2025-12-29,archive,,insufficient_data,0,,,unknown,0.0,0.4625,0.0233,-0.1174,0.3032,5.7681,,,Unknown,-0.011418181818181768,ATM,-23.190000000000044,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-23.190000000000044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,6.0,LOW,False,False,,True,,,0.0,1.0,1.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,23.589333333333336,,5.0,12.692,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.4625,0.0233,0.3032,-0.1174,0.0942,22.27,,5.7681,2026-01-04 19:24:55.653191,-0.011418181818181768,25.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
AAPL260220C280,-1.0,271.86,5.9,5.85,6.0,79.34,0.1167,679.34,-0.084,0.3868,0.0176,0.3953,0.1383,5.8263,Individual - TOD *5376,OPTION,5.8263,2026-01-04 19:24:55.653191,AAPL,Call,280.0,2026-02-20,Covered_Call,Single-leg,AAPL260220_Short_Buy_Call_5376,AAPL260220_Short_Buy_Call_5376_L1,Short_Call,1,280.0,2026-02-20,271.86,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,46,22.27,2025-12-29,archive,,insufficient_data,0,,,unknown,0.0,0.3953,0.0176,-0.084,0.3868,5.8263,,,Unknown,-0.029071428571428522,ATM,-7.370000000000054,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-7.370000000000054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,2.0,LOW,False,False,,True,,,0.0,1.0,1.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,21.32312774831368,,5.0,10.99234581123526,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.3953,0.0176,0.3868,-0.084,0.1383,22.27,,5.8263,2026-01-04 19:24:55.653191,-0.029071428571428522,46.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
CMG260102C32,-1.0,37.0,5.09,4.75,6.6,-462.67,-2.3447,197.33,0.0,0.0,0.0,1.0,0.0007,0.0084,Individual - TOD *5376,OPTION,0.0084,2026-01-04 19:24:55.653191,CMG,Call,32.0,2026-01-02,Covered_Call,Single-leg,CMG260102_Short_Buy_Call_5376,CMG260102_Short_Buy_Call_5376_L1,Short_Call,1,32.0,2026-01-02,37.0,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,-3,0.0,,not_in_archive,,insufficient_data,0,,,unknown,0.0,1.0,0.0,0.0,0.0,0.0084,,,Unknown,0.15625,ITM,-508.15999999999997,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-508.15999999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,500.0,15.625,40.0,MEDIUM,True,False,-3.0,True,,,,1.0,0.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,0.0,,0.0,0.0,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,1.0,0.0,0.0,0.0,0.0007,0.0,,0.0084,2026-01-04 19:24:55.653191,0.15625,-3.0,2.5,0.0,0.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
INTC260220C38,-1.0,36.9,2.5,2.5,2.61,-43.66,-0.2009,217.34,-0.0286,0.0544,0.0554,0.4923,0.0214,2.4808,ROTH IRA *4854,OPTION,2.4808,2026-01-04 19:24:55.653191,INTC,Call,38.0,2026-02-20,Covered_Call,Single-leg,INTC260220_Short_Buy_Call_4854,INTC260220_Short_Buy_Call_4854_L1,Short_Call,1,38.0,2026-02-20,36.9,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,46,52.15,2025-12-29,archive,,insufficient_data,0,,,unknown,0.0,0.4923,0.0554,-0.0286,0.0544,2.4808,,,Unknown,-0.02894736842105267,ATM,-1.9200000000000106,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-1.9200000000000106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,2.0,LOW,False,False,,True,,,0.0,1.0,1.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,24.568179726969795,,5.0,13.426134795227346,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.4923,0.0554,0.0544,-0.0286,0.0214,52.15,,2.4808,2026-01-04 19:24:55.653191,-0.02894736842105267,46.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
INTC260220C38,-1.0,36.9,2.5,2.5,2.61,-43.66,-0.2009,217.34,-0.0286,0.0544,0.0554,0.4923,0.0214,2.4808,Individual - TOD *5376,OPTION,2.4808,2026-01-04 19:24:55.653191,INTC,Call,38.0,2026-02-20,Covered_Call,Single-leg,INTC260220_Short_Buy_Call_5376,INTC260220_Short_Buy_Call_5376_L1,Short_Call,1,38.0,2026-02-20,36.9,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,46,52.15,2025-12-29,archive,,insufficient_data,0,,,unknown,0.0,0.4923,0.0554,-0.0286,0.0544,2.4808,,,Unknown,-0.02894736842105267,ATM,-1.9200000000000106,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-1.9200000000000106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,2.0,LOW,False,False,,True,,,0.0,1.0,1.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,24.568179726969795,,5.0,13.426134795227346,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.4923,0.0554,0.0544,-0.0286,0.0214,52.15,,2.4808,2026-01-04 19:24:55.653191,-0.02894736842105267,46.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
PLTR280121C250,-1.0,177.75,42.25,41.45,43.35,655.34,0.1313,4990.34,-0.0342,1.0145,0.0027,0.5445,1.1078,42.2295,Individual - TOD *5376,OPTION,42.2295,2026-01-04 19:24:55.653191,PLTR,Call,250.0,2028-01-21,Covered_Call,Single-leg,PLTR280121_Short_Buy_Call_5376,PLTR280121_Short_Buy_Call_5376_L1,Short_Call,1,250.0,2028-01-21,177.75,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,746,43.87,2025-12-29,archive,,insufficient_data,0,,,unknown,0.0,0.5445,0.0027,-0.0342,1.0145,42.2295,,,Unknown,-0.289,OTM,-2.049999999999841,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-2.049999999999841,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,2.0,LOW,False,False,,True,,,0.0,1.0,1.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,14.3232868018802,,5.0,5.7424651014101515,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.5445,0.0027,1.0145,-0.0342,1.1078,43.87,,42.2295,2026-01-04 19:24:55.653191,-0.289,746.0,10.81,4.05,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
SOFI260130C29,-1.0,26.18,0.8,0.75,0.84,22.34,0.21,106.34,-0.0262,0.0258,0.0815,0.3066,0.0056,0.7666,Individual - TOD *5376,OPTION,0.7666,2026-01-04 19:24:55.653191,SOFI,Call,29.0,2026-01-30,Covered_Call,Single-leg,SOFI260130_Short_Buy_Call_5376,SOFI260130_Short_Buy_Call_5376_L1,Short_Call,1,29.0,2026-01-30,26.18,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,25,0.0,,not_in_archive,,insufficient_data,0,,,unknown,0.0,0.3066,0.0815,-0.0262,0.0258,0.7666,,,Unknown,-0.09724137931034484,OTM,-3.3400000000000096,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-3.3400000000000096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,6.0,LOW,False,False,,True,,,,1.0,0.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,20.343999999999998,,0.0,15.258,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.3066,0.0815,0.0258,-0.0262,0.0056,0.0,,0.7666,2026-01-04 19:24:55.653191,-0.09724137931034484,25.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
UUUU260102C15,-10.0,14.54,0.1,0.1,0.15,43.36,0.2242,193.36,-0.0469,0.0017,0.5436,0.1811,0.0001,0.0469,Individual - TOD *5376,OPTION,0.0469,2026-01-04 19:24:55.653191,UUUU,Call,15.0,2026-01-02,Covered_Call,Single-leg,UUUU260102_Short_Buy_Call_5376,UUUU260102_Short_Buy_Call_5376_L1,Short_Call,1,15.0,2026-01-02,14.54,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,-3,0.0,,not_in_archive,,insufficient_data,0,,,unknown,0.0,0.1811,0.5436,-0.0469,0.0017,0.0469,,,Unknown,-0.030666666666666724,ATM,-53.100000000000016,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-53.100000000000016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,40.0,MEDIUM,True,False,-3.0,True,,,,1.0,0.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,20.002266666666664,,0.0,15.0017,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.1811,0.5436,0.0017,-0.0469,0.0001,0.0,,0.0469,2026-01-04 19:24:55.653191,-0.030666666666666724,-3.0,10.05,25.0,8.5,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
UUUU260206P14,-2.0,14.54,1.35,1.15,1.3,-1.33,-0.0052,258.67,-0.0205,0.0174,0.1003,-0.3859,-0.0058,1.2076,ROTH IRA *4854,OPTION,1.2076,2026-01-04 19:24:55.653191,UUUU,Put,14.0,2026-02-06,CSP,Single-leg,UUUU260206_Short_Buy_Put_4854,UUUU260206_Short_Buy_Put_4854_L1,Short_Put,1,14.0,2026-02-06,14.54,Single-leg,SHORT_PUT,1,False,True,,False,32,0.0,,not_in_archive,,insufficient_data,0,,,unknown,0.0,-0.3859,0.1003,-0.0205,0.0174,1.2076,12.7924,,CSP,0.038571428571428513,ATM,-28.480000000000018,0,0.0,0.0,0.0,LOW,120.76,-1279.24,0.0,2.2263218786154293,-28.480000000000018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,2.0,LOW,False,False,,True,,,,1.0,0.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,19.107939935961134,,0.0,14.33095495197085,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,-0.3859,0.1003,0.0174,-0.0205,-0.0058,0.0,,1.2076,2026-01-04 19:24:55.653191,0.038571428571428513,32.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
UUUU270115C17,-23.0,14.54,4.72,4.5,5.0,2307.73,0.1671,13807.73,-0.0062,0.0558,0.0276,0.6403,0.0473,4.7112,Individual - TOD *5376,OPTION,4.7112,2026-01-04 19:24:55.653191,UUUU,Call,17.0,2027-01-15,Covered_Call,Single-leg,UUUU270115_Short_Buy_Call_5376,UUUU270115_Short_Buy_Call_5376_L1,Short_Call,1,17.0,2027-01-15,14.54,Single-leg,SHORT_CALL,1,False,False,Missing_Leg:STOCK,True,375,0.0,,not_in_archive,,insufficient_data,0,,,unknown,0.0,0.6403,0.0276,-0.0062,0.0558,4.7112,,,Unknown,-0.14470588235294124,OTM,-20.239999999999814,0,0.0,0.0,0.0,LOW,,,0.0,0.0,-20.239999999999814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,2.0,LOW,False,False,,True,,,,1.0,0.0,,,,,,,,,,,,,,PARTIAL,59,"IV_Rank (null), Liquidity, IV Surface (null)",50,False,0.7910187945592494,,0.0,0.5932640959194371,C,0.45,2026-01-04_19-24-55-653,dd22f9458aba372b,Closed,False,Weekend,2026-01-04 19:24:55.653191,0.6403,0.0276,0.0558,-0.0062,0.0473,0.0,,4.7112,2026-01-04 19:24:55.653191,-0.14470588235294124,375.0,15.0,25.0,25.0,5.0,INCOME,Tier 4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,LOW,None,Unknown,Unknown,Unknown,,,0,2026-01-04 19:24:55.864972,HOLD,MEDIUM,theta_exhaustion: Daily decay below 0.5% of premium; Monitoring for deterioration,monitor,2,
