Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,snapshot_ts,Snapshot_Age_Hours,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20_original,Price_vs_SMA50_original,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20_chart,Price_vs_SMA50_chart,SMA20,SMA50,Atr_Pct,Chart_Source,Universal_Data_Complete,Directional_Data_Complete,Completeness_Score,Completeness_Reason,Crossover_Age_Bucket,IV_Rank_XS,Strategy_Name,Strategy_Tier,Valid_Reason,Theory_Source,Regime_Context,IV_Context,Capital_Requirement,Risk_Profile,Greeks_Exposure,Execution_Ready,Confidence,Trade_Bias,Strategy_Type,EXECUTABLE,Validation_Status,Data_Completeness_Pct,Missing_Required_Data,Theory_Compliance_Score,Evaluation_Notes,Execution_State,Strategy_Family,Strategy_Family_Rank,Min_DTE,Max_DTE,Target_DTE,Timeframe_Label,DTE_Rationale,Expiration_Count_Target,Contract_Status,Contract_Selection_Status,Failure_Reason,Selected_Expiration,Actual_DTE,Selected_Strike,Contract_Symbol,Option_Type,Delta,Gamma,Vega,Theta,Rho,Bid,Ask,Mid,Last,Bid_Ask_Spread_Pct,Open_Interest,Volume,Implied_Volatility,Liquidity_Grade,Liquidity_Score,Liquidity_Reason,Chain_Rejection_Reason,Expirations_Checked,Strikes_Available,bid_size,ask_size,total_depth,depth_imbalance,depth_to_oi_ratio,depth_tag,balance_tag,execution_quality,dividend_risk,days_to_dividend,dividend_yield,dividend_notes,acceptance_status,acceptance_reason,confidence_band,directional_bias,structure_bias,timing_quality,execution_adjustment
AAPL,2025-12-31 23:30:16.645651,2025-12-31,,schwab,272.01,27293639.0,mark,1767229135510,1767229186322,23430.323,False,CLOSED,OK,COMPUTED,21.708,,,,21.708,,,,,,,,,,,,,,,,,,,,,,,9.27326332960144,9.784584750888694,13.072381475517968,17.82886914279431,20.11937480172731,9.27326332960144,9.784584750888694,13.072381475517968,17.82886914279431,20.11937480172731,21.43471822209874,20.657879262203245,23.255733472618275,-3.7991181459165286,Low_Compression,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-1.3847430764442485,-0.6414549189323657,Stable,41.137804226823825,31.10879702249065,Strong,7.888244170088865,True,0.36337959139897114,,0.0,,,False,8.63561852448203,Bearish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,21.708,13.072381475517968,8.63561852448203,,,,,66.06002541047985,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Long Put,1,Bearish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with negative delta,Bearish,"gap_30d=8.6, gap_60d=nan, gap_180d=nan",500,Defined (max loss = premium paid),"Short Delta, Long Vega, Short Theta",True,65,Bearish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Put) with moderate confidence (65): 35-50 DTE for directional exposure,2,OK,Contracts_Available,,2026-02-13,41.0,270.0,AAPL  260213P00270000,put,-0.459,0.02,0.365,-0.092,-0.145,6.2,8.45,7.32,8.11,30.737704918032772,1.0,11.0,2186.5,Illiquid,0.0,"Very low OI (1), very wide spread (30.7%)",,21,50,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,,,No short legs,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
AAPL,2025-12-31 23:30:16.645651,2025-12-31,,schwab,272.01,27293639.0,mark,1767229135510,1767229186322,23430.323,False,CLOSED,OK,COMPUTED,21.708,,,,21.708,,,,,,,,,,,,,,,,,,,,,,,9.27326332960144,9.784584750888694,13.072381475517968,17.82886914279431,20.11937480172731,9.27326332960144,9.784584750888694,13.072381475517968,17.82886914279431,20.11937480172731,21.43471822209874,20.657879262203245,23.255733472618275,-3.7991181459165286,Low_Compression,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-1.3847430764442485,-0.6414549189323657,Stable,41.137804226823825,31.10879702249065,Strong,7.888244170088865,True,0.36337959139897114,,0.0,,,False,8.63561852448203,Bearish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,21.708,13.072381475517968,8.63561852448203,,,,,66.06002541047985,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Long Put LEAP,1,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year protective or directional,Bearish,"gap_30d=8.6, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Short Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bearish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Put LEAP): 365-730 DTE for multi-year structural thesis,2,OK,Contracts_Available,,2027-06-17,530.0,360.0,AAPL  270617P00360000,put,-0.763,0.003,0.997,-0.027,-4.457,88.7,90.45,89.58,85.69,1.953561062737218,0.0,0.0,2690.7,Illiquid,0.0,"Very low OI (0), very wide spread (2.0%)",,21,50,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,,,No short legs,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
AAPL,2025-12-31 23:30:16.645651,2025-12-31,,schwab,272.01,27293639.0,mark,1767229135510,1767229186322,23430.323,False,CLOSED,OK,COMPUTED,21.708,,,,21.708,,,,,,,,,,,,,,,,,,,,,,,9.27326332960144,9.784584750888694,13.072381475517968,17.82886914279431,20.11937480172731,9.27326332960144,9.784584750888694,13.072381475517968,17.82886914279431,20.11937480172731,21.43471822209874,20.657879262203245,23.255733472618275,-3.7991181459165286,Low_Compression,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-1.3847430764442485,-0.6414549189323657,Stable,41.137804226823825,31.10879702249065,Strong,7.888244170088865,True,0.36337959139897114,,0.0,,,False,8.63561852448203,Bearish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,21.708,13.072381475517968,8.63561852448203,,,,,66.06002541047985,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Covered Call,1,Bearish + Rich IV (gap_30d=8.6) [requires stock ownership],Passarelli - Premium collection on held stock,Bearish,gap_30d=8.6,0,Unlimited downside (stock ownership),"Long Delta (from stock), Short Vega, Long Theta",False,70,Bearish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Covered Call): 30-45 DTE for premium collection efficiency,2,OK,Contracts_Available,,2026-02-06,34.0,280.0,AAPL  260206C00280000,call,0.34,0.018,0.307,-0.104,0.083,4.25,4.35,4.3,4.29,2.3255813953488293,313.0,423.0,2363.0,Thin,31.0,"Light OI (313), wide spread (2.3%)",,21,50,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,No dividend date available,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
ABBV,2025-12-31 23:30:16.645651,2025-12-31,,schwab,228.6,3197147.0,mark,1767228995571,1767229163977,23452.668,False,CLOSED,OK,COMPUTED,27.494,,,,27.494,,,,,,,,,,,,,,,,,,,,,,,11.239976596870978,17.270085779157167,20.33403989019233,22.024322937612247,23.940684337740027,11.239976596870978,17.270085779157167,20.33403989019233,22.024322937612247,23.940684337740027,23.102470005992277,22.216088688272183,24.60276929704068,-9.094063293321348,Normal,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.1646874731982866,1.1713828803001478,Falling,23.433701672031123,62.17454737592004,Moderate,11.31335687488087,True,0.4114845739027013,,0.0,,,False,7.15996010980767,Bullish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,27.494,20.33403989019233,7.15996010980767,,,,,35.211695012269146,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=7.2, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2,OK,Contracts_Available,,2027-06-17,530.0,195.0,ABBV  270617C00195000,call,0.741,0.006,0.817,-0.012,1.046,47.5,50.35,48.93,48.6,5.824647455548746,0.0,0.0,2466.3,Illiquid,0.0,"Very low OI (0), very wide spread (5.8%)",,19,34,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,,,No short legs,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
ABBV,2025-12-31 23:30:16.645651,2025-12-31,,schwab,228.6,3197147.0,mark,1767228995571,1767229163977,23452.668,False,CLOSED,OK,COMPUTED,27.494,,,,27.494,,,,,,,,,,,,,,,,,,,,,,,11.239976596870978,17.270085779157167,20.33403989019233,22.024322937612247,23.940684337740027,11.239976596870978,17.270085779157167,20.33403989019233,22.024322937612247,23.940684337740027,23.102470005992277,22.216088688272183,24.60276929704068,-9.094063293321348,Normal,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.1646874731982866,1.1713828803001478,Falling,23.433701672031123,62.17454737592004,Moderate,11.31335687488087,True,0.4114845739027013,,0.0,,,False,7.15996010980767,Bullish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,27.494,20.33403989019233,7.15996010980767,,,,,35.211695012269146,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Cash-Secured Put,1,"Bullish + Rich IV (gap_30d=7.2, IV_Rank=nan)",Passarelli - Premium collection when IV > HV,Bullish,"gap_30d=7.2, IV_Rank=nan",15000,Obligation (max loss = strike - premium),"Long Delta, Short Vega, Long Theta",True,70,Bullish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Cash-Secured Put): 30-45 DTE for premium collection efficiency,2,OK,Contracts_Available,,2026-02-06,34.0,215.0,ABBV  260206P00215000,put,-0.225,0.016,0.212,-0.09,-0.052,1.75,3.2,2.48,3.25,58.46774193548387,39.0,7.0,2576.7,Thin,3.0,"Light OI (39), wide spread (58.5%)",,19,39,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,No dividend date available,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
ABBV,2025-12-31 23:30:16.645651,2025-12-31,,schwab,228.6,3197147.0,mark,1767228995571,1767229163977,23452.668,False,CLOSED,OK,COMPUTED,27.494,,,,27.494,,,,,,,,,,,,,,,,,,,,,,,11.239976596870978,17.270085779157167,20.33403989019233,22.024322937612247,23.940684337740027,11.239976596870978,17.270085779157167,20.33403989019233,22.024322937612247,23.940684337740027,23.102470005992277,22.216088688272183,24.60276929704068,-9.094063293321348,Normal,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.1646874731982866,1.1713828803001478,Falling,23.433701672031123,62.17454737592004,Moderate,11.31335687488087,True,0.4114845739027013,,0.0,,,False,7.15996010980767,Bullish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,27.494,20.33403989019233,7.15996010980767,,,,,35.211695012269146,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Buy-Write,1,Bullish + Very Rich IV (IV_Rank=nan),Cohen Ch.7 - Reduces cost basis via call premium,Bullish,"gap_30d=7.2, IV_Rank=nan",50000,Stock downside risk offset by call premium,"Long Delta (from stock), Short Vega, Long Theta",True,75,Bullish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Buy-Write): 30-45 DTE for premium collection efficiency,2,OK,Contracts_Available,,2026-02-06,34.0,240.0,ABBV  260206C00240000,call,0.264,0.018,0.231,-0.073,0.052,1.75,3.85,2.8,3.07,75.00000000000001,8.0,10.0,2573.9,Illiquid,0.0,"Very low OI (8), very wide spread (75.0%)",,19,39,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,No dividend date available,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
ADP,2025-12-31 23:30:16.645651,2025-12-31,,schwab,257.23,1760284.0,mark,1767224654725,1767226059696,26556.949,False,CLOSED,OK,COMPUTED,23.638,,,,23.638,,,,,,,,,,,,,,,,,,,,,,,15.18762422775714,15.47589896241741,16.036407333911352,20.07401256903767,18.346054378831557,15.18762422775714,15.47589896241741,16.036407333911352,20.07401256903767,18.346054378831557,17.850656146882983,18.060681529115605,18.10078166947017,-0.8487831061542117,Normal_Compression,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.5977532863539725,-2.2011776326175716,Stable,25.517296486082973,34.06862391497752,Strong,14.488419286898235,True,0.612929151658272,,0.0,,,False,7.601592666088649,Bearish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,23.638,16.036407333911352,7.601592666088649,,,,,47.402092674547866,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Long Put,1,Bearish + Cheap IV (gap_180d=nan),Natenberg Ch.3 - Directional with negative delta,Bearish,"gap_30d=7.6, gap_60d=nan, gap_180d=nan",500,Defined (max loss = premium paid),"Short Delta, Long Vega, Short Theta",True,65,Bearish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,35,50,42,Short-Medium,Directional (Long Put) with moderate confidence (65): 35-50 DTE for directional exposure,2,OK,Contracts_Available,,2026-02-13,41.0,255.0,ADP   260213P00255000,put,-0.521,0.019,0.341,-0.099,-0.154,7.4,9.4,8.4,0.0,23.809523809523807,0.0,0.0,2447.4,Illiquid,0.0,"Very low OI (0), very wide spread (23.8%)",,16,41,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,,,No short legs,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
ADP,2025-12-31 23:30:16.645651,2025-12-31,,schwab,257.23,1760284.0,mark,1767224654725,1767226059696,26556.949,False,CLOSED,OK,COMPUTED,23.638,,,,23.638,,,,,,,,,,,,,,,,,,,,,,,15.18762422775714,15.47589896241741,16.036407333911352,20.07401256903767,18.346054378831557,15.18762422775714,15.47589896241741,16.036407333911352,20.07401256903767,18.346054378831557,17.850656146882983,18.060681529115605,18.10078166947017,-0.8487831061542117,Normal_Compression,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.5977532863539725,-2.2011776326175716,Stable,25.517296486082973,34.06862391497752,Strong,14.488419286898235,True,0.612929151658272,,0.0,,,False,7.601592666088649,Bearish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,23.638,16.036407333911352,7.601592666088649,,,,,47.402092674547866,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Long Put LEAP,1,"Bearish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year protective or directional,Bearish,"gap_30d=7.6, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Short Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bearish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Put LEAP): 365-730 DTE for multi-year structural thesis,2,OK,Contracts_Available,,2027-01-15,377.0,300.0,ADP   270115P00300000,put,-0.747,0.005,0.777,-0.034,-2.568,49.5,52.5,51.0,44.92,5.88235294117647,0.0,0.0,2271.8,Illiquid,0.0,"Very low OI (0), very wide spread (5.9%)",,16,41,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,,,No short legs,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
ADP,2025-12-31 23:30:16.645651,2025-12-31,,schwab,257.23,1760284.0,mark,1767224654725,1767226059696,26556.949,False,CLOSED,OK,COMPUTED,23.638,,,,23.638,,,,,,,,,,,,,,,,,,,,,,,15.18762422775714,15.47589896241741,16.036407333911352,20.07401256903767,18.346054378831557,15.18762422775714,15.47589896241741,16.036407333911352,20.07401256903767,18.346054378831557,17.850656146882983,18.060681529115605,18.10078166947017,-0.8487831061542117,Normal_Compression,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-2.5977532863539725,-2.2011776326175716,Stable,25.517296486082973,34.06862391497752,Strong,14.488419286898235,True,0.612929151658272,,0.0,,,False,7.601592666088649,Bearish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,23.638,16.036407333911352,7.601592666088649,,,,,47.402092674547866,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Covered Call,1,Bearish + Rich IV (gap_30d=7.6) [requires stock ownership],Passarelli - Premium collection on held stock,Bearish,gap_30d=7.6,0,Unlimited downside (stock ownership),"Long Delta (from stock), Short Vega, Long Theta",False,70,Bearish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,30,45,37,Short,Income (Covered Call): 30-45 DTE for premium collection efficiency,2,OK,Contracts_Available,,2026-02-06,34.0,265.0,ADP   260206C00265000,call,0.28,0.018,0.264,-0.093,0.065,2.3,3.9,3.1,2.92,51.61290322580645,0.0,120.0,2368.9,Illiquid,0.0,"Very low OI (0), very wide spread (51.6%)",,16,41,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,No dividend date available,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
AMAT,2025-12-31 23:30:16.645651,2025-12-31,,schwab,256.99,3025778.0,mark,1767228934306,1767229155528,23461.117,False,CLOSED,OK,COMPUTED,37.506,,,,37.506,,,,,,,,,,,,,,,,,,,,,,,27.67603695797944,28.10710613782496,39.923189249456,41.41239209824468,40.273903599823655,27.67603695797944,28.10710613782496,39.923189249456,41.41239209824468,40.273903599823655,43.690647298691296,40.91571324424973,40.94800250824222,-12.247152291476564,Normal_Contraction,2025-12-31 23:30:16.645651,42.640526442222225,,Unknown,Unknown,Falling,,False,Unknown,Bullish,2.498902664657271,9.398272992434627,Rising,29.258700166216936,48.94342958927619,Strong,26.394212627473166,True,0.7037330727743072,,0.0,,,False,-2.417189249456001,Bullish,Unknown,,,,UNKNOWN,NONE,UNKNOWN,,,,UNKNOWN,NEUTRAL,,,UNKNOWN,UNKNOWN,37.506,39.923189249456,2.417189249456001,,,,,-6.054599582093602,,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,Unknown,Unknown,None,,False,,,,,,,Snapshot,True,False,0.8,Has_IV|Limited_Charts|Has_Trend,None,,Long Call LEAP,1,"Bullish + Structural thesis + Cheap long-term IV (IV_Rank=nan, gap_180d=nan)",Hull Ch.10 - Multi-year directional with defined risk,Bullish,"gap_30d=-2.4, gap_60d=nan, gap_180d=nan, IV_Rank=nan",3000,"Defined (max loss = premium, typically $2000-$5000)","Long Delta (lower), Long Vega, Short Theta (minimal)",True,70,Bullish,Directional,True,Valid,50.0,Contract selection not yet run (Step 9B pending),50.0,Pre-contract evaluation - awaiting Step 9B,DATA_BLOCKED,Other,1,365,730,547,LEAP,LEAP strategy (Long Call LEAP): 365-730 DTE for multi-year structural thesis,2,OK,Contracts_Available,,2027-06-17,530.0,210.0,AMAT  270617C00210000,call,0.756,0.002,0.963,-0.035,1.368,90.0,93.15,91.58,84.75,3.4396156366018844,0.0,0.0,4143.099999999999,Illiquid,0.0,"Very low OI (0), very wide spread (3.4%)",,20,40,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,N/A,,,No short legs,WAIT,Insufficient Phase 1 enrichment data,LOW,NEUTRAL,UNCLEAR,MODERATE,NORMAL
