Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts,Snapshot_Age_Hours,iv_surface_source,iv_surface_date,iv_surface_age_days,history_depth_ok,iv_data_stale,regime_confidence,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call_hist,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,iv_rank_252d,iv_percentile_252d,iv_history_count,iv_index_30d_hist,IV_30_D_Call,IV_Rank_30D,IV_Term_Structure,IV_Trend_7D,HV_Trend_30D,VVIX,Recent_Vol_Spike,Volatility_Regime,Trend_State,Price_vs_SMA20,Price_vs_SMA50,Volume_Trend,ADX,RSI,Trend_Strength,RV_10D,RV_Calculated,RV_IV_Ratio,Chart_Pattern,Pattern_Confidence,Candlestick_Pattern,Entry_Timing_Quality,Reversal_Confirmation,IVHV_gap_30D,Signal_Type,Regime,intraday_range_pct,gap_pct,intraday_position_pct,compression_tag,gap_tag,intraday_position_tag,pct_from_52w_high,pct_from_52w_low,52w_range_position,52w_regime_tag,52w_strategy_context,net_change,net_percent_change,momentum_tag,entry_timing_context,days_to_earnings,earnings_proximity_flag,IV30_Call,HV30,IVHV_gap_abs,IVHV_gap_60D,IVHV_gap_90D,IVHV_gap_180D,IVHV_gap_360D,IVHV_gap_30D_pct,IVHV_gap_60D_pct,IVHV_gap_90D_pct,IVHV_gap_180D_pct,IVHV_gap_360D_pct,ShortTerm_IV_Edge,MediumTerm_IV_Edge,LEAP_IV_Edge,UltraLEAP_IV_Edge,ShortTerm_IV_Rich,ShortTerm_IV_Cheap,MediumTerm_IV_Rich,MediumTerm_IV_Cheap,LEAP_IV_Rich,LEAP_IV_Cheap,UltraLEAP_IV_Rich,UltraLEAP_IV_Cheap,HighVol,ElevatedVol,ModerateVol,LowRank,IV_Rich,IV_Cheap,MeanReversion_Setup,Expansion_Setup,df_elevated_plus,df_moderate_vol
AZO,2026-01-09 11:24:56.717189,2026-01-09,,schwab,3365.46,135541.0,lastPrice,1767986426597,1767986448603,248.114,True,OPEN,OK,COMPUTED,23.311,22.045822218754704,20.292369118818986,28.82847690891961,25.7944065591412,24.09174615083029,22.045822218754704,20.292369118818986,28.82847690891961,25.7944065591412,24.09174615083029,23.112216642154692,23.126815069886877,22.726666432584462,-6.782654690164904,Normal,3387.65,3303.69,3303.69,3313.99,4388.11,3162.0,51.47,1.55311271,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,8,,23.311,,Unknown,Unknown,Falling,,False,Unknown,Neutral,0.7829777968848153,-5.566587824079713,Rising,49.57893453713731,49.46524385005229,Strong,26.498924091164312,True,1.1367562134256064,,0.0,,,False,-5.517476908919608,Bidirectional,Unknown,2.494755546047198,0.31080359325163104,73.57074797522625,NORMAL,NO_GAP,NEAR_HIGH,23.30502197985009,6.434535104364328,16.59394344716217,NEAR_52W_LOW,CONTRARIAN,51.47,1.55311271,NORMAL,MODERATE,53.0,False,23.311,28.82847690891961,5.517476908919608,,,,,-19.13898166161004,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
MELI,2026-01-09 11:24:56.717189,2026-01-09,,schwab,2168.75,161433.0,lastPrice,1767986441374,1767986449113,247.604,True,OPEN,OK,COMPUTED,33.238,45.873841029185975,36.82450004805088,37.00406973893532,43.03191328799099,42.9263726131606,45.873841029185975,36.82450004805088,37.00406973893532,43.03191328799099,42.9263726131606,39.4466250011058,37.76614105364593,36.63902447944665,8.869771290250654,Normal,2193.06,2162.0,2191.498,2179.8,2645.22,1723.903,-11.05,-0.50692724,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.03968253968253968,,,,34.01,,,,,,,,,,,,,,,,,,,,,,,,,10,,33.238,,Unknown,Unknown,Rising,,False,Unknown,Bullish,7.080162176018358,4.668987870100647,Falling,45.249330976936854,79.07955025099616,Strong,47.337739855961345,True,1.4242054231891614,,0.0,,,False,-3.7660697389353217,Bullish,Unknown,1.4321613832853,0.5366547389668715,21.732131358660695,NORMAL,NO_GAP,NEAR_LOW,18.01249045448015,25.80464214053807,48.28381545114223,MID_RANGE,NEUTRAL,-11.05,-0.50692724,NORMAL,MODERATE,46.0,False,33.238,37.00406973893532,3.7660697389353217,,,,,-10.177447414581806,,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
MKL,2026-01-09 11:24:56.717189,2026-01-09,,schwab,2132.9,20929.0,lastPrice,1767986337563,1767986384068,312.649,True,OPEN,OK,COMPUTED,18.866,10.937548962197832,13.837093426141694,12.084584344829372,19.181955202229943,18.34335247126884,10.937548962197832,13.837093426141694,12.084584344829372,19.181955202229943,18.34335247126884,18.81363855328876,18.37232533135532,18.285307398797613,-1.1470353826315414,Low_Compression,2164.9699,2124.965,2138.69,2147.15,2207.59,1621.893,-14.25,-0.66367045,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,19.003,,,,,,,,,,,,,,,,,,,,,,,,,8,,18.866,,Unknown,Unknown,Falling,,False,Unknown,Neutral,-1.1777500600437032,2.3080027347034453,Falling,37.724241579696645,40.318130943645166,Strong,11.174799272052013,True,0.5923247785461684,,0.0,,,False,6.781415655170628,Bidirectional,Unknown,1.8756106709175258,0.39401066530051637,19.83507020389993,NORMAL,NO_GAP,NEAR_LOW,3.3833275200558095,31.50682566605812,87.24767243130833,MID_RANGE,NEUTRAL,-14.25,-0.66367045,NORMAL,MODERATE,,False,18.866,12.084584344829372,6.781415655170628,,,,,56.11625076763348,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
FCNCA,2026-01-09 11:24:56.717189,2026-01-09,,schwab,2180.92,25688.0,lastPrice,1767986456434,1767986425285,271.432,True,OPEN,OK,COMPUTED,28.547,11.43048032695599,12.973598594350127,16.61172224388973,24.53016124863952,26.12190860508879,11.43048032695599,12.973598594350127,16.61172224388973,24.53016124863952,26.12190860508879,26.29254828258227,25.903131387195454,26.338792955444266,-5.18124191693374,Normal,2200.0,2169.52,2183.59,2177.72,2412.929,1473.62,3.2,0.14694267,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,28.675,,,,,,,,,,,,,,,,,,,,,,,,,8,,28.547,,Unknown,Unknown,Falling,,False,Unknown,Bullish,1.460172709905395,10.200281540794016,Stable,59.68016880918867,67.43013272249377,Strong,10.873994281313681,True,0.3809154825835878,,0.0,,,False,11.93527775611027,Bullish,Unknown,1.3975753351796496,0.2695479675991563,37.401574803149884,NORMAL,NO_GAP,MID_RANGE,9.615243548401134,47.997448460254354,75.30003438698022,MID_RANGE,NEUTRAL,3.2,0.14694267,FLAT_DAY,EARLY,,False,28.547,16.61172224388973,11.93527775611027,,,,,71.84852708755355,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
FICO,2026-01-09 11:24:56.717189,2026-01-09,,schwab,1662.405,109789.0,lastPrice,1767986439561,1767986433652,263.065,True,OPEN,OK,COMPUTED,41.451,38.74459680275187,33.19629046129424,28.824976233223747,34.25928482579669,46.0674596849109,38.74459680275187,33.19629046129424,28.824976233223747,34.25928482579669,46.0674596849109,44.22678277809229,43.98158565979175,49.76542873339704,9.919620569528124,Normal,1671.55,1597.5,1600.27,1585.6,2217.6,1300.0,76.805,4.84390767,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,41.121,,,,,,,,,,,,,,,,,,,,,,,,,8,,41.451,,Unknown,Unknown,Rising,,False,Unknown,Bearish,-3.235915482382104,-3.596783238702981,Stable,40.255792428699245,37.32281863271232,Strong,40.750974214539504,True,0.9831119686989338,,0.0,,,False,12.626023766776253,Bearish,Unknown,4.4543898749101425,0.9252018163471287,87.65023632680624,NORMAL,NO_GAP,NEAR_HIGH,25.035849567099568,27.87730769230769,39.49487794245859,MID_RANGE,NEUTRAL,76.805,4.84390767,STRONG_UP_DAY,LATE_LONG,-65.0,False,41.451,28.824976233223747,12.626023766776253,,,,,43.802373554859905,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
TDG,2026-01-09 11:24:56.717189,2026-01-09,,schwab,1377.805,163764.0,lastPrice,1767986450432,1767986453797,242.92,True,OPEN,OK,COMPUTED,23.792,13.75684125946516,16.62766062128564,16.987703203939667,22.049941521585005,20.533479801283814,13.75684125946516,16.62766062128564,16.987703203939667,22.049941521585005,20.533479801283814,28.158639114294324,26.341014671989623,26.275330814866177,-3.2308619444745066,Normal_Compression,1395.0,1355.59,1379.13,1377.42,1623.825,1183.6,0.385,0.02795081,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,24.149,,,,,,,,,,,,,,,,,,,,,,,,,8,,23.792,,Unknown,Unknown,Falling,,False,Unknown,Bullish,5.289786962190448,5.2026421528713955,Stable,40.540641492728476,91.57076244347975,Strong,12.992665675944576,True,0.5460938834879192,,0.0,,,False,6.804296796060335,Bullish,Unknown,2.860346710891605,0.1241451409156275,56.36894189292083,NORMAL,NO_GAP,MID_RANGE,15.150647391190553,16.407992565055775,44.11494122323814,MID_RANGE,NEUTRAL,0.385,0.02795081,FLAT_DAY,EARLY,,False,23.792,16.987703203939667,6.804296796060335,,,,,40.05424814863925,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
NFLX,2026-01-09 11:24:56.717189,2026-01-09,,schwab,88.895,36482684.0,lastPrice,1767986455778,1767986456251,240.466,True,OPEN,OK,COMPUTED,42.205,18.403499025267124,17.49137698281334,27.44025563546797,35.81954777294242,32.238377310970876,18.403499025267124,17.49137698281334,27.44025563546797,35.81954777294242,32.238377310970876,30.18427249926528,29.63249725137831,29.021571733062057,-9.036756610200849,Normal,90.05,88.32,90.03,90.53,134.115,82.11,-1.635,-1.80603115,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.03571428571428571,,,,41.541,,,,,,,,,,,,,,,,,,,,,,,,,9,,42.205,,Unknown,Unknown,Falling,,False,Unknown,Bearish,-3.8658904321219154,-12.135566262064941,Rising,34.02703100449886,24.494381251923414,Strong,16.948676636085406,True,0.40157982788971464,,0.0,,,False,14.764744364532028,Bearish,Unknown,1.9461162045109444,0.5523031039434442,33.23699421965326,NORMAL,NO_GAP,MID_RANGE,33.717332140327336,8.263305322128847,13.046822420921057,NEAR_52W_LOW,CONTRARIAN,-1.635,-1.80603115,NORMAL,MODERATE,,False,42.205,27.44025563546797,14.764744364532028,,,,,53.80687614822298,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
MTD,2026-01-09 11:24:56.717189,2026-01-09,,schwab,1494.67,54695.0,lastPrice,1767986456116,1767986454331,242.386,True,OPEN,OK,COMPUTED,30.499,21.5777375779328,19.63317962655716,20.581108788081867,23.65168324319073,25.82363867536153,21.5777375779328,19.63317962655716,20.581108788081867,23.65168324319073,25.82363867536153,26.897169978112384,26.620628678513025,29.59125466047581,0.9966287898509308,Normal_Compression,1498.35,1467.51,1467.87,1465.2,1525.17,946.69,29.47,2.01132951,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.031746031746031744,,,,30.03,,,,,,,,,,,,,,,,,,,,,,,,,8,,30.499,,Unknown,Unknown,Stable,,False,Unknown,Bullish,4.411797949244696,4.2205120833134835,Stable,35.330600854819885,75.53085753960345,Strong,22.251231710319967,True,0.7295725010760998,,0.0,,,False,9.917891211918132,Bullish,Unknown,2.0633317053262537,0.18222768222767166,88.0674448767839,NORMAL,NO_GAP,NEAR_HIGH,1.9997770740310914,57.883784554606045,94.72756188632277,NEAR_52W_HIGH,MOMENTUM,29.47,2.01132951,STRONG_UP_DAY,LATE_LONG,,False,30.499,20.581108788081867,9.917891211918132,,,,,48.18929492108509,,,,,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
TPL,2026-01-09 11:24:56.717189,2026-01-09,,schwab,312.44,194691.0,lastPrice,1767986455122,1767986455122,241.595,True,OPEN,OK,COMPUTED,,55.88332314335822,53.323402113355954,47.778384527381256,45.335649420246874,44.098638138544345,55.88332314335822,53.323402113355954,47.778384527381256,45.335649420246874,44.098638138544345,43.21091796645426,40.84922710888254,40.64716620341085,8.104938615976963,High,314.725,305.98,307.0,302.95,1462.78,280.95,9.49,3.13253012,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.01984126984126984,,,,40.603,,,,,,,,,,,,,,,,,,,,,,,,,5,,40.603,,Unknown,Unknown,Rising,,False,Unknown,Bullish,6.334904166365756,3.280219733519627,Falling,11.325152983272309,57.30643701808725,Weak,56.85114163801719,True,1.4001709636730584,,0.0,,,False,-7.175384527381254,Bullish,Unknown,2.7989373959800297,1.3368542663805947,73.87078330474529,NORMAL,NO_GAP,NEAR_HIGH,78.64067050410861,11.208400071187048,2.6645118164202986,MID_RANGE,NEUTRAL,9.49,3.13253012,STRONG_UP_DAY,LATE_LONG,,False,40.603,47.778384527381256,7.175384527381254,,,,,-15.018055964761896,,,,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
BLK,2026-01-09 11:24:56.717189,2026-01-09,,schwab,1083.855,325505.0,lastPrice,1767986426055,1767986454769,241.948,True,OPEN,OK,COMPUTED,25.516,27.47232243707184,23.169106313000498,22.815514126862936,22.50117062563497,22.458817942841073,27.47232243707184,23.169106313000498,22.815514126862936,22.50117062563497,22.458817942841073,21.24337386466036,22.26199554662521,21.745710083499105,4.656808310208902,Normal_Compression,1092.77,1080.0001,1090.23,1087.92,1219.94,773.7401,-4.065,-0.3736488,,,2026-01-09 11:24:56.717189,4.078719193333334,historical_latest,2026-01-08,1,False,False,0.03968253968253968,,,,25.857,,,,,,,,,,,,,,,,,,,,,,,,,10,,25.516,,Unknown,Unknown,Rising,,False,Unknown,Bullish,0.053108133730696644,1.7830806980668013,Stable,21.37874084039395,56.061972009269894,Moderate,27.439233615865533,True,1.075373632852545,Ascending Triangle,63.0,,,False,2.700485873137062,Bullish,Unknown,1.1781926549215538,0.21233178910213482,30.187393793217183,NORMAL,NO_GAP,MID_RANGE,11.155056806072432,40.0799829296685,69.50133785328056,MID_RANGE,NEUTRAL,-4.065,-0.3736488,FLAT_DAY,EARLY,6.0,True,25.516,22.815514126862936,2.700485873137062,,,,,11.836182424473686,,,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
