Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts
NFLX,2026-01-02 12:43:37.738718,2026-01-02,,schwab,91.3698,29994633.0,lastPrice,1767386335736,1767386336684,281.054,True,OPEN,OK,COMPUTED,39.275,,,,39.275,,,,,,,,,,,,,,,,,,,,,,,15.734411963902406,25.137117352804378,31.627027006986513,36.05653437211125,32.20321345377645,15.734411963902406,25.137117352804378,31.627027006986513,36.05653437211125,32.20321345377645,31.16847443512497,29.757869015358978,29.6827142112735,-15.892615043084106,Normal_Contraction,94.13,90.82,94.13,93.76,134.115,82.11,-2.3902,-2.54927474,,,2026-01-02 12:43:37.738718
META,2026-01-02 12:43:37.738718,2026-01-02,,schwab,651.42,10548354.0,lastPrice,1767386336105,1767386334612,283.126,True,OPEN,OK,COMPUTED,36.672,,,,36.672,,,,,,,,,,,,,,,,,,,,,,,17.67459982017064,21.697745103296704,24.24810269461496,34.79798875330081,30.303875905319096,17.67459982017064,21.697745103296704,24.24810269461496,34.79798875330081,30.303875905319096,32.86815843697815,31.464670444128544,32.94066106253418,-6.573502874444319,Normal,664.39,643.5,662.725,660.09,796.25,479.8,-8.67,-1.31345726,,,2026-01-02 12:43:37.738718
MSFT,2026-01-02 12:43:37.738718,2026-01-02,,schwab,472.5,18356248.0,lastPrice,1767386336603,1767386335566,282.172,True,OPEN,OK,COMPUTED,27.147,,,,27.147,,,,,,,,,,,,,,,,,,,,,,,15.962384218026331,17.429344220121838,19.25387840808147,19.359415251458064,18.228403539387973,15.962384218026331,17.429344220121838,19.25387840808147,19.359415251458064,18.228403539387973,18.20489402866775,17.1424943341498,20.260531482160054,-3.291494190055138,Normal_Compression,484.66,470.16,484.385,483.62,555.45,344.79,-11.12,-2.29932592,,,2026-01-02 12:43:37.738718
NVDA,2026-01-02 12:43:37.738718,2026-01-02,,schwab,188.83,123646417.0,lastPrice,1767386336713,1767386336467,281.271,True,OPEN,OK,COMPUTED,38.031,,,,38.031,,,,,,,,,,,,,,,,,,,,,,,25.910385216416422,30.57432031973318,31.05275985338417,37.675450599165686,35.01995216730836,25.910385216416422,30.57432031973318,31.05275985338417,37.675450599165686,35.01995216730836,32.968021590278205,31.77725314087303,34.52515856218036,-5.142374636967748,Normal,192.9299,188.26,189.835,186.5,212.1899,86.62,2.33,1.24932976,,,2026-01-02 12:43:37.738718
AAPL,2026-01-02 12:43:37.738718,2026-01-02,,schwab,270.58,27175429.0,lastPrice,1767386336370,1767386334529,283.209,True,OPEN,OK,COMPUTED,22.093,,,,22.093,,,,,,,,,,,,,,,,,,,,,,,8.068844377855276,9.663278193162975,13.151913905130176,17.859950499594046,20.133493849586483,8.068844377855276,9.663278193162975,13.151913905130176,17.859950499594046,20.133493849586483,21.35592939519335,20.667269740447573,23.263233610805727,-5.083069527274899,Low,277.84,269.0,272.255,271.86,288.62,169.2101,-1.28,-0.47083057,,,2026-01-02 12:43:37.738718
AMZN,2026-01-02 12:43:37.738718,2026-01-02,,schwab,226.41,40859995.0,lastPrice,1767386336105,1767386336105,281.633,True,OPEN,OK,COMPUTED,35.462,,,,35.462,,,,,,,,,,,,,,,,,,,,,,,18.87530285433961,18.547135473394103,20.354660687363165,33.47743468797971,30.41437243644288,18.87530285433961,18.547135473394103,20.354660687363165,33.47743468797971,30.41437243644288,31.1754832132558,29.43583362728955,30.83746889708628,-1.4793578330235562,Normal_Compression,235.458,224.7,231.34,230.82,258.6,161.38,-4.41,-1.91057967,,,2026-01-02 12:43:37.738718
TSLA,2026-01-02 12:43:37.738718,2026-01-02,,schwab,439.66,74996014.0,lastPrice,1767386336436,1767386336439,281.299,True,OPEN,OK,COMPUTED,46.6035,,,,46.6035,,,,,,,,,,,,,,,,,,,,,,,30.86670433043398,37.83666238214015,38.99756175270507,45.00998906803202,46.60934241245169,30.86670433043398,37.83666238214015,38.99756175270507,45.00998906803202,46.60934241245169,45.73354360252144,51.452784346252415,52.714227854747385,-8.130857422271088,Normal,458.34,435.3,457.8,449.72,498.83,214.25,-10.06,-2.23694743,,,2026-01-02 12:43:37.738718
AMD,2026-01-02 12:43:37.738718,2026-01-02,,schwab,225.15,28823055.0,lastPrice,1767386337311,1767386337057,280.681,True,OPEN,OK,COMPUTED,53.96,,,,53.96,,,,,,,,,,,,,,,,,,,,,,,36.44941212207779,40.46961892486728,48.55314994255657,61.04177030131096,64.03977954324168,36.44941212207779,40.46961892486728,48.55314994255657,61.04177030131096,64.03977954324168,60.33409986035987,57.40843851095563,55.231944318342805,-12.103737820478775,High_Contraction,227.15,218.895,218.9,214.16,267.0799,76.48,10.99,5.13167725,,,2026-01-02 12:43:37.738718
GOOGL,2026-01-02 12:43:37.738718,2026-01-02,,schwab,314.945,25392172.0,lastPrice,1767386337232,1767386336872,280.866,True,OPEN,OK,COMPUTED,34.371,,,,34.371,,,,,,,,,,,,,,,,,,,,,,,12.81826441918826,22.118675610197055,29.606267174602475,29.9366259037601,30.41332721682518,12.81826441918826,22.118675610197055,29.606267174602475,29.9366259037601,30.41332721682518,28.112661206313412,27.499745915421865,28.97010191328107,-16.788002755414215,Normal_Contraction,322.5,310.33,316.9,313.0,328.83,140.53,1.945,0.62140575,,,2026-01-02 12:43:37.738718
INTC,2026-01-02 12:43:37.738718,2026-01-02,,schwab,39.69,73610775.0,lastPrice,1767386334625,1767386334394,283.344,True,OPEN,OK,COMPUTED,57.958,,,,57.958,,,,,,,,,,,,,,,,,,,,,,,38.70137331084947,47.8903757584268,58.00968851351742,52.11293615769079,60.79040684113806,38.70137331084947,47.8903757584268,58.00968851351742,52.11293615769079,60.79040684113806,59.9058828750625,57.909500443323736,55.77021503379327,-19.30831520266794,High_Contraction,39.86,37.76,37.77,36.9,44.02,17.665,2.79,7.56097561,,,2026-01-02 12:43:37.738718
